神龙宝藏索引,章节,怪物entryId,等级（要求）,挑战次数（每天）,能否组队,怪物列表,挑战奖励,首通奖励,挖宝星级,章节名称,首通奖励预览,通关奖励预览
20,12,105510,0,1,0,"[2]=105502,[3]=105503,[4]=105504,[5]=105505,[6]=105506,[9]=105509,[10]=105510,[11]=105511","{""exp"",113000},{""funds"",36000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1600000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2200000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,20}}",宝藏图2,"{60056, 100}","{60061,113000},{60055,36000},{20013,1}"
21,12,105610,0,1,0,"[2]=105602,[3]=105603,[4]=105604,[5]=105605,[6]=105606,[9]=105609,[10]=105610,[11]=105611","{""exp"",113000},{""funds"",36000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1600000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2200000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,20}}",宝藏图2,"{60056, 100}","{60061,113000},{60055,36000},{20013,1}"
22,12,105710,0,1,0,"[2]=105702,[3]=105703,[4]=105704,[5]=105705,[6]=105706,[9]=105709,[10]=105710,[11]=105711","{""exp"",113000},{""funds"",36000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",1600000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2200000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,20}}",宝藏图2,"{60056, 100}","{60061,113000},{60055,36000},{20013,1}"
23,13,50000006,0,1,0,[10]=105810,"{""exp"",113000},{""funds"",37000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",2000000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2800000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,20}}",宝藏图3,"{60056, 100}","{60061,113000},{60055,37000},{20013,1}"
24,13,105910,0,1,0,"[2]=105902,[3]=105903,[4]=105904,[5]=105905,[6]=105906,[9]=105909,[10]=105910,[11]=105911","{""exp"",113000},{""funds"",37000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",2000000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2800000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,20}}",宝藏图3,"{60056, 100}","{60061,113000},{60055,37000},{20013,1}"
25,13,106010,0,1,0,"[2]=106002,[3]=106003,[4]=106004,[5]=106005,[6]=106006,[9]=106009,[10]=106010,[11]=106011","{""exp"",113000},{""funds"",37000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",2000000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2800000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,20}}",宝藏图3,"{60056, 100}","{60061,113000},{60055,37000},{20013,1}"
26,13,106110,0,1,0,"[2]=106102,[3]=106103,[4]=106104,[5]=106105,[6]=106106,[8]=106108,[9]=106109,[10]=106110,[11]=106111,[12]=106112","{""exp"",113000},{""funds"",37000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",2000000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2800000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,20}}",宝藏图3,"{60056, 100}","{60061,113000},{60055,37000},{20013,1}"
27,13,106210,0,1,0,"[2]=106202,[3]=106203,[4]=106204,[5]=106205,[6]=106206,[8]=106208,[9]=106209,[10]=106210,[11]=106211,[12]=106212","{""exp"",113000},{""funds"",37000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",2000000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2800000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,20}}",宝藏图3,"{60056, 100}","{60061,113000},{60055,37000},{20013,1}"
28,13,50000002,0,1,0,[10]=106310,"{""exp"",113000},{""funds"",37000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,8}, {""exp"",2000000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",2800000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,20}}",宝藏图3,"{60056, 100}","{60061,113000},{60055,37000},{20013,1}"
29,14,50000002,0,1,0,[10]=106410,"{""exp"",113000},{""funds"",38000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2400000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",3400000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,45}}",宝藏图4,"{60056, 100}","{60061,113000},{60055,38000},{20013,1}"
30,14,106510,0,1,0,"[2]=106502,[3]=106503,[4]=106504,[5]=106505,[6]=106506,[8]=106508,[9]=106509,[10]=106510,[11]=106511,[12]=106512","{""exp"",113000},{""funds"",38000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2400000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",3400000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,45}}",宝藏图4,"{60056, 100}","{60061,113000},{60055,38000},{20013,1}"
31,14,106610,0,1,0,"[2]=106602,[3]=106603,[4]=106604,[5]=106605,[6]=106606,[8]=106608,[9]=106609,[10]=106610,[11]=106611,[12]=106612","{""exp"",113000},{""funds"",38000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2400000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",3400000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,45}}",宝藏图4,"{60056, 100}","{60061,113000},{60055,38000},{20013,1}"
32,14,106710,0,1,0,"[2]=106702,[3]=106703,[4]=106704,[5]=106705,[6]=106706,[8]=106708,[9]=106709,[10]=106710,[11]=106711,[12]=106712","{""exp"",113000},{""funds"",38000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2400000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",3400000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,45}}",宝藏图4,"{60056, 100}","{60061,113000},{60055,38000},{20013,1}"
33,14,106810,0,1,0,"[2]=106802,[3]=106803,[4]=106804,[5]=106805,[6]=106806,[8]=106808,[9]=106809,[10]=106810,[11]=106811,[12]=106812","{""exp"",113000},{""funds"",38000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2400000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",3400000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,45}}",宝藏图4,"{60056, 100}","{60061,113000},{60055,38000},{20013,1}"
34,14,106910,0,1,0,"[2]=106902,[3]=106903,[4]=106904,[5]=106905,[6]=106906,[8]=106908,[9]=106909,[10]=106910,[11]=106911,[12]=106912","{""exp"",113000},{""funds"",38000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2400000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",3400000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,45}}",宝藏图4,"{60056, 100}","{60061,113000},{60055,38000},{20013,1}"
35,15,50000001,0,1,0,[10]=107010,"{""exp"",113000},{""funds"",39000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2800000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",4000000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,45}}",宝藏图5,"{60056, 100}","{60061,113000},{60055,39000},{20013,1}"
36,15,107110,0,1,0,"[2]=107102,[3]=107103,[4]=107104,[5]=107105,[6]=107106,[8]=107108,[9]=107109,[10]=107110,[11]=107111,[12]=107112","{""exp"",113000},{""funds"",39000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2800000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",4000000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,45}}",宝藏图5,"{60056, 100}","{60061,113000},{60055,39000},{20013,1}"
37,15,107210,0,1,0,"[2]=107202,[3]=107203,[4]=107204,[5]=107205,[6]=107206,[8]=107208,[9]=107209,[10]=107210,[11]=107211,[12]=107212","{""exp"",113000},{""funds"",39000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2800000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",4000000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,45}}",宝藏图5,"{60056, 100}","{60061,113000},{60055,39000},{20013,1}"
38,15,107310,0,1,0,"[2]=107302,[3]=107303,[4]=107304,[5]=107305,[6]=107306,[8]=107308,[9]=107309,[10]=107310,[11]=107311,[12]=107312","{""exp"",113000},{""funds"",39000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2800000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",4000000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,45}}",宝藏图5,"{60056, 100}","{60061,113000},{60055,39000},{20013,1}"
39,15,107410,0,1,0,"[2]=107402,[3]=107403,[4]=107404,[5]=107405,[6]=107406,[8]=107408,[9]=107409,[10]=107410,[11]=107411,[12]=107412","{""exp"",113000},{""funds"",39000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2800000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",4000000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,45}}",宝藏图5,"{60056, 100}","{60061,113000},{60055,39000},{20013,1}"
40,15,107510,0,1,0,"[2]=107502,[3]=107503,[4]=107504,[5]=107505,[6]=107506,[8]=107508,[9]=107509,[10]=107510,[11]=107511,[12]=107512","{""exp"",113000},{""funds"",39000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",600}, {""item"",20013,18}, {""exp"",2800000}},[12]={{""bindRmb"",1200}, {""item"",60005,1}, {""exp"",4000000}},[18]={{""bindRmb"",2400}, {""item"",60005,1}, {""item"",200013,45}}",宝藏图5,"{60056, 100}","{60061,113000},{60055,39000},{20013,1}"
41,16,50000002,0,1,0,[10]=107610,"{""exp"",113000},{""funds"",40000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,18}, {""exp"",3200000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",4600000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,45}}",宝藏图6,"{60056, 100}","{60061,113000},{60055,40000},{20013,1}"
42,16,50000001,0,1,0,[10]=107710,"{""exp"",113000},{""funds"",40000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,18}, {""exp"",3200000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",4600000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,45}}",宝藏图6,"{60056, 100}","{60061,113000},{60055,40000},{20013,1}"
43,16,107810,0,1,0,"[2]=107802,[3]=107803,[4]=107804,[5]=107805,[6]=107806,[8]=107808,[9]=107809,[10]=107810,[11]=107811,[12]=107812","{""exp"",113000},{""funds"",40000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,18}, {""exp"",3200000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",4600000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,45}}",宝藏图6,"{60056, 100}","{60061,113000},{60055,40000},{20013,1}"
44,16,107910,0,1,0,"[2]=107902,[3]=107903,[4]=107904,[5]=107905,[6]=107906,[8]=107908,[9]=107909,[10]=107910,[11]=107911,[12]=107912","{""exp"",113000},{""funds"",40000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,18}, {""exp"",3200000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",4600000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,45}}",宝藏图6,"{60056, 100}","{60061,113000},{60055,40000},{20013,1}"
45,16,50000001,0,1,0,[10]=108010,"{""exp"",113000},{""funds"",40000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,18}, {""exp"",3200000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",4600000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,45}}",宝藏图6,"{60056, 100}","{60061,113000},{60055,40000},{20013,1}"
46,16,50000005,0,1,0,[10]=108110,"{""exp"",113000},{""funds"",40000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,18}, {""exp"",3200000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",4600000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,45}}",宝藏图6,"{60056, 100}","{60061,113000},{60055,40000},{20013,1}"
47,17,108210,0,1,0,"[2]=108202,[3]=108203,[4]=108204,[5]=108205,[6]=108206,[8]=108208,[9]=108209,[10]=108210,[11]=108211,[12]=108212","{""exp"",107000},{""funds"",41000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",3600000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5200000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,74}}",宝藏图7,"{60056, 100}","{60061,107000},{60055,41000},{20013,1}"
48,17,108310,0,1,0,"[2]=108302,[3]=108303,[4]=108304,[5]=108305,[6]=108306,[8]=108308,[9]=108309,[10]=108310,[11]=108311,[12]=108312","{""exp"",107000},{""funds"",41000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",3600000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5200000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,74}}",宝藏图7,"{60056, 100}","{60061,107000},{60055,41000},{20013,1}"
49,17,50000005,0,1,0,[10]=108410,"{""exp"",107000},{""funds"",41000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",3600000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5200000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,74}}",宝藏图7,"{60056, 100}","{60061,107000},{60055,41000},{20013,1}"
50,17,108510,0,1,0,"[2]=108502,[3]=108503,[4]=108504,[5]=108505,[6]=108506,[8]=108508,[9]=108509,[10]=108510,[11]=108511,[12]=108512","{""exp"",107000},{""funds"",41000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",3600000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5200000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,74}}",宝藏图7,"{60056, 100}","{60061,107000},{60055,41000},{20013,1}"
51,17,50000001,0,1,0,[10]=108610,"{""exp"",107000},{""funds"",41000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",3600000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5200000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,74}}",宝藏图7,"{60056, 100}","{60061,107000},{60055,41000},{20013,1}"
52,17,108710,0,1,0,"[2]=108702,[3]=108703,[4]=108704,[5]=108705,[6]=108706,[8]=108708,[9]=108709,[10]=108710,[11]=108711,[12]=108712","{""exp"",107000},{""funds"",41000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",3600000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5200000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,74}}",宝藏图7,"{60056, 100}","{60061,107000},{60055,41000},{20013,1}"
53,18,108810,0,1,0,"[2]=108802,[3]=108803,[4]=108804,[5]=108805,[6]=108806,[8]=108808,[9]=108809,[10]=108810,[11]=108811,[12]=108812","{""exp"",107000},{""funds"",42000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4000000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5800000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,74}}",宝藏图8,"{60056, 100}","{60061,107000},{60055,42000},{20013,1}"
54,18,108910,0,1,0,"[2]=108902,[3]=108903,[4]=108904,[5]=108905,[6]=108906,[8]=108908,[9]=108909,[10]=108910,[11]=108911,[12]=108912","{""exp"",107000},{""funds"",42000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4000000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5800000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,74}}",宝藏图8,"{60056, 100}","{60061,107000},{60055,42000},{20013,1}"
55,18,109010,0,1,0,"[2]=109002,[3]=109003,[4]=109004,[5]=109005,[6]=109006,[8]=109008,[9]=109009,[10]=109010,[11]=109011,[12]=109012","{""exp"",107000},{""funds"",42000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4000000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5800000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,74}}",宝藏图8,"{60056, 100}","{60061,107000},{60055,42000},{20013,1}"
56,18,50000002,0,1,0,[10]=109110,"{""exp"",107000},{""funds"",42000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4000000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5800000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,74}}",宝藏图8,"{60056, 100}","{60061,107000},{60055,42000},{20013,1}"
57,18,109210,0,1,0,"[2]=109202,[3]=109203,[4]=109204,[5]=109205,[6]=109206,[8]=109208,[9]=109209,[10]=109210,[11]=109211,[12]=109212","{""exp"",107000},{""funds"",42000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4000000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5800000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,74}}",宝藏图8,"{60056, 100}","{60061,107000},{60055,42000},{20013,1}"
58,18,109310,0,1,0,"[2]=109302,[3]=109303,[4]=109304,[5]=109305,[6]=109306,[8]=109308,[9]=109309,[10]=109310,[11]=109311,[12]=109312","{""exp"",107000},{""funds"",42000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4000000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",5800000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,74}}",宝藏图8,"{60056, 100}","{60061,107000},{60055,42000},{20013,1}"
59,19,109410,0,1,0,"[2]=109402,[3]=109403,[4]=109404,[5]=109405,[6]=109406,[8]=109408,[9]=109409,[10]=109410,[11]=109411,[12]=109412","{""exp"",107000},{""funds"",43000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4400000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",6400000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,74}}",宝藏图9,"{60056, 100}","{60061,107000},{60055,43000},{20013,1}"
60,19,109510,0,1,0,"[2]=109502,[3]=109503,[4]=109504,[5]=109505,[6]=109506,[8]=109508,[9]=109509,[10]=109510,[11]=109511,[12]=109512","{""exp"",107000},{""funds"",43000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4400000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",6400000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,74}}",宝藏图9,"{60056, 100}","{60061,107000},{60055,43000},{20013,1}"
61,19,109610,0,1,0,"[2]=109602,[3]=109603,[4]=109604,[5]=109605,[6]=109606,[8]=109608,[9]=109609,[10]=109610,[11]=109611,[12]=109612","{""exp"",107000},{""funds"",43000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4400000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",6400000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,74}}",宝藏图9,"{60056, 100}","{60061,107000},{60055,43000},{20013,1}"
62,19,50000002,0,1,0,[10]=109710,"{""exp"",107000},{""funds"",43000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4400000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",6400000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",200013,74}}",宝藏图9,"{60056, 100}","{60061,107000},{60055,43000},{20013,1}"
