全民boss索引,怪物entryId,等级（要求）,boss名字,复活消耗,怪物复活时间,能否组队,怪物列表,掉落预览,战斗经验,月卡加成系数,掉落装备,灰色品质装备件数,绿色品质装备件数,蓝色品质装备件数,紫色品质装备件数,金装概率,金装碎片权重,灰色品质装备件数,绿色品质装备件数,蓝色品质装备件数,紫色品质装备件数,第一名邮件金色掉落装备,金装概率,金装碎片权重,第一名经验,灰色品质装备件数,绿色品质装备件数,蓝色品质装备件数,紫色品质装备件数,其他名邮件金色掉落装备,金装概率,金装碎片权重,其他名次经验
20,138110,112,牛精（112）,"{60014, 1}",3600,0,"[2]=138102,[3]=138103,[4]=138104,[5]=138105,[6]=138106,[8]=138108,[9]=138109,[10]=138110,[11]=138111,[12]=138112","60061,15052,15056,",390000,0.3,106,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,19}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{5,55}",908700,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,19}","{1,200},{2,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{4,55}",585000
21,50000004,120,神将（120）,"{60015, 1}",7200,0,[10]=158110,"60061,15062,15068,",480000,0.3,107,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,20}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{5,55}",1118400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,20}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{4,55}",720000
22,50000004,124,大象精（124）,"{60015, 1}",7200,0,[10]=158110,"60061,15062,15068,",480000,0.3,107,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,21}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{6,55}",1118400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,21}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{5,55}",720000
23,50000004,128,白龙马（128）,"{60015, 1}",7200,0,[10]=158110,"60061,15062,15068,",480000,0.3,107,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,22}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{6,55}",1118400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,22}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{5,55}",720000
24,50000004,132,沙和尚（132）,"{60015, 1}",7200,0,[10]=158110,"60061,15062,15068,",690000,0.3,107,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,23}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{6,55}",1607700,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,23}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{5,55}",1035000
25,50000004,136,黑熊精（136）,"{60015, 1}",7200,0,[10]=158110,"60061,15062,15068,",690000,0.3,107,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,24}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{7,55}",1607700,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,24}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{6,55}",1035000
26,50000006,140,龙王（140）,"{60015, 1}",14400,0,[10]=184110,"60061,15073,15079,",830000,0.3,108,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,25}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{7,55}",1933900,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,25}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{6,55}",1245000
27,50000006,144,黑山老妖（144）,"{60015, 1}",14400,0,[10]=184110,"60061,15073,15079,",830000,0.3,108,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,26}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{7,55}",1933900,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,26}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{6,55}",1245000
28,50000006,148,羊力大仙（148）,"{60015, 1}",14400,0,[10]=184110,"60061,15073,15079,",830000,0.3,108,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,27}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{8,55}",1933900,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,27}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{7,55}",1245000
29,50000006,152,虎力大仙（152）,"{60015, 1}",14400,0,[10]=184110,"60061,15073,15079,",1000000,0.3,108,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,28}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{8,55}",2330000,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,28}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{7,55}",1500000
30,50000006,156,鹿力大仙（156）,"{60015, 1}",14400,0,[10]=184110,"60061,15073,15079,",1000000,0.3,108,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,29}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{8,55}",2330000,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,29}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{7,55}",1500000
31,50000006,160,罗汉（160）,"{60015, 1}",21600,0,[10]=184110,"60061,15082,15087,",1180000,0.3,109,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,30}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{9,55}",2749400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,30}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{8,55}",1770000
32,50000006,164,金刚（164）,"{60015, 1}",21600,0,[10]=184110,"60061,15085,15087,",1180000,0.3,109,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,31}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{9,55}",2749400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,31}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{8,55}",1770000
33,50000006,168,黑无常（168）,"{60015, 1}",21600,0,[10]=184110,"60061,15082,15087,",1180000,0.3,109,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,32}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{9,55}",2749400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,32}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{8,55}",1770000
34,50000006,172,白无常（172）,"{60015, 1}",21600,0,[10]=184110,"60061,15083,15087,",1380000,0.3,109,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,33}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{10,55}",3215400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,33}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{9,55}",2070000
35,50000006,176,猪八戒（176）,"{60015, 1}",21600,0,[10]=184110,"60061,15082,15087,",1380000,0.3,109,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,34}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{10,55}",3215400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,34}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{9,55}",2070000
36,50000006,180,银角大王（180）,"{60015, 1}",21600,0,[10]=184110,"60061,15091,15094,",1570000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,35}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{10,55}",3658100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,35}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{9,55}",2355000
37,50000006,184,金角大王（184）,"{60015, 1}",21600,0,[10]=184110,"60061,15091,15094,",1570000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,36}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{11,55}",3658100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,36}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{10,55}",2355000
38,50000006,188,唐僧（188）,"{60015, 1}",21600,0,[10]=184110,"60061,15095,15094,",1570000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,37}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{11,55}",3658100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,37}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{10,55}",2355000
39,50000006,192,红孩儿（192）,"{60015, 1}",21600,0,[10]=184110,"60061,15096,15094,",1770000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,38}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{11,55}",4124100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,38}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{10,55}",2655000
40,50000006,196,青狮怪（196）,"{60015, 1}",21600,0,[10]=184110,"60061,15098,15094,",1770000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,39}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{12,55}",4124100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,39}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{11,55}",2655000
41,50000006,200,龙公主（200）,"{60015, 1}",21600,0,[10]=184110,"60061,15091,15094,",1770000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,40}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{12,55}",4124100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,40}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{11,55}",2655000
42,50000006,205,十世阎君（205）,"{60015, 1}",21600,0,[10]=184110,"60061,15091,15094,",1980000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,41}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{12,55}",4613400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,41}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{11,55}",2871000
43,50000006,210,水中仙（210）,"{60015, 1}",21600,0,[10]=184110,"60061,15093,15094,",1980000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,42}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{13,55}",4613400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,42}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{12,55}",2871000
44,50000006,215,大鹏怪（215）,"{60015, 1}",21600,0,[10]=184110,"60061,15091,15094,",2170000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,43}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{13,55}",5056100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,43}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{12,55}",3146500
45,50000006,220,人鱼（220）,"{60015, 1}",21600,0,[10]=184110,"60061,15091,15094,",2170000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,44}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{13,55}",5056100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,44}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{12,55}",3146500
46,50000006,225,牛魔王（225）,"{60015, 1}",21600,0,[10]=184110,"60061,15092,15094,",2170000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,45}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{14,55}",5056100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,45}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{13,55}",3146500
47,50000006,230,哪吒（230）,"{60015, 1}",21600,0,[10]=184110,"60061,15097,15094,",2370000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,46}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{14,55}",5522100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,46}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{13,55}",3436500
48,50000006,235,二郎神（235）,"{60015, 1}",21600,0,[10]=184110,"60061,15091,15094,",2370000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,47}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{14,55}",5522100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,47}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{13,55}",3436500
49,50000006,240,仙鹤（240）,"{60015, 1}",21600,0,[10]=184110,"60061,15091,15094,",2370000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,48}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{15,55}",5522100,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,48}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{14,55}",3436500
50,50000006,245,通天神猿（245）,"{60015, 1}",21600,0,[10]=184110,"60061,15095,15094,",2580000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,49}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{15,55}",6011400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,49}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{14,55}",3741000
51,50000006,250,昴日星官（250）,"{60015, 1}",21600,0,[10]=184110,"60061,15091,15094,",2580000,0.3,110,2,4,0,0,"{0,100}","{1,100},{2,100}","{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,50}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{15,55}",6011400,"{2,100}","{2,1000},{3,500},{3,100}","{0,1000},{1,50}","{1,100}","{101,100},{102,100}","{0,299},{1,1}","{0,45},{14,55}",3741000
