生死劫索引,怪物entryId,说明,等级（要求）,能否组队,宝箱,开启宝箱消耗,怪物列表,怪物列表,怪物列表,掉落库,劫索引,劫名称,几率掉落展示,宝箱奖励,首通奖励展示,领取宝箱后固定物品显示
9,171010,第2劫(4),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",2,第二劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
10,171010,第2劫(5),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",2,第二劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
11,171010,第2劫(6),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",2,第二劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
12,171010,第3劫(1),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",3,第三劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
13,171010,第3劫(2),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",3,第三劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
14,171010,第3劫(3),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",3,第三劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
15,171010,第3劫(4),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",3,第三劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
16,171010,第3劫(5),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",3,第三劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
17,171010,第3劫(6),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",3,第三劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
18,171010,第4劫(1),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",4,第四劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
19,171010,第4劫(2),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",4,第四劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
20,171010,第4劫(3),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",4,第四劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
21,171010,第4劫(4),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",4,第四劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
22,171010,第4劫(5),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",4,第四劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
23,171010,第4劫(6),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",4,第四劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
24,171010,第5劫(1),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",5,第五劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
25,171010,第5劫(2),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",5,第五劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
26,171010,第5劫(3),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",5,第五劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
27,171010,第5劫(4),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",5,第五劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
28,171010,第5劫(5),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",5,第五劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
29,171010,第5劫(6),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",5,第五劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
30,171010,第6劫(1),105,1,"218,219,",500,"[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=155002,[3]=155003,[4]=155004,[5]=155005,[6]=155006,[8]=155008,[9]=155009,[10]=155010,[11]=155011,[12]=155012","[2]=171002,[3]=171003,[4]=171004,[5]=171005,[6]=171006,[8]=171008,[9]=171009,[10]=171010,[11]=171011,[12]=171012","218,219,",6,第六劫,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}"
