#序号,任务名称,npcId,对话npc,任务提示,背景描述,奖励描述,任务类型名称,任务类型（主线任务1）,能否放弃,接受和完成任务接听（1：接受新任务  2：完成任务）,任务跟踪完成信息XML,任务跟踪完成信息普通文本,寻路链接参数（根据不同协议，提供不同超链接给显示内容）
TaskId_kn,TaskName_s,NpcIds_s,NpcNames_s,TaskTips_s,TaskBackground_s,TaskPrize_s,TaskTypeName_s,TaskType_n,Cancel_n,Listen_t1,TraceXMLContent_s,TraceContent_s,FindLink_t
2053,高老庄1_1,10001,桤木西,通关高老庄1_1,通关高老庄1_1,,主线,1,,,与%s对话,与%s对话,
2055,高老庄1_4,10001,桤木西,通关高老庄1_4,通关高老庄1_4,,主线,1,,,与%s对话,与%s对话,
2057,高老庄1_7,10001,桤木西,通关高老庄1_7,通关高老庄1_7,,主线,1,,,与%s对话,与%s对话,
2059,高老庄1_10,10001,桤木西,通关高老庄1_10,通关高老庄1_10,,主线,1,,,与%s对话,与%s对话,
2061,高老庄2_1,10001,桤木西,通关高老庄2_1,通关高老庄2_1,,主线,1,,,与%s对话,与%s对话,
2063,高老庄2_4,10001,桤木西,通关高老庄2_4,通关高老庄2_4,,主线,1,,,与%s对话,与%s对话,
2065,高老庄2_7,10001,桤木西,通关高老庄2_7,通关高老庄2_7,,主线,1,,,与%s对话,与%s对话,
2067,高老庄2_10,10001,桤木西,通关高老庄2_10,通关高老庄2_10,,主线,1,,,与%s对话,与%s对话,
2069,高老庄3_1,10001,桤木西,通关高老庄3_1,通关高老庄3_1,,主线,1,,,与%s对话,与%s对话,
2071,高老庄3_4,10001,桤木西,通关高老庄3_4,通关高老庄3_4,,主线,1,,,与%s对话,与%s对话,
2073,高老庄3_7,10001,桤木西,通关高老庄3_7,通关高老庄3_7,,主线,1,,,与%s对话,与%s对话,
2075,高老庄3_10,10001,桤木西,通关高老庄3_10,通关高老庄3_10,,主线,1,,,与%s对话,与%s对话,
2077,高老庄4_1,10001,桤木西,通关高老庄4_1,通关高老庄4_1,,主线,1,,,与%s对话,与%s对话,
2079,高老庄4_4,10001,桤木西,通关高老庄4_4,通关高老庄4_4,,主线,1,,,与%s对话,与%s对话,
2081,高老庄4_7,10001,桤木西,通关高老庄4_7,通关高老庄4_7,,主线,1,,,与%s对话,与%s对话,
2083,高老庄4_10,10001,桤木西,通关高老庄4_10,通关高老庄4_10,,主线,1,,,与%s对话,与%s对话,
2085,高老庄5_1,10001,桤木西,通关高老庄5_1,通关高老庄5_1,,主线,1,,,与%s对话,与%s对话,
2087,高老庄5_4,10001,桤木西,通关高老庄5_4,通关高老庄5_4,,主线,1,,,与%s对话,与%s对话,
2089,高老庄5_7,10001,桤木西,通关高老庄5_7,通关高老庄5_7,,主线,1,,,与%s对话,与%s对话,
2091,高老庄5_10,10001,桤木西,通关高老庄5_10,通关高老庄5_10,,主线,1,,,与%s对话,与%s对话,
2093,前往黄风岭,10001,桤木西,完成前往黄风岭,完成前往黄风岭,,主线,1,,,与%s对话,与%s对话,
2095,黄风岭1_1,10001,桤木西,通关黄风岭1_1,通关黄风岭1_1,,主线,1,,,与%s对话,与%s对话,
2097,黄风岭1_4,10001,桤木西,通关黄风岭1_4,通关黄风岭1_4,,主线,1,,,与%s对话,与%s对话,
2099,黄风岭1_7,10001,桤木西,通关黄风岭1_7,通关黄风岭1_7,,主线,1,,,与%s对话,与%s对话,
2101,黄风岭1_10,10001,桤木西,通关黄风岭1_10,通关黄风岭1_10,,主线,1,,,与%s对话,与%s对话,
2103,黄风岭2_1,10001,桤木西,通关黄风岭2_1,通关黄风岭2_1,,主线,1,,,与%s对话,与%s对话,
2105,黄风岭2_4,10001,桤木西,通关黄风岭2_4,通关黄风岭2_4,,主线,1,,,与%s对话,与%s对话,
2107,黄风岭2_7,10001,桤木西,通关黄风岭2_7,通关黄风岭2_7,,主线,1,,,与%s对话,与%s对话,
2109,黄风岭2_10,10001,桤木西,通关黄风岭2_10,通关黄风岭2_10,,主线,1,,,与%s对话,与%s对话,
2111,黄风岭3_1,10001,桤木西,通关黄风岭3_1,通关黄风岭3_1,,主线,1,,,与%s对话,与%s对话,
2113,黄风岭3_4,10001,桤木西,通关黄风岭3_4,通关黄风岭3_4,,主线,1,,,与%s对话,与%s对话,
2115,黄风岭3_7,10001,桤木西,通关黄风岭3_7,通关黄风岭3_7,,主线,1,,,与%s对话,与%s对话,
2117,黄风岭3_10,10001,桤木西,通关黄风岭3_10,通关黄风岭3_10,,主线,1,,,与%s对话,与%s对话,
2119,黄风岭4_1,10001,桤木西,通关黄风岭4_1,通关黄风岭4_1,,主线,1,,,与%s对话,与%s对话,
2121,黄风岭4_4,10001,桤木西,通关黄风岭4_4,通关黄风岭4_4,,主线,1,,,与%s对话,与%s对话,
2123,黄风岭4_7,10001,桤木西,通关黄风岭4_7,通关黄风岭4_7,,主线,1,,,与%s对话,与%s对话,
2125,黄风岭4_10,10001,桤木西,通关黄风岭4_10,通关黄风岭4_10,,主线,1,,,与%s对话,与%s对话,
2127,黄风岭5_1,10001,桤木西,通关黄风岭5_1,通关黄风岭5_1,,主线,1,,,与%s对话,与%s对话,
2129,黄风岭5_4,10001,桤木西,通关黄风岭5_4,通关黄风岭5_4,,主线,1,,,与%s对话,与%s对话,
2131,黄风岭5_7,10001,桤木西,通关黄风岭5_7,通关黄风岭5_7,,主线,1,,,与%s对话,与%s对话,
2133,黄风岭5_10,10001,桤木西,通关黄风岭5_10,通关黄风岭5_10,,主线,1,,,与%s对话,与%s对话,
2135,前往流沙河,10001,桤木西,完成前往流沙河,完成前往流沙河,,主线,1,,,与%s对话,与%s对话,
2137,流沙河1_1,10001,桤木西,通关流沙河1_1,通关流沙河1_1,,主线,1,,,与%s对话,与%s对话,
2139,流沙河1_4,10001,桤木西,通关流沙河1_4,通关流沙河1_4,,主线,1,,,与%s对话,与%s对话,
2141,流沙河1_7,10001,桤木西,通关流沙河1_7,通关流沙河1_7,,主线,1,,,与%s对话,与%s对话,
2143,流沙河1_10,10001,桤木西,通关流沙河1_10,通关流沙河1_10,,主线,1,,,与%s对话,与%s对话,
2145,流沙河2_1,10001,桤木西,通关流沙河2_1,通关流沙河2_1,,主线,1,,,与%s对话,与%s对话,
2147,流沙河2_4,10001,桤木西,通关流沙河2_4,通关流沙河2_4,,主线,1,,,与%s对话,与%s对话,
2149,流沙河2_7,10001,桤木西,通关流沙河2_7,通关流沙河2_7,,主线,1,,,与%s对话,与%s对话,
2151,流沙河2_10,10001,桤木西,通关流沙河2_10,通关流沙河2_10,,主线,1,,,与%s对话,与%s对话,
2153,流沙河3_1,10001,桤木西,通关流沙河3_1,通关流沙河3_1,,主线,1,,,与%s对话,与%s对话,
2155,流沙河3_4,10001,桤木西,通关流沙河3_4,通关流沙河3_4,,主线,1,,,与%s对话,与%s对话,
2157,流沙河3_7,10001,桤木西,通关流沙河3_7,通关流沙河3_7,,主线,1,,,与%s对话,与%s对话,
2159,流沙河3_10,10001,桤木西,通关流沙河3_10,通关流沙河3_10,,主线,1,,,与%s对话,与%s对话,
2161,流沙河4_1,10001,桤木西,通关流沙河4_1,通关流沙河4_1,,主线,1,,,与%s对话,与%s对话,
2163,流沙河4_4,10001,桤木西,通关流沙河4_4,通关流沙河4_4,,主线,1,,,与%s对话,与%s对话,
2165,流沙河4_7,10001,桤木西,通关流沙河4_7,通关流沙河4_7,,主线,1,,,与%s对话,与%s对话,
2167,流沙河4_10,10001,桤木西,通关流沙河4_10,通关流沙河4_10,,主线,1,,,与%s对话,与%s对话,
2169,流沙河5_1,10001,桤木西,通关流沙河5_1,通关流沙河5_1,,主线,1,,,与%s对话,与%s对话,
2171,流沙河5_4,10001,桤木西,通关流沙河5_4,通关流沙河5_4,,主线,1,,,与%s对话,与%s对话,
2173,流沙河5_7,10001,桤木西,通关流沙河5_7,通关流沙河5_7,,主线,1,,,与%s对话,与%s对话,
2175,流沙河5_10,10001,桤木西,通关流沙河5_10,通关流沙河5_10,,主线,1,,,与%s对话,与%s对话,
2177,流沙河6_1,10001,桤木西,通关流沙河6_1,通关流沙河6_1,,主线,1,,,与%s对话,与%s对话,
2179,流沙河6_4,10001,桤木西,通关流沙河6_4,通关流沙河6_4,,主线,1,,,与%s对话,与%s对话,
2181,流沙河6_7,10001,桤木西,通关流沙河6_7,通关流沙河6_7,,主线,1,,,与%s对话,与%s对话,
2183,流沙河6_10,10001,桤木西,通关流沙河6_10,通关流沙河6_10,,主线,1,,,与%s对话,与%s对话,
2185,流沙河7_1,10001,桤木西,通关流沙河7_1,通关流沙河7_1,,主线,1,,,与%s对话,与%s对话,
2187,流沙河7_4,10001,桤木西,通关流沙河7_4,通关流沙河7_4,,主线,1,,,与%s对话,与%s对话,
2189,流沙河7_7,10001,桤木西,通关流沙河7_7,通关流沙河7_7,,主线,1,,,与%s对话,与%s对话,
2191,流沙河7_10,10001,桤木西,通关流沙河7_10,通关流沙河7_10,,主线,1,,,与%s对话,与%s对话,
2193,流沙河8_1,10001,桤木西,通关流沙河8_1,通关流沙河8_1,,主线,1,,,与%s对话,与%s对话,
2195,流沙河8_4,10001,桤木西,通关流沙河8_4,通关流沙河8_4,,主线,1,,,与%s对话,与%s对话,
2197,流沙河8_7,10001,桤木西,通关流沙河8_7,通关流沙河8_7,,主线,1,,,与%s对话,与%s对话,
2199,流沙河8_10,10001,桤木西,通关流沙河8_10,通关流沙河8_10,,主线,1,,,与%s对话,与%s对话,
2201,前往五庄观,10001,桤木西,完成前往五庄观,完成前往五庄观,,主线,1,,,与%s对话,与%s对话,
2203,五庄观1_1,10001,桤木西,通关五庄观1_1,通关五庄观1_1,,主线,1,,,与%s对话,与%s对话,
2205,五庄观1_4,10001,桤木西,通关五庄观1_4,通关五庄观1_4,,主线,1,,,与%s对话,与%s对话,
2207,五庄观1_7,10001,桤木西,通关五庄观1_7,通关五庄观1_7,,主线,1,,,与%s对话,与%s对话,
2209,五庄观1_10,10001,桤木西,通关五庄观1_10,通关五庄观1_10,,主线,1,,,与%s对话,与%s对话,
2211,五庄观2_1,10001,桤木西,通关五庄观2_1,通关五庄观2_1,,主线,1,,,与%s对话,与%s对话,
2213,五庄观2_4,10001,桤木西,通关五庄观2_4,通关五庄观2_4,,主线,1,,,与%s对话,与%s对话,
2215,五庄观2_7,10001,桤木西,通关五庄观2_7,通关五庄观2_7,,主线,1,,,与%s对话,与%s对话,
2217,五庄观2_10,10001,桤木西,通关五庄观2_10,通关五庄观2_10,,主线,1,,,与%s对话,与%s对话,
2219,五庄观3_1,10001,桤木西,通关五庄观3_1,通关五庄观3_1,,主线,1,,,与%s对话,与%s对话,
2221,五庄观3_4,10001,桤木西,通关五庄观3_4,通关五庄观3_4,,主线,1,,,与%s对话,与%s对话,
2223,五庄观3_7,10001,桤木西,通关五庄观3_7,通关五庄观3_7,,主线,1,,,与%s对话,与%s对话,
2225,五庄观3_10,10001,桤木西,通关五庄观3_10,通关五庄观3_10,,主线,1,,,与%s对话,与%s对话,
2227,五庄观4_1,10001,桤木西,通关五庄观4_1,通关五庄观4_1,,主线,1,,,与%s对话,与%s对话,
2229,五庄观4_4,10001,桤木西,通关五庄观4_4,通关五庄观4_4,,主线,1,,,与%s对话,与%s对话,
2231,五庄观4_7,10001,桤木西,通关五庄观4_7,通关五庄观4_7,,主线,1,,,与%s对话,与%s对话,
2233,五庄观4_10,10001,桤木西,通关五庄观4_10,通关五庄观4_10,,主线,1,,,与%s对话,与%s对话,
2235,五庄观5_1,10001,桤木西,通关五庄观5_1,通关五庄观5_1,,主线,1,,,与%s对话,与%s对话,
2237,五庄观5_4,10001,桤木西,通关五庄观5_4,通关五庄观5_4,,主线,1,,,与%s对话,与%s对话,
2239,五庄观5_7,10001,桤木西,通关五庄观5_7,通关五庄观5_7,,主线,1,,,与%s对话,与%s对话,
2241,五庄观5_10,10001,桤木西,通关五庄观5_10,通关五庄观5_10,,主线,1,,,与%s对话,与%s对话,
2243,五庄观6_1,10001,桤木西,通关五庄观6_1,通关五庄观6_1,,主线,1,,,与%s对话,与%s对话,
2245,五庄观6_4,10001,桤木西,通关五庄观6_4,通关五庄观6_4,,主线,1,,,与%s对话,与%s对话,
2247,五庄观6_7,10001,桤木西,通关五庄观6_7,通关五庄观6_7,,主线,1,,,与%s对话,与%s对话,
2249,五庄观6_10,10001,桤木西,通关五庄观6_10,通关五庄观6_10,,主线,1,,,与%s对话,与%s对话,
2251,五庄观7_1,10001,桤木西,通关五庄观7_1,通关五庄观7_1,,主线,1,,,与%s对话,与%s对话,
2253,五庄观7_4,10001,桤木西,通关五庄观7_4,通关五庄观7_4,,主线,1,,,与%s对话,与%s对话,
2255,五庄观7_7,10001,桤木西,通关五庄观7_7,通关五庄观7_7,,主线,1,,,与%s对话,与%s对话,
2257,五庄观7_10,10001,桤木西,通关五庄观7_10,通关五庄观7_10,,主线,1,,,与%s对话,与%s对话,
2259,五庄观8_1,10001,桤木西,通关五庄观8_1,通关五庄观8_1,,主线,1,,,与%s对话,与%s对话,
2261,五庄观8_4,10001,桤木西,通关五庄观8_4,通关五庄观8_4,,主线,1,,,与%s对话,与%s对话,
2263,五庄观8_7,10001,桤木西,通关五庄观8_7,通关五庄观8_7,,主线,1,,,与%s对话,与%s对话,
2265,五庄观8_10,10001,桤木西,通关五庄观8_10,通关五庄观8_10,,主线,1,,,与%s对话,与%s对话,
2267,前往花果山,10001,桤木西,完成前往花果山,完成前往花果山,,主线,1,,,与%s对话,与%s对话,
2269,花果山1_1,10001,桤木西,通关花果山1_1,通关花果山1_1,,主线,1,,,与%s对话,与%s对话,
2271,花果山1_4,10001,桤木西,通关花果山1_4,通关花果山1_4,,主线,1,,,与%s对话,与%s对话,
2273,花果山1_7,10001,桤木西,通关花果山1_7,通关花果山1_7,,主线,1,,,与%s对话,与%s对话,
2275,花果山1_10,10001,桤木西,通关花果山1_10,通关花果山1_10,,主线,1,,,与%s对话,与%s对话,
2277,花果山2_1,10001,桤木西,通关花果山2_1,通关花果山2_1,,主线,1,,,与%s对话,与%s对话,
2279,花果山2_4,10001,桤木西,通关花果山2_4,通关花果山2_4,,主线,1,,,与%s对话,与%s对话,
2281,花果山2_7,10001,桤木西,通关花果山2_7,通关花果山2_7,,主线,1,,,与%s对话,与%s对话,
2283,花果山2_10,10001,桤木西,通关花果山2_10,通关花果山2_10,,主线,1,,,与%s对话,与%s对话,
2285,花果山3_1,10001,桤木西,通关花果山3_1,通关花果山3_1,,主线,1,,,与%s对话,与%s对话,
2287,花果山3_4,10001,桤木西,通关花果山3_4,通关花果山3_4,,主线,1,,,与%s对话,与%s对话,
2289,花果山3_7,10001,桤木西,通关花果山3_7,通关花果山3_7,,主线,1,,,与%s对话,与%s对话,
2291,花果山3_10,10001,桤木西,通关花果山3_10,通关花果山3_10,,主线,1,,,与%s对话,与%s对话,
2293,花果山4_1,10001,桤木西,通关花果山4_1,通关花果山4_1,,主线,1,,,与%s对话,与%s对话,
2295,花果山4_4,10001,桤木西,通关花果山4_4,通关花果山4_4,,主线,1,,,与%s对话,与%s对话,
2297,花果山4_7,10001,桤木西,通关花果山4_7,通关花果山4_7,,主线,1,,,与%s对话,与%s对话,
2299,花果山4_10,10001,桤木西,通关花果山4_10,通关花果山4_10,,主线,1,,,与%s对话,与%s对话,
2301,花果山5_1,10001,桤木西,通关花果山5_1,通关花果山5_1,,主线,1,,,与%s对话,与%s对话,
2303,花果山5_4,10001,桤木西,通关花果山5_4,通关花果山5_4,,主线,1,,,与%s对话,与%s对话,
2305,花果山5_7,10001,桤木西,通关花果山5_7,通关花果山5_7,,主线,1,,,与%s对话,与%s对话,
2307,花果山5_10,10001,桤木西,通关花果山5_10,通关花果山5_10,,主线,1,,,与%s对话,与%s对话,
2309,花果山6_1,10001,桤木西,通关花果山6_1,通关花果山6_1,,主线,1,,,与%s对话,与%s对话,
2311,花果山6_4,10001,桤木西,通关花果山6_4,通关花果山6_4,,主线,1,,,与%s对话,与%s对话,
2313,花果山6_7,10001,桤木西,通关花果山6_7,通关花果山6_7,,主线,1,,,与%s对话,与%s对话,
2315,花果山6_10,10001,桤木西,通关花果山6_10,通关花果山6_10,,主线,1,,,与%s对话,与%s对话,
2317,花果山7_1,10001,桤木西,通关花果山7_1,通关花果山7_1,,主线,1,,,与%s对话,与%s对话,
2319,花果山7_4,10001,桤木西,通关花果山7_4,通关花果山7_4,,主线,1,,,与%s对话,与%s对话,
2321,花果山7_7,10001,桤木西,通关花果山7_7,通关花果山7_7,,主线,1,,,与%s对话,与%s对话,
2323,花果山7_10,10001,桤木西,通关花果山7_10,通关花果山7_10,,主线,1,,,与%s对话,与%s对话,
2325,花果山8_1,10001,桤木西,通关花果山8_1,通关花果山8_1,,主线,1,,,与%s对话,与%s对话,
2327,花果山8_4,10001,桤木西,通关花果山8_4,通关花果山8_4,,主线,1,,,与%s对话,与%s对话,
2329,花果山8_7,10001,桤木西,通关花果山8_7,通关花果山8_7,,主线,1,,,与%s对话,与%s对话,
2331,花果山8_10,10001,桤木西,通关花果山8_10,通关花果山8_10,,主线,1,,,与%s对话,与%s对话,
2333,花果山9_1,10001,桤木西,通关花果山9_1,通关花果山9_1,,主线,1,,,与%s对话,与%s对话,
2335,花果山9_4,10001,桤木西,通关花果山9_4,通关花果山9_4,,主线,1,,,与%s对话,与%s对话,
2337,花果山9_7,10001,桤木西,通关花果山9_7,通关花果山9_7,,主线,1,,,与%s对话,与%s对话,
2339,花果山9_10,10001,桤木西,通关花果山9_10,通关花果山9_10,,主线,1,,,与%s对话,与%s对话,
2341,花果山10_1,10001,桤木西,通关花果山10_1,通关花果山10_1,,主线,1,,,与%s对话,与%s对话,
2343,花果山10_4,10001,桤木西,通关花果山10_4,通关花果山10_4,,主线,1,,,与%s对话,与%s对话,
2345,花果山10_7,10001,桤木西,通关花果山10_7,通关花果山10_7,,主线,1,,,与%s对话,与%s对话,
2347,花果山10_10,10001,桤木西,通关花果山10_10,通关花果山10_10,,主线,1,,,与%s对话,与%s对话,
2349,前往乌鸡国,10001,桤木西,完成前往乌鸡国,完成前往乌鸡国,,主线,1,,,与%s对话,与%s对话,
