索引,说明,库,物品ID,物品名称,权重,数量,品质,条件,修正增加权重
26,军团副本14级王者英魂掉落,1000,,空,350,,100,"level={14,14}",
27,军团副本15级王者英魂掉落,1000,30001,青苹果,700,2,100,"level={15,15}",
28,军团副本15级王者英魂掉落,1000,,空,300,,100,"level={15,15}",
29,军团副本16级王者英魂掉落,1000,30001,青苹果,800,2,100,"level={16,16}",
30,军团副本16级王者英魂掉落,1000,,空,200,,100,"level={16,16}",
31,军团副本17级王者英魂掉落,1000,30001,青苹果,850,2,100,"level={17,17}",
32,军团副本17级王者英魂掉落,1000,,空,150,,100,"level={17,17}",
33,军团副本18~29级王者英魂掉落,1000,30001,青苹果,900,1,100,"level={18,29}",
34,军团副本18~29级王者英魂掉落,1000,,空,100,,100,"level={18,29}",
35,军团副本30~39级王者英魂掉落,1000,30001,青苹果,700,2,100,"level={30,39}",
36,军团副本30~39级王者英魂掉落,1000,,空,300,,100,"level={30,39}",
37,军团副本40~44级王者英魂掉落,1000,30001,青苹果,700,3,100,"level={40,44}",
38,军团副本40~44级王者英魂掉落,1000,,空,300,,100,"level={40,44}",
39,军团副本45~49级王者英魂掉落,1000,30001,青苹果,800,4,100,"level={45,49}",
40,军团副本45~49级王者英魂掉落,1000,,空,200,,100,"level={45,49}",
41,军团副本50~54级王者英魂掉落,1000,30001,青苹果,800,6,100,"level={50,54}",
42,军团副本50~54级王者英魂掉落,1000,,空,200,,100,"level={50,54}",
43,军团副本55~60级王者英魂掉落,1000,30001,青苹果,730,10,100,"level={55,80}",
44,军团副本55~60级王者英魂掉落,1000,,空,270,,100,"level={55,80}",
45,贵族考试王者英魂（1级）,1003,30001,青苹果,100,840,100,"level={1,9}",
46,贵族考试王者英魂（2级）,1003,30001,青苹果,100,1050,100,"level={10,19}",
47,贵族考试王者英魂（3级）,1003,30001,青苹果,100,1350,100,"level={20,29}",
48,贵族考试王者英魂（4级）,1003,30001,青苹果,100,1710,100,"level={30,39}",
49,贵族考试王者英魂（5级）,1003,30001,青苹果,100,2190,100,"level={40,49}",
50,贵族考试王者英魂（6级）,1003,30001,青苹果,100,2820,100,"level={50,59}",
51,贵族考试王者英魂（7级）,1003,30001,青苹果,100,3600,100,"level={60,60}",
79,军团副本1级护卫英魂掉落,1001,30001,青苹果,300,1,100,"level={1,1}",
80,军团副本1级护卫英魂掉落,1001,,空,700,,100,"level={1,1}",
81,军团副本2级护卫英魂掉落,1001,30001,青苹果,400,1,100,"level={2,2}",
82,军团副本2级护卫英魂掉落,1001,,空,600,,100,"level={2,2}",
83,军团副本3级护卫英魂掉落,1001,30001,青苹果,500,1,100,"level={3,3}",
84,军团副本3级护卫英魂掉落,1001,,空,500,,100,"level={3,3}",
85,军团副本4级护卫英魂掉落,1001,30001,青苹果,600,1,100,"level={4,4}",
86,军团副本4级护卫英魂掉落,1001,,空,400,,100,"level={4,4}",
87,军团副本5级护卫英魂掉落,1001,30001,青苹果,600,1,100,"level={5,5}",
88,军团副本5级护卫英魂掉落,1001,,空,400,,100,"level={5,5}",
89,军团副本6级护卫英魂掉落,1001,30001,青苹果,700,1,100,"level={6,6}",
90,军团副本6级护卫英魂掉落,1001,,空,300,,100,"level={6,6}",
91,军团副本7级护卫英魂掉落,1001,30001,青苹果,800,1,100,"level={7,7}",
92,军团副本7级护卫英魂掉落,1001,,空,200,,100,"level={7,7}",
93,军团副本8级护卫英魂掉落,1001,30001,青苹果,800,1,100,"level={8,8}",
94,军团副本8级护卫英魂掉落,1001,,空,200,,100,"level={8,8}",
95,军团副本9级护卫英魂掉落,1001,30001,青苹果,1,1,100,"level={9,9}",
96,军团副本10级护卫英魂掉落,1001,30001,青苹果,1,1,100,"level={10,10}",
97,军团副本11级护卫英魂掉落,1001,30001,青苹果,550,2,100,"level={11,11}",
98,军团副本11级护卫英魂掉落,1001,,空,450,,100,"level={11,11}",
99,军团副本12级护卫英魂掉落,1001,30001,青苹果,600,2,100,"level={12,12}",
100,军团副本12级护卫英魂掉落,1001,,空,400,,100,"level={12,12}",
101,军团副本13级护卫英魂掉落,1001,30001,青苹果,600,2,100,"level={13,13}",
102,军团副本13级护卫英魂掉落,1001,,空,400,,100,"level={13,13}",
103,军团副本14级护卫英魂掉落,1001,30001,青苹果,650,2,100,"level={14,14}",
104,军团副本14级护卫英魂掉落,1001,,空,350,,100,"level={14,14}",
105,军团副本15级护卫英魂掉落,1001,30001,青苹果,700,2,100,"level={15,15}",
106,军团副本15级护卫英魂掉落,1001,,空,300,,100,"level={15,15}",
107,军团副本16级护卫英魂掉落,1001,30001,青苹果,800,2,100,"level={16,16}",
108,军团副本16级护卫英魂掉落,1001,,空,200,,100,"level={16,16}",
109,军团副本17级护卫英魂掉落,1001,30001,青苹果,850,2,100,"level={17,17}",
110,军团副本17级护卫英魂掉落,1001,,空,150,,100,"level={17,17}",
111,军团副本18~29级护卫英魂掉落,1001,30001,青苹果,640,5,100,"level={18,29}",
112,军团副本18~29级护卫英魂掉落,1001,,空,360,,100,"level={18,29}",
113,军团副本30~39级护卫英魂掉落,1001,30001,青苹果,800,6,100,"level={30,39}",
114,军团副本30~39级护卫英魂掉落,1001,,空,200,,100,"level={30,39}",
115,军团副本40~44级护卫英魂掉落,1001,30001,青苹果,720,10,100,"level={40,44}",
116,军团副本40~44级护卫英魂掉落,1001,,空,280,,100,"level={40,44}",
117,军团副本45~49级护卫英魂掉落,1001,30001,青苹果,720,15,100,"level={45,49}",
118,军团副本45~49级护卫英魂掉落,1001,,空,280,,100,"level={45,49}",
119,军团副本50~54级护卫英魂掉落,1001,30001,青苹果,810,20,100,"level={50,54}",
120,军团副本50~54级护卫英魂掉落,1001,,空,190,,100,"level={50,54}",
121,军团副本55~60级护卫英魂掉落,1001,30001,青苹果,610,40,100,"level={55,80}",
122,军团副本55~60级护卫英魂掉落,1001,,空,390,,100,"level={55,80}",
123,1级军团副本小怪掉落,1004,30001,青苹果,50,1,100,,
124,1级军团副本小怪掉落,1004,,空,900,,100,,
125,1级军团副本小怪掉落,1004,20058,强化石,50,1,100,,
126,2级军团副本小怪掉落,1005,30001,青苹果,100,1,100,,
127,2级军团副本小怪掉落,1005,,空,850,,100,,
128,2级军团副本小怪掉落,1005,20058,强化石,50,1,100,,
129,3级军团副本小怪掉落,1006,30001,青苹果,150,1,100,,
130,3级军团副本小怪掉落,1006,,空,800,,100,,
131,3级军团副本小怪掉落,1006,20058,强化石,50,1,100,,
132,4级军团副本小怪掉落,1007,30001,青苹果,200,1,100,,
133,4级军团副本小怪掉落,1007,,空,750,,100,,
134,4级军团副本小怪掉落,1007,20058,强化石,50,1,100,,
135,5级军团副本小怪掉落,1008,30001,青苹果,250,1,100,,
136,5级军团副本小怪掉落,1008,,空,700,,100,,
137,5级军团副本小怪掉落,1008,20058,强化石,50,1,100,,
138,世界BOSS掉落,1024,30001,60经验,1,22,100,"level={1,9}",
139,世界BOSS掉落,1024,30001,60经验,1,29,100,"level={10,19}",
140,世界BOSS掉落,1024,30001,60经验,1,37,100,"level={20,29}",
141,世界BOSS掉落,1024,30001,60经验,1,47,100,"level={30,39}",
142,世界BOSS掉落,1024,30001,60经验,1,60,100,"level={40,49}",
143,世界BOSS掉落,1024,30001,60经验,1,77,100,"level={50,59}",
144,世界BOSS掉落,1024,30001,60经验,1,99,100,"level={60,60}",
145,世界BOSS掉落,1027,40014,星辰图纸,66000,1,100,"level={1,60}",
146,世界BOSS掉落,1027,70008,守护源力,132000,1,100,"level={1,60}",
147,世界BOSS掉落,1027,,空,9802000,,100,"level={1,60}",
148,封魔,1028,50024,神魂结晶,500000,1,100,,
149,封魔,1028,50024,神魂结晶,166667,3,100,,
150,封魔,1028, ,空,333333,1,100,,
151,野外BOSS,1029,60007,神装碎片,100,1,100,,
152,野外BOSS,1029,60009,洗练石,100,1,100,,
