名字,位置索引,皮肤ID,需要什么物品,需要多少个,每一级加多少属性,模型名字
TianXian,9,50009,67009,1,"{'maxhp',3800},{'demage',1520},{'hujia',380}",玉织仙子
TianXian,10,50010,67010,1,"{'maxhp',4600},{'demage',1840},{'hujia',460}",云梦仙子
TianXianWeapon,1,60001,68001,1,"{'maxhp',7800},{'demage',3120},{'hujia',780}",无敌糖果
TianXianWeapon,2,60002,68002,1,"{'maxhp',3000},{'demage',1200},{'hujia',300}",霓虹魔伞
TianXianWeapon,3,60003,68003,1,"{'maxhp',3000},{'demage',1200},{'hujia',300}",海之蓝鲸
TianXianWeapon,4,60004,68004,1,"{'maxhp',11800},{'demage',4720},{'hujia',1180}",星光魔法
TianXianWeapon,5,60005,68005,1,"{'maxhp',3000},{'demage',1200},{'hujia',300}",焚天巨齿
TianXianWeapon,6,60006,68006,1,"{'maxhp',7800},{'demage',3120},{'hujia',780}",远古神杖
TianXianWeapon,7,60007,68007,1,"{'maxhp',21400},{'demage',8560},{'hujia',2140}",骨肉相连
TianXianWeapon,8,60008,68008,1,"{'maxhp',2200},{'demage',880},{'hujia',220}",冰糖葫芦
TianXianWeapon,9,60009,68009,1,"{'maxhp',5800},{'demage',2320},{'hujia',580}",十方俱灭
TianXianWeapon,10,60010,68010,1,"{'maxhp',2200},{'demage',880},{'hujia',220}",六道无常
TianNv,1,70001,69001,1,"{'maxhp',8440},{'demage',3376},{'hujia',844}",天女.瑶姬
TianNv,2,70002,69002,1,"{'maxhp',9240},{'demage',3696},{'hujia',924}",天女.红衣
Hero,1,80001,63001,1,"{'maxhp',2200},{'demage',880},{'hujia',220}",为人师表
Hero,2,80002,63002,1,"{'maxhp',240},{'demage',96},{'hujia',24}",初出茅庐
Hero,3,80003,63003,1,"{'maxhp',1080},{'demage',432},{'hujia',108}",小有成就
Hero,4,80004,63004,1,"{'maxhp',3200},{'demage',1280},{'hujia',320}",宝藏守卫
Hero,5,80005,63005,1,"{'maxhp',2200},{'demage',880},{'hujia',220}",寻宝王者
Hero,6,80006,63006,1,"{'maxhp',1080},{'demage',432},{'hujia',108}",材料商人
Hero,7,80007,63007,1,"{'maxhp',2200},{'demage',880},{'hujia',220}",深藏不露
Hero,8,80008,63008,1,"{'maxhp',1080},{'demage',432},{'hujia',108}",独霸一方
Hero,9,80009,63009,1,"{'maxhp',1080},{'demage',432},{'hujia',108}",天庭试炼
Hero,10,80010,63010,1,"{'maxhp',3400},{'demage',1360},{'hujia',340}",兄弟同心
Hero,11,80011,63011,1,"{'maxhp',1080},{'demage',432},{'hujia',108}",才高八斗
Hero,12,80012,63012,1,"{'maxhp',2200},{'demage',880},{'hujia',220}",学富五车
Hero,13,80013,63013,1,"{'maxhp',480},{'demage',192},{'hujia',48}",百科全书
Hero,14,80014,63014,1,"{'maxhp',4200},{'demage',1680},{'hujia',420}",羽化登仙
Hero,15,80015,63015,1,"{'maxhp',6200},{'demage',2480},{'hujia',620}",我是土豪
Hero,16,80016,63016,1,"{'maxhp',3200},{'demage',1280},{'hujia',320}",锋芒毕露
Hero,17,80017,63017,1,"{'maxhp',4200},{'demage',1680},{'hujia',420}",勇者无畏
Hero,18,80018,63018,1,"{'maxhp',2200},{'demage',880},{'hujia',220}",心有所属
Hero,19,80019,63019,1,"{'maxhp',11400},{'demage',4560},{'hujia',1140}",情同手足
Hero,20,80020,63020,1,"{'maxhp',1080},{'demage',432},{'hujia',108}",志同道合
Hero,21,80021,63021,1,"{'maxhp',4200},{'demage',1680},{'hujia',420}",情深似海
Hero,22,80022,63022,1,"{'maxhp',6200},{'demage',2480},{'hujia',620}",九天雷神
Hero,23,80023,63023,1,"{'maxhp',8200},{'demage',3280},{'hujia',820}",跳出三界
Hero,24,80024,63024,1,"{'maxhp',3200},{'demage',1280},{'hujia',320}",读万卷书
Hero,25,80025,63025,1,"{'maxhp',4200},{'demage',1680},{'hujia',420}",金榜题名
Hero,26,80026,63026,1,"{'maxhp',8200},{'demage',3280},{'hujia',820}",状元郎
Hero,27,80027,63027,1,"{'maxhp',15400},{'demage',6160},{'hujia',1540}",义结金兰
Hero,28,80028,63028,1,"{'maxhp',2200},{'demage',880},{'hujia',220}",谁与争锋
Hero,29,80029,63029,1,"{'maxhp',9000},{'demage',3600},{'hujia',900}",超脱轮回
Hero,30,80030,63030,1,"{'maxhp',4600},{'demage',1840},{'hujia',460}",循循善诱
Hero,31,80031,63031,1,"{'maxhp',19400},{'demage',7760},{'hujia',1940}",诲人不倦
Hero,32,80032,63032,1,"{'maxhp',43400},{'demage',17360},{'hujia',4340}",厚得树人
Hero,33,80033,63033,1,"{'maxhp',75400},{'demage',30160},{'hujia',7540}",桃李天下
HeroEquip,1,90001,65001,1,"{'maxhp',100},{'demage',200},{'speed',200}",新婚时装
HeroEquip,2,90002,65002,1,"{'maxhp',480},{'demage',192},{'hujia',48}",白雪纯情
HeroEquip,3,90003,65003,1,"{'maxhp',6000},{'demage',2400},{'hujia',600}",蓝缕精灵
HeroEquip,4,90004,65004,1,"{'maxhp',2000},{'demage',800},{'hujia',200}",紫电清霜
HeroEquip,5,90005,65005,1,"{'maxhp',2000},{'demage',800},{'hujia',200}",梦幻仙侣
HeroEquip,6,90006,65006,1,"{'maxhp',14200},{'demage',5680},{'hujia',1420}",穿花蝴蝶
HeroEquip,7,90007,65007,1,"{'maxhp',2000},{'demage',800},{'hujia',200}",红尘客栈
HeroEquip,8,90008,65008,1,"{'maxhp',2000},{'demage',800},{'hujia',200}",白日飞升
