关卡ID,章节id,名称,怪物库,难度,需要玩家等级,经验奖励,关卡等级,遇多少次怪,,掉落库,三星通关时间,星级奖励,体力消耗,指定部下增加血量或怒气,增加奧義能量,关卡礼包npcEntryId,礼包有效期,容错
1027,1003,凌霄宝殿2_7,"[3]=102703,[4]=102704,[9]=102709,[10]=102710,[11]=102711",1,10,1322000,10,2,,,120,,0,,,,,0
1028,1003,凌霄宝殿2_8,"[3]=102803,[4]=102804,[9]=102809,[10]=102810,[11]=102811",1,10,1368000,10,2,,,120,,0,,,,,0
1029,1003,凌霄宝殿2_9,[10]=102910,1,10,1416000,10,2,,,120,,0,,,,,0
1030,1003,凌霄宝殿2_10,"[3]=103003,[4]=103004,[9]=103009,[10]=103010,[11]=103011",1,10,1464000,10,2,,,120,,0,,,,,0
1031,1004,阴曹地府1_1,[10]=103110,1,20,1349000,20,3,,,120,,0,,,,,0
1032,1004,阴曹地府1_2,[10]=103210,1,20,1349000,20,3,,,120,,0,,,,,0
1033,1004,阴曹地府1_3,"[3]=103303,[4]=103304,[5]=103305,[9]=103309,[10]=103310,[11]=103311",1,20,1437000,20,3,,,120,,0,,,,,0
1034,1004,阴曹地府1_4,"[3]=103403,[4]=103404,[5]=103405,[9]=103409,[10]=103410,[11]=103411",1,20,1437000,20,3,,,120,,0,,,,,0
1035,1004,阴曹地府1_5,"[3]=103503,[4]=103504,[5]=103505,[9]=103509,[10]=103510,[11]=103511",1,20,1437000,20,3,,,120,,0,,,,,0
1036,1004,阴曹地府1_6,[10]=103610,1,20,1528000,20,3,,,120,,0,,,,,0
1037,1004,阴曹地府1_7,"[3]=103703,[4]=103704,[5]=103705,[9]=103709,[10]=103710,[11]=103711",1,20,1528000,20,3,,,120,,0,,,,,0
1038,1004,阴曹地府1_8,[10]=103810,1,20,1528000,20,3,,,120,,0,,,,,0
1039,1004,阴曹地府1_9,"[3]=103903,[4]=103904,[5]=103905,[9]=103909,[10]=103910,[11]=103911",1,20,1621000,20,3,,,120,,0,,,,,0
1040,1004,阴曹地府1_10,"[3]=104003,[4]=104004,[5]=104005,[9]=104009,[10]=104010,[11]=104011",1,20,1621000,20,3,,,120,,0,,,,,0
1041,1005,阴曹地府2_1,"[2]=104102,[3]=104103,[4]=104104,[5]=104105,[6]=104106,[9]=104109,[10]=104110,[11]=104111",1,20,1621000,20,3,,,120,,0,,,,,0
1042,1005,阴曹地府2_2,"[2]=104202,[3]=104203,[4]=104204,[5]=104205,[6]=104206,[9]=104209,[10]=104210,[11]=104211",1,20,1717000,20,3,,,120,,0,,,,,0
1043,1005,阴曹地府2_3,[10]=104310,1,20,1717000,20,3,,,120,,0,,,,,0
1044,1005,阴曹地府2_4,"[2]=104402,[3]=104403,[4]=104404,[5]=104405,[6]=104406,[9]=104409,[10]=104410,[11]=104411",1,20,1717000,20,3,,,120,,0,,,,,0
1045,1005,阴曹地府2_5,"[2]=104502,[3]=104503,[4]=104504,[5]=104505,[6]=104506,[9]=104509,[10]=104510,[11]=104511",1,20,2397000,20,3,,,120,,0,,,,,0
1046,1005,阴曹地府2_6,"[2]=104602,[3]=104603,[4]=104604,[5]=104605,[6]=104606,[9]=104609,[10]=104610,[11]=104611",1,20,2397000,20,3,,,120,,0,,,,,0
1047,1005,阴曹地府2_7,"[2]=104702,[3]=104703,[4]=104704,[5]=104705,[6]=104706,[9]=104709,[10]=104710,[11]=104711",1,20,2397000,20,3,,,120,,0,,,,,0
1048,1005,阴曹地府2_8,"[2]=104802,[3]=104803,[4]=104804,[5]=104805,[6]=104806,[9]=104809,[10]=104810,[11]=104811",1,20,2530000,20,3,,,120,,0,,,,,0
1049,1005,阴曹地府2_9,"[2]=104902,[3]=104903,[4]=104904,[5]=104905,[6]=104906,[9]=104909,[10]=104910,[11]=104911",1,20,2530000,20,3,,,120,,0,,,,,0
1050,1005,阴曹地府2_10,[10]=105010,1,20,2530000,20,3,,,120,,0,,,,,0
1051,1006,阴曹地府3_1,"[2]=105102,[3]=105103,[4]=105104,[5]=105105,[6]=105106,[9]=105109,[10]=105110,[11]=105111",1,20,2669000,20,3,,,120,,0,,,,,0
1052,1006,阴曹地府3_2,[10]=105210,1,20,2669000,20,3,,,120,,0,,,,,0
1053,1006,阴曹地府3_3,"[2]=105302,[3]=105303,[4]=105304,[5]=105305,[6]=105306,[9]=105309,[10]=105310,[11]=105311",1,20,2669000,20,3,,,120,,0,,,,,0
1054,1006,阴曹地府3_4,[10]=105410,1,20,2810000,20,3,,,120,,0,,,,,0
1055,1006,阴曹地府3_5,"[2]=105502,[3]=105503,[4]=105504,[5]=105505,[6]=105506,[9]=105509,[10]=105510,[11]=105511",1,20,2810000,20,3,,,120,,0,,,,,0
1056,1006,阴曹地府3_6,"[2]=105602,[3]=105603,[4]=105604,[5]=105605,[6]=105606,[9]=105609,[10]=105610,[11]=105611",1,20,2810000,20,3,,,120,,0,,,,,0
1057,1006,阴曹地府3_7,"[2]=105702,[3]=105703,[4]=105704,[5]=105705,[6]=105706,[9]=105709,[10]=105710,[11]=105711",1,20,2956000,20,3,,,120,,0,,,,,0
1058,1006,阴曹地府3_8,[10]=105810,1,20,2956000,20,3,,,120,,0,,,,,0
1059,1006,阴曹地府3_9,"[2]=105902,[3]=105903,[4]=105904,[5]=105905,[6]=105906,[9]=105909,[10]=105910,[11]=105911",1,20,2956000,20,3,,,120,,0,,,,,0
1060,1006,阴曹地府3_10,"[2]=106002,[3]=106003,[4]=106004,[5]=106005,[6]=106006,[9]=106009,[10]=106010,[11]=106011",1,20,2956000,20,3,,,120,,0,,,,,0
1061,1007,长安城1_1,"[2]=106102,[3]=106103,[4]=106104,[5]=106105,[6]=106106,[8]=106108,[9]=106109,[10]=106110,[11]=106111,[12]=106112",1,40,1244000,40,3,,,120,,0,,,,,0
1062,1007,长安城1_2,"[2]=106202,[3]=106203,[4]=106204,[5]=106205,[6]=106206,[8]=106208,[9]=106209,[10]=106210,[11]=106211,[12]=106212",1,40,1244000,40,3,,,120,,0,,,,,0
1063,1007,长安城1_3,[10]=106310,1,40,1244000,40,3,,,120,,0,,,,,0
1064,1007,长安城1_4,[10]=106410,1,40,1244000,40,3,,,120,,0,,,,,0
1065,1007,长安城1_5,"[2]=106502,[3]=106503,[4]=106504,[5]=106505,[6]=106506,[8]=106508,[9]=106509,[10]=106510,[11]=106511,[12]=106512",1,40,1244000,40,3,,,120,,0,,,,,0
1066,1007,长安城1_6,"[2]=106602,[3]=106603,[4]=106604,[5]=106605,[6]=106606,[8]=106608,[9]=106609,[10]=106610,[11]=106611,[12]=106612",1,40,1244000,40,3,,,120,,0,,,,,0
1067,1007,长安城1_7,"[2]=106702,[3]=106703,[4]=106704,[5]=106705,[6]=106706,[8]=106708,[9]=106709,[10]=106710,[11]=106711,[12]=106712",1,40,1244000,40,3,,,120,,0,,,,,0
1068,1007,长安城1_8,"[2]=106802,[3]=106803,[4]=106804,[5]=106805,[6]=106806,[8]=106808,[9]=106809,[10]=106810,[11]=106811,[12]=106812",1,40,1244000,40,3,,,120,,0,,,,,0
1069,1007,长安城1_9,"[2]=106902,[3]=106903,[4]=106904,[5]=106905,[6]=106906,[8]=106908,[9]=106909,[10]=106910,[11]=106911,[12]=106912",1,40,1244000,40,3,,,120,,0,,,,,0
1070,1007,长安城1_10,[10]=107010,1,40,1244000,40,3,,,120,,0,,,,,0
1071,1008,长安城2_1,"[2]=107102,[3]=107103,[4]=107104,[5]=107105,[6]=107106,[8]=107108,[9]=107109,[10]=107110,[11]=107111,[12]=107112",1,40,1244000,40,3,,,120,,0,,,,,0
1072,1008,长安城2_2,"[2]=107202,[3]=107203,[4]=107204,[5]=107205,[6]=107206,[8]=107208,[9]=107209,[10]=107210,[11]=107211,[12]=107212",1,40,1244000,40,3,,,120,,0,,,,,0
1073,1008,长安城2_3,"[2]=107302,[3]=107303,[4]=107304,[5]=107305,[6]=107306,[8]=107308,[9]=107309,[10]=107310,[11]=107311,[12]=107312",1,40,1244000,40,3,,,120,,0,,,,,0
1074,1008,长安城2_4,"[2]=107402,[3]=107403,[4]=107404,[5]=107405,[6]=107406,[8]=107408,[9]=107409,[10]=107410,[11]=107411,[12]=107412",1,40,1244000,40,3,,,120,,0,,,,,0
1075,1008,长安城2_5,"[2]=107502,[3]=107503,[4]=107504,[5]=107505,[6]=107506,[8]=107508,[9]=107509,[10]=107510,[11]=107511,[12]=107512",1,40,1244000,40,3,,,120,,0,,,,,0
1076,1008,长安城2_6,[10]=107610,1,40,1244000,40,3,,,120,,0,,,,,0
1077,1008,长安城2_7,[10]=107710,1,40,1244000,40,3,,,120,,0,,,,,0
1078,1008,长安城2_8,"[2]=107802,[3]=107803,[4]=107804,[5]=107805,[6]=107806,[8]=107808,[9]=107809,[10]=107810,[11]=107811,[12]=107812",1,40,1244000,40,3,,,120,,0,,,,,0
1079,1008,长安城2_9,"[2]=107902,[3]=107903,[4]=107904,[5]=107905,[6]=107906,[8]=107908,[9]=107909,[10]=107910,[11]=107911,[12]=107912",1,40,1244000,40,3,,,120,,0,,,,,0
1080,1008,长安城2_10,[10]=108010,1,40,1244000,40,3,,,120,,0,,,,,0
1081,1009,长安城3_1,[10]=108110,1,40,1244000,40,3,,,120,,0,,,,,0
1082,1009,长安城3_2,"[2]=108202,[3]=108203,[4]=108204,[5]=108205,[6]=108206,[8]=108208,[9]=108209,[10]=108210,[11]=108211,[12]=108212",1,40,1244000,40,3,,,120,,0,,,,,0
1083,1009,长安城3_3,"[2]=108302,[3]=108303,[4]=108304,[5]=108305,[6]=108306,[8]=108308,[9]=108309,[10]=108310,[11]=108311,[12]=108312",1,40,1244000,40,3,,,120,,0,,,,,0
1084,1009,长安城3_4,[10]=108410,1,40,1244000,40,3,,,120,,0,,,,,0
1085,1009,长安城3_5,"[2]=108502,[3]=108503,[4]=108504,[5]=108505,[6]=108506,[8]=108508,[9]=108509,[10]=108510,[11]=108511,[12]=108512",1,40,1244000,40,3,,,120,,0,,,,,0
1086,1009,长安城3_6,[10]=108610,1,40,1244000,40,3,,,120,,0,,,,,0
1087,1009,长安城3_7,"[2]=108702,[3]=108703,[4]=108704,[5]=108705,[6]=108706,[8]=108708,[9]=108709,[10]=108710,[11]=108711,[12]=108712",1,40,1244000,40,3,,,120,,0,,,,,0
1088,1009,长安城3_8,"[2]=108802,[3]=108803,[4]=108804,[5]=108805,[6]=108806,[8]=108808,[9]=108809,[10]=108810,[11]=108811,[12]=108812",1,40,1244000,40,3,,,120,,0,,,,,0
1089,1009,长安城3_9,"[2]=108902,[3]=108903,[4]=108904,[5]=108905,[6]=108906,[8]=108908,[9]=108909,[10]=108910,[11]=108911,[12]=108912",1,40,1244000,40,3,,,120,,0,,,,,0
1090,1009,长安城3_10,"[2]=109002,[3]=109003,[4]=109004,[5]=109005,[6]=109006,[8]=109008,[9]=109009,[10]=109010,[11]=109011,[12]=109012",1,40,1244000,40,3,,,120,,0,,,,,0
1091,1010,五指山1_1,[10]=109110,1,50,2140000,50,3,,,120,,0,,,,,0
1092,1010,五指山1_2,"[2]=109202,[3]=109203,[4]=109204,[5]=109205,[6]=109206,[8]=109208,[9]=109209,[10]=109210,[11]=109211,[12]=109212",1,50,2140000,50,3,,,120,,0,,,,,0
1093,1010,五指山1_3,"[2]=109302,[3]=109303,[4]=109304,[5]=109305,[6]=109306,[8]=109308,[9]=109309,[10]=109310,[11]=109311,[12]=109312",1,50,2140000,50,3,,,120,,0,,,,,0
1094,1010,五指山1_4,"[2]=109402,[3]=109403,[4]=109404,[5]=109405,[6]=109406,[8]=109408,[9]=109409,[10]=109410,[11]=109411,[12]=109412",1,50,2140000,50,3,,,120,,0,,,,,0
1095,1010,五指山1_5,"[2]=109502,[3]=109503,[4]=109504,[5]=109505,[6]=109506,[8]=109508,[9]=109509,[10]=109510,[11]=109511,[12]=109512",1,50,2140000,50,3,,,120,,0,,,,,0
1096,1010,五指山1_6,"[2]=109602,[3]=109603,[4]=109604,[5]=109605,[6]=109606,[8]=109608,[9]=109609,[10]=109610,[11]=109611,[12]=109612",1,50,2140000,50,3,,,120,,0,,,,,0
1097,1010,五指山1_7,[10]=109710,1,50,2140000,50,3,,,120,,0,,,,,0
1098,1010,五指山1_8,"[2]=109802,[3]=109803,[4]=109804,[5]=109805,[6]=109806,[8]=109808,[9]=109809,[10]=109810,[11]=109811,[12]=109812",1,50,2140000,50,3,,,120,,0,,,,,0
1099,1010,五指山1_9,"[2]=109902,[3]=109903,[4]=109904,[5]=109905,[6]=109906,[8]=109908,[9]=109909,[10]=109910,[11]=109911,[12]=109912",1,50,2140000,50,3,,,120,,0,,,,,0
1100,1010,五指山1_10,"[2]=110002,[3]=110003,[4]=110004,[5]=110005,[6]=110006,[8]=110008,[9]=110009,[10]=110010,[11]=110011,[12]=110012",1,50,2140000,50,3,,,120,,0,,,,,0
1101,1011,五指山2_1,[10]=110110,1,50,2140000,50,3,,,120,,0,,,,,0
1102,1011,五指山2_2,"[2]=110202,[3]=110203,[4]=110204,[5]=110205,[6]=110206,[8]=110208,[9]=110209,[10]=110210,[11]=110211,[12]=110212",1,50,2140000,50,3,,,120,,0,,,,,0
1103,1011,五指山2_3,[10]=110310,1,50,2140000,50,3,,,120,,0,,,,,0
1104,1011,五指山2_4,"[2]=110402,[3]=110403,[4]=110404,[5]=110405,[6]=110406,[8]=110408,[9]=110409,[10]=110410,[11]=110411,[12]=110412",1,50,2140000,50,3,,,120,,0,,,,,0
1105,1011,五指山2_5,[10]=110510,1,50,2140000,50,3,,,120,,0,,,,,0
1106,1011,五指山2_6,"[2]=110602,[3]=110603,[4]=110604,[5]=110605,[6]=110606,[8]=110608,[9]=110609,[10]=110610,[11]=110611,[12]=110612",1,50,2140000,50,3,,,120,,0,,,,,0
1107,1011,五指山2_7,[10]=110710,1,50,2140000,50,3,,,120,,0,,,,,0
1108,1011,五指山2_8,"[2]=110802,[3]=110803,[4]=110804,[5]=110805,[6]=110806,[8]=110808,[9]=110809,[10]=110810,[11]=110811,[12]=110812",1,50,2140000,50,3,,,120,,0,,,,,0
1109,1011,五指山2_9,[10]=110910,1,50,2140000,50,3,,,120,,0,,,,,0
1110,1011,五指山2_10,[10]=111010,1,50,2140000,50,3,,,120,,0,,,,,0
1111,1012,五指山3_1,[10]=111110,1,50,2140000,50,3,,,120,,0,,,,,0
1112,1012,五指山3_2,[10]=111210,1,50,2140000,50,3,,,120,,0,,,,,0
1113,1012,五指山3_3,"[2]=111302,[3]=111303,[4]=111304,[5]=111305,[6]=111306,[8]=111308,[9]=111309,[10]=111310,[11]=111311,[12]=111312",1,50,2140000,50,3,,,120,,0,,,,,0
1114,1012,五指山3_4,[10]=111410,1,50,2140000,50,3,,,120,,0,,,,,0
1115,1012,五指山3_5,"[2]=111502,[3]=111503,[4]=111504,[5]=111505,[6]=111506,[8]=111508,[9]=111509,[10]=111510,[11]=111511,[12]=111512",1,50,2140000,50,3,,,120,,0,,,,,0
1116,1012,五指山3_6,"[2]=111602,[3]=111603,[4]=111604,[5]=111605,[6]=111606,[8]=111608,[9]=111609,[10]=111610,[11]=111611,[12]=111612",1,50,2140000,50,3,,,120,,0,,,,,0
1117,1012,五指山3_7,"[2]=111702,[3]=111703,[4]=111704,[5]=111705,[6]=111706,[8]=111708,[9]=111709,[10]=111710,[11]=111711,[12]=111712",1,50,2140000,50,3,,,120,,0,,,,,0
1118,1012,五指山3_8,[10]=111810,1,50,2140000,50,3,,,120,,0,,,,,0
1119,1012,五指山3_9,[10]=111910,1,50,2140000,50,3,,,120,,0,,,,,0
1120,1012,五指山3_10,"[2]=112002,[3]=112003,[4]=112004,[5]=112005,[6]=112006,[8]=112008,[9]=112009,[10]=112010,[11]=112011,[12]=112012",1,50,2140000,50,3,,,120,,0,,,,,0
1121,1013,高老庄1_1,"[2]=112102,[3]=112103,[4]=112104,[5]=112105,[6]=112106,[8]=112108,[9]=112109,[10]=112110,[11]=112111,[12]=112112",1,60,2012000,60,3,,,120,,0,,,,,0
1122,1013,高老庄1_2,[10]=112210,1,60,2012000,60,3,,,120,,0,,,,,0
1123,1013,高老庄1_3,"[2]=112302,[3]=112303,[4]=112304,[5]=112305,[6]=112306,[8]=112308,[9]=112309,[10]=112310,[11]=112311,[12]=112312",1,60,2012000,60,3,,,120,,0,,,,,0
1124,1013,高老庄1_4,"[2]=112402,[3]=112403,[4]=112404,[5]=112405,[6]=112406,[8]=112408,[9]=112409,[10]=112410,[11]=112411,[12]=112412",1,60,2012000,60,3,,,120,,0,,,,,0
1125,1013,高老庄1_5,"[2]=112502,[3]=112503,[4]=112504,[5]=112505,[6]=112506,[8]=112508,[9]=112509,[10]=112510,[11]=112511,[12]=112512",1,60,2012000,60,3,,,120,,0,,,,,0
1126,1013,高老庄1_6,"[2]=112602,[3]=112603,[4]=112604,[5]=112605,[6]=112606,[8]=112608,[9]=112609,[10]=112610,[11]=112611,[12]=112612",1,60,2012000,60,3,,,120,,0,,,,,0
1127,1013,高老庄1_7,[10]=112710,1,60,2012000,60,3,,,120,,0,,,,,0
1128,1013,高老庄1_8,"[2]=112802,[3]=112803,[4]=112804,[5]=112805,[6]=112806,[8]=112808,[9]=112809,[10]=112810,[11]=112811,[12]=112812",1,60,2012000,60,3,,,120,,0,,,,,0
1129,1013,高老庄1_9,"[2]=112902,[3]=112903,[4]=112904,[5]=112905,[6]=112906,[8]=112908,[9]=112909,[10]=112910,[11]=112911,[12]=112912",1,60,2012000,60,3,,,120,,0,,,,,0
1130,1013,高老庄1_10,[10]=113010,1,60,2012000,60,3,,,120,,0,,,,,0
1131,1014,高老庄2_1,"[2]=113102,[3]=113103,[4]=113104,[5]=113105,[6]=113106,[8]=113108,[9]=113109,[10]=113110,[11]=113111,[12]=113112",1,60,2012000,60,3,,,120,,0,,,,,0
1132,1014,高老庄2_2,"[2]=113202,[3]=113203,[4]=113204,[5]=113205,[6]=113206,[8]=113208,[9]=113209,[10]=113210,[11]=113211,[12]=113212",1,60,2012000,60,3,,,120,,0,,,,,0
1133,1014,高老庄2_3,"[2]=113302,[3]=113303,[4]=113304,[5]=113305,[6]=113306,[8]=113308,[9]=113309,[10]=113310,[11]=113311,[12]=113312",1,60,2012000,60,3,,,120,,0,,,,,0
1134,1014,高老庄2_4,"[2]=113402,[3]=113403,[4]=113404,[5]=113405,[6]=113406,[8]=113408,[9]=113409,[10]=113410,[11]=113411,[12]=113412",1,60,2012000,60,3,,,120,,0,,,,,0
1135,1014,高老庄2_5,"[2]=113502,[3]=113503,[4]=113504,[5]=113505,[6]=113506,[8]=113508,[9]=113509,[10]=113510,[11]=113511,[12]=113512",1,60,2012000,60,3,,,120,,0,,,,,0
1136,1014,高老庄2_6,"[2]=113602,[3]=113603,[4]=113604,[5]=113605,[6]=113606,[8]=113608,[9]=113609,[10]=113610,[11]=113611,[12]=113612",1,60,2012000,60,3,,,120,,0,,,,,0
1137,1014,高老庄2_7,[10]=113710,1,60,2012000,60,3,,,120,,0,,,,,0
1138,1014,高老庄2_8,"[2]=113802,[3]=113803,[4]=113804,[5]=113805,[6]=113806,[8]=113808,[9]=113809,[10]=113810,[11]=113811,[12]=113812",1,60,2012000,60,3,,,120,,0,,,,,0
1139,1014,高老庄2_9,"[2]=113902,[3]=113903,[4]=113904,[5]=113905,[6]=113906,[8]=113908,[9]=113909,[10]=113910,[11]=113911,[12]=113912",1,60,2012000,60,3,,,120,,0,,,,,0
1140,1014,高老庄2_10,"[2]=114002,[3]=114003,[4]=114004,[5]=114005,[6]=114006,[8]=114008,[9]=114009,[10]=114010,[11]=114011,[12]=114012",1,60,2012000,60,3,,,120,,0,,,,,0
1141,1015,高老庄3_1,"[2]=114102,[3]=114103,[4]=114104,[5]=114105,[6]=114106,[8]=114108,[9]=114109,[10]=114110,[11]=114111,[12]=114112",1,60,2012000,60,3,,,120,,0,,,,,0
1142,1015,高老庄3_2,[10]=114210,1,60,2012000,60,3,,,120,,0,,,,,0
1143,1015,高老庄3_3,[10]=114310,1,60,2012000,60,3,,,120,,0,,,,,0
1144,1015,高老庄3_4,"[2]=114402,[3]=114403,[4]=114404,[5]=114405,[6]=114406,[8]=114408,[9]=114409,[10]=114410,[11]=114411,[12]=114412",1,60,2012000,60,3,,,120,,0,,,,,0
1145,1015,高老庄3_5,"[2]=114502,[3]=114503,[4]=114504,[5]=114505,[6]=114506,[8]=114508,[9]=114509,[10]=114510,[11]=114511,[12]=114512",1,60,2012000,60,3,,,120,,0,,,,,0
1146,1015,高老庄3_6,"[2]=114602,[3]=114603,[4]=114604,[5]=114605,[6]=114606,[8]=114608,[9]=114609,[10]=114610,[11]=114611,[12]=114612",1,60,2012000,60,3,,,120,,0,,,,,0
1147,1015,高老庄3_7,"[2]=114702,[3]=114703,[4]=114704,[5]=114705,[6]=114706,[8]=114708,[9]=114709,[10]=114710,[11]=114711,[12]=114712",1,60,2012000,60,3,,,120,,0,,,,,0
1148,1015,高老庄3_8,"[2]=114802,[3]=114803,[4]=114804,[5]=114805,[6]=114806,[8]=114808,[9]=114809,[10]=114810,[11]=114811,[12]=114812",1,60,2012000,60,3,,,120,,0,,,,,0
1149,1015,高老庄3_9,[10]=114910,1,60,2012000,60,3,,,120,,0,,,,,0
1150,1015,高老庄3_10,"[2]=115002,[3]=115003,[4]=115004,[5]=115005,[6]=115006,[8]=115008,[9]=115009,[10]=115010,[11]=115011,[12]=115012",1,60,2012000,60,3,,,120,,0,,,,,0
1151,1016,高老庄4_1,[10]=115110,1,60,2012000,60,3,,,120,,0,,,,,0
1152,1016,高老庄4_2,"[2]=115202,[3]=115203,[4]=115204,[5]=115205,[6]=115206,[8]=115208,[9]=115209,[10]=115210,[11]=115211,[12]=115212",1,60,2012000,60,3,,,120,,0,,,,,0
1153,1016,高老庄4_3,[10]=115310,1,60,2012000,60,3,,,120,,0,,,,,0
1154,1016,高老庄4_4,"[2]=115402,[3]=115403,[4]=115404,[5]=115405,[6]=115406,[8]=115408,[9]=115409,[10]=115410,[11]=115411,[12]=115412",1,60,2012000,60,3,,,120,,0,,,,,0
1155,1016,高老庄4_5,[10]=115510,1,60,2012000,60,3,,,120,,0,,,,,0
1156,1016,高老庄4_6,"[2]=115602,[3]=115603,[4]=115604,[5]=115605,[6]=115606,[8]=115608,[9]=115609,[10]=115610,[11]=115611,[12]=115612",1,60,2012000,60,3,,,120,,0,,,,,0
1157,1016,高老庄4_7,"[2]=115702,[3]=115703,[4]=115704,[5]=115705,[6]=115706,[8]=115708,[9]=115709,[10]=115710,[11]=115711,[12]=115712",1,60,2012000,60,3,,,120,,0,,,,,0
1158,1016,高老庄4_8,"[2]=115802,[3]=115803,[4]=115804,[5]=115805,[6]=115806,[8]=115808,[9]=115809,[10]=115810,[11]=115811,[12]=115812",1,60,2012000,60,3,,,120,,0,,,,,0
1159,1016,高老庄4_9,[10]=115910,1,60,2012000,60,3,,,120,,0,,,,,0
1160,1016,高老庄4_10,"[2]=116002,[3]=116003,[4]=116004,[5]=116005,[6]=116006,[8]=116008,[9]=116009,[10]=116010,[11]=116011,[12]=116012",1,60,2012000,60,3,,,120,,0,,,,,0
1161,1017,高老庄5_1,"[2]=116102,[3]=116103,[4]=116104,[5]=116105,[6]=116106,[8]=116108,[9]=116109,[10]=116110,[11]=116111,[12]=116112",1,60,2012000,60,3,,,120,,0,,,,,0
1162,1017,高老庄5_2,[10]=116210,1,60,2012000,60,3,,,120,,0,,,,,0
1163,1017,高老庄5_3,"[2]=116302,[3]=116303,[4]=116304,[5]=116305,[6]=116306,[8]=116308,[9]=116309,[10]=116310,[11]=116311,[12]=116312",1,60,2012000,60,3,,,120,,0,,,,,0
1164,1017,高老庄5_4,[10]=116410,1,60,2012000,60,3,,,120,,0,,,,,0
1165,1017,高老庄5_5,"[2]=116502,[3]=116503,[4]=116504,[5]=116505,[6]=116506,[8]=116508,[9]=116509,[10]=116510,[11]=116511,[12]=116512",1,60,2012000,60,3,,,120,,0,,,,,0
