#cid(格式为1xxooo|xx为类型序号|ooo为递增序号),名字,客户端创建隐藏（0是1否）,队员弹框,描述,模型ID,半身像ID,动作，默认是idle(combat_idle，attack，attacked，defense，die),出生地图,出生点x,出生点y,方向,操作,任务,功能,功能描述,类型,区分,可否点击,参拜说话,可视范围（相对于自己）,客户端创建（默认创建，-1不创建）,不寻路直接对话
id_kn,name_s,visible_n,talkInTeam_n,discribe_s,model_n,bust_n,status_t,map_n,x_n,y_n,o_n,operation_t,visiblecon_t,Function_t,gongneng_s,type_n,different_s,touch_n,superVIPSay_n,showScope_n,clientCreate,directTalk
21025,豪科,0,,,3013,,,,,,1,178,,,,3,,1,,,,
21026,沙人,0,,,4002,,,,,,1,179,,,,3,,1,,,,
21027,丹妮,0,,,3004,,,,,,1,180,,,,3,,1,,,,
21028,罗杰斯,0,,,3009,,,,,,1,195,,,,3,,1,,,,
21029,阿瞳目,0,,,3006,,,,,,1,196,,,,3,,1,,,,
21030,水月,0,,,3003,,,,,,1,198,,,,3,,1,,,,
21031,黑崎白,0,,,3025,,,,,,1,199,,,,3,,1,,,,
21032,神久夜,0,,,4001,,,,,,1,200,,,,3,,1,,,,
21033,樱木,0,,,3008,,,,,,1,201,,,,3,,1,,,,
21034,蛮荒沙人,0,,,4050,,,,,,1,106,,,,3,,1,,,,
21035,蛤蟆勇士,0,,,4051,,,,,,1,106,,,,3,,1,,,,
21036,恶魔小丑,0,,,4052,,,,,,1,106,,,,3,,1,,,,
21037,风神圣使,0,,,4055,,,,,,1,106,,,,3,,1,,,,
21038,暗夜猎手,0,,,4053,,,,,,1,106,,,,3,,1,,,,
21039,魔镜女巫,0,,,4054,,,,,,1,106,,,,3,,1,,,,
21040,蛮荒沙人,0,,,4050,,"""dead02"",1,true",,,,1,,,,,3,,1,,,,
21041,蛤蟆勇士,0,,,4051,,"""dead02"",1,true",,,,1,,,,,3,,1,,,,
21042,恶魔小丑,0,,,4052,,"""dead02"",1,true",,,,1,,,,,3,,1,,,,
21043,风神圣使,0,,,4055,,"""dead02"",1,true",,,,1,,,,,3,,1,,,,
21044,暗夜猎手,0,,,4053,,"""dead02"",1,true",,,,1,,,,,3,,1,,,,
21045,魔镜女巫,0,,,4054,,"""dead02"",1,true",,,,1,,,,,3,,1,,,,
21046,忍犬,0,,,4003,,,,,,1,207,,,,3,,1,,,,
21047,红发忍者,0,,,4014,,,,,,1,208,,,,3,,1,,,,
22000,白胡子,1,,,4044,,,0,0,0,4,103,,,,1,red,1,,,,
22001,迷之宝箱,1,,,9177,,,0,0,0,1,104,,,,3,,2,,,,
22002,圣地宝箱,1,,,9177,,,0,0,0,0,107,,,,3,,2,,,,
22003,惊喜宝箱,1,,,9177,,,0,0,0,1,115,,1,,3,,2,,,,
22004,鲜花,0,,,9207,,,0,0,0,0,197,,,,3,,2,,,,
22005,鲜花,0,,,9207,,,0,50,150,0,204,,,,3,,2,,6,,
22006,钻石,0,,,9177,,,0,210,145,0,206,,,,3,,2,,6,,
22007,青苹果,0,,,9190,,,0,172,20,0,203,,,,3,,2,,6,,
22008,青苹果,0,,,9190,,,0,172,22,0,203,,,,3,,2,,6,,
22009,青苹果,0,,,9190,,,0,175,20,0,203,,,,3,,2,,6,,
22010,青苹果,0,,,9190,,,0,175,22,0,203,,,,3,,2,,6,,
22011,青苹果,0,,,9190,,,0,67,24,0,203,,,,3,,2,,6,,
22012,青苹果,0,,,9190,,,0,67,26,0,203,,,,3,,2,,6,,
22013,boss宝箱,1,,,9177,,,0,0,0,0,147,,,,3,,2,,,,
22014,小鲜花宝箱,1,,,9177,,,0,0,0,1,197,,,,3,,2,,,,
22015,boss宝箱,1,,,9177,,,0,0,0,0,147,,,,3,,2,,,,
22016,boss宝箱,1,,,9177,,,0,0,0,0,147,,,,3,,2,,,,
22017,boss宝箱,1,,,9177,,,0,0,0,0,147,,,,3,,2,,,,
22018,boss宝箱,1,,,9177,,,0,0,0,0,147,,,,3,,2,,,,
22019,boss宝箱,1,,,9177,,,0,0,0,0,147,,,,3,,2,,,,
22020,大鲜花宝箱,1,,,9177,,,0,0,0,1,197,,,,3,,2,,,,
22021,青苹果,0,,,9190,,,0,30,76,0,203,,,,3,,2,,6,,
22022,青苹果,0,,,9190,,,0,30,78,0,203,,,,3,,2,,6,,
22023,青苹果,0,,,9190,,,0,194,68,0,203,,,,3,,2,,6,,
22024,青苹果,0,,,9190,,,0,194,64,0,203,,,,3,,2,,6,,
22025,青苹果,0,,,9190,,,0,197,68,0,203,,,,3,,2,,6,,
22026,青苹果,0,,,9190,,,0,197,64,0,203,,,,3,,2,,6,,
22027,金币,0,,,9194,,,0,141,108,0,205,,,,3,,2,,6,,
22028,金币,0,,,9194,,,0,7,82,0,205,,,,3,,2,,6,,
22029,金币,0,,,9194,,,0,39,39,0,205,,,,3,,2,,6,,
22030,金币,0,,,9194,,,0,140,24,0,205,,,,3,,2,,6,,
22031,青苹果,0,,,9190,,,0,70,24,0,203,,,,3,,2,,6,,
22032,青苹果,0,,,9190,,,0,70,26,0,203,,,,3,,2,,6,,
22033,青苹果,0,,,9190,,,0,16,40,0,203,,,,3,,2,,6,,
22034,青苹果,0,,,9190,,,0,16,43,0,203,,,,3,,2,,6,,
22035,青苹果,0,,,9190,,,0,14,40,0,203,,,,3,,2,,6,,
22036,青苹果,0,,,9190,,,0,14,43,0,203,,,,3,,2,,6,,
22037,青苹果,0,,,9190,,,0,25,72,0,203,,,,3,,2,,6,,
22038,青苹果,0,,,9190,,,0,25,74,0,203,,,,3,,2,,6,,
22039,新手怪2,0,,,4015,,,,,,1,207,,,,3,,1,,,,
22040,新手怪3,0,,,4015,,,,,,1,208,,,,3,,1,,,,
22041,公会物资,0,,,9177,,,0,0,0,0,210,,,,3,,2,,,,
22042,公会怪物,0,,,4015,,,0,0,0,1,211,,,,3,,1,,,,
40001,公会战旗,1,,,9046,9046,,0,0,0,1,118,,,,3,red,2,,,,
40002,公会接引人,1,,,3007,3007,,0,0,0,1,119,,,,3,,1,,,,
40003,宝藏钥匙,1,,,9191,,,0,0,0,1,105,,,,3,red,2,,,,
40004,精英怪巨斧战士,1,,,4000,4000,,0,0,0,1,106,,,,3,red,1,,,,
40005,精英怪邪恶法师,1,,,4001,4001,,0,0,0,1,106,,,,3,red,1,,,,
40006,精英怪鱼人巫师,1,,,4002,4002,,0,0,0,1,106,,,,3,red,1,,,,
40007,稀有奖励,1,,,9177,,,0,0,0,1,193,,,,3,,3,,,,
40008,新手怪1,0,,,5010,,,0,0,0,1,162,,,,3,red,1,,,,
40009,新手怪2,0,,,5011,,,0,0,0,1,163,,,,3,red,1,,,,
40010,新手怪3,0,,,5012,,,0,0,0,1,164,,,,3,red,1,,,,
40011,佐藤助,0,,,5013,,,0,0,0,1,165,,,,3,red,1,,,,
40012,手里剑忍者,0,,,5014,,,0,0,0,1,167,,,,3,red,1,,,,
40013,桤木西,0,,,5015,,,0,0,0,1,168,,,,3,red,1,,,,
40014,明仁,0,,,5016,,,0,0,0,1,169,,,,3,red,1,,,,
40015,神乐,0,,,5017,,,0,0,0,1,170,,,,3,red,1,,,,
40016,巨人,0,,,5018,,,0,0,0,1,171,,,,3,red,1,,,,
40017,飞马藏,0,,,5019,,,0,0,0,1,172,,,,3,red,1,,,,
40018,辉,0,,,5020,,,0,0,0,1,173,,,,3,red,1,,,,
40019,露菲尔,0,,,5021,,,0,0,0,1,174,,,,3,red,1,,,,
40020,皮卡皮卡,0,,,5022,,,0,0,0,1,175,,,,3,red,1,,,,
40021,机器瞄,0,,,5023,,,0,0,0,1,176,,,,3,red,1,,,,
40022,菲影尔,0,,,5024,,,0,0,0,1,177,,,,3,red,1,,,,
40023,豪科,0,,,5025,,,0,0,0,1,178,,,,3,red,1,,,,
40024,沙人,0,,,5026,,,0,0,0,1,179,,,,3,red,1,,,,
40025,丹妮,0,,,5027,,,0,0,0,1,180,,,,3,red,1,,,,
40026,魔盒,1,,,9131,,,0,0,0,1,117,,,,3,red,2,,,,
40027,潘多拉盒,1,,,9130,,,0,0,0,1,117,,,,3,red,2,,,,
40028,罗杰斯,0,,,5028,,,0,0,0,1,195,,,,3,red,1,,,,
40029,阿瞳目,0,,,5029,,,0,0,0,1,196,,,,3,red,1,,,,
40030,水月,0,,,5030,,,0,0,0,1,198,,,,3,red,1,,,,
40031,黑崎白,0,,,5031,,,0,0,0,1,199,,,,3,red,1,,,,
40032,神久夜,0,,,5032,,,0,0,0,1,200,,,,3,red,1,,,,
40033,樱木,0,,,5033,,,0,0,0,1,201,,,,3,red,1,,,,
40034,沙魔（封魔）,0,,,4002,,,50014,62,190,1,,["task"]={500000},,,3,red,2,,20,,
40035,小丑魔（封魔）,0,,,4025,,,50014,52,16,1,,["task"]={500001},,,3,red,2,,20,,
40036,沙魔（封魔）,0,,,4002,,,50014,85,202,1,,["task"]={500002},,,3,red,2,,20,,
40037,夜魔（封魔）,0,,,4001,,,50014,224,58,1,,["task"]={500003},,,3,red,2,,20,,
40038,小丑魔（封魔）,0,,,4025,,,50014,71,220,1,,["task"]={500004},,,3,red,2,,20,,
40039,忍魔（封魔）,0,,,4000,,,50014,119,107,1,,["task"]={500005},,,3,red,2,,20,,
40040,忍魔（封魔）,0,,,4000,,,50014,211,166,1,,["task"]={500006},,,3,red,2,,20,,
40041,沙魔（封魔）,0,,,4002,,,50014,28,204,1,,["task"]={500007},,,3,red,2,,20,,
40042,犬魔（封魔）,0,,,4003,,,50014,103,97,1,,["task"]={500008},,,3,red,2,,20,,
40043,犬魔（封魔）,0,,,4003,,,50014,82,96,1,,["task"]={500009},,,3,red,2,,20,,
40044,食人魔（封魔）,0,,,4034,,,50014,104,128,1,,["task"]={500010},,,3,red,2,,20,,
40045,食人魔（封魔）,0,,,4034,,,50014,38,23,1,,["task"]={500011},,,3,red,2,,20,,
40046,食人魔（封魔）,0,,,4034,,,50014,10,190,1,,["task"]={500012},,,3,red,2,,20,,
40047,犬魔（封魔）,0,,,4003,,,50014,216,17,1,,["task"]={500013},,,3,red,2,,20,,
40048,神魔（封魔）,0,,,4039,,,50014,83,120,1,,["task"]={500014},,,3,red,2,,20,,
40049,神魔（封魔）,0,,,4039,,,50014,5,151,1,,["task"]={500015},,,3,red,2,,20,,
40050,神魔（封魔）,0,,,4039,,,50014,103,27,1,,["task"]={500016},,,3,red,2,,20,,
40051,小丑魔（封魔）,0,,,4025,,,50014,209,97,1,,["task"]={500017},,,3,red,2,,20,,
40052,巨魔（封魔）,0,,,4004,,,50014,210,225,1,,["task"]={500018},,,3,red,2,,20,,
40053,巨魔（封魔）,0,,,4004,,,50014,182,222,1,,["task"]={500019},,,3,red,2,,20,,
40054,夜魔（封魔）,0,,,4001,,,50014,70,20,1,,["task"]={500020},,,3,red,2,,20,,
40055,夜魔（封魔）,0,,,4001,,,50014,197,19,1,,["task"]={500021},,,3,red,2,,20,,
40056,巨魔（封魔）,0,,,4004,,,50014,85,142,1,,["task"]={500022},,,3,red,2,,20,,
40057,神魔（封魔）,0,,,4039,,,50014,191,192,1,,["task"]={500023},,,3,red,2,,20,,
40058,犬魔（封魔）,0,,,4003,,,50014,206,142,1,,["task"]={500024},,,3,red,2,,20,,
40059,小丑魔（封魔）,0,,,4025,,,50014,151,203,1,,["task"]={500025},,,3,red,2,,20,,
40060,夜魔（封魔）,0,,,4001,,,50014,151,187,1,,["task"]={500026},,,3,red,2,,20,,
40061,忍魔（封魔）,0,,,4000,,,50014,22,43,1,,["task"]={500027},,,3,red,2,,20,,
40062,食人魔（封魔）,0,,,4034,,,50014,181,9,1,,["task"]={500028},,,3,red,2,,20,,
40063,巨魔（封魔）,0,,,4004,,,50014,138,30,1,,["task"]={500029},,,3,red,2,,20,,
40064,青铜钥匙,1,,,9217,,,0,0,0,1,105,,,,3,red,2,,,,
40065,紫色钥匙,1,,,9218,,,0,0,0,1,105,,,,3,red,2,,,,
40066,青铜钥匙,1,,,9217,,,0,0,0,1,105,,,,3,red,2,,,,
40067,青铜钥匙,1,,,9217,,,0,0,0,1,105,,,,3,red,2,,,,
40068,大帅旗,1,,,9166,9166,,0,0,0,1,118,,,,3,red,2,,,,
