vip等级,索引,说明,参数
10,RobberMaterial,圣地技能使用次数增加,"[1]=5,[2]=4,[3]=3,[4]=4,"
11,RobberMaterial,圣地技能使用次数增加,"[1]=6,[2]=5,[3]=3,[4]=5,"
12,RobberMaterial,圣地技能使用次数增加,"[1]=6,[2]=5,[3]=3,[4]=5,"
13,RobberMaterial,圣地技能使用次数增加,"[1]=7,[2]=6,[3]=4,[4]=6,"
14,RobberMaterial,圣地技能使用次数增加,"[1]=8,[2]=6,[3]=4,[4]=6,"
15,RobberMaterial,圣地技能使用次数增加,"[1]=9,[2]=7,[3]=4,[4]=7,"
16,RobberMaterial,圣地技能使用次数增加,"[1]=10,[2]=8,[3]=5,[4]=8,"
0,buyFund,金币购买次数,1
1,buyFund,金币购买次数,5
2,buyFund,金币购买次数,10
3,buyFund,金币购买次数,20
4,buyFund,金币购买次数,25
5,buyFund,金币购买次数,30
6,buyFund,金币购买次数,40
7,buyFund,金币购买次数,50
8,buyFund,金币购买次数,60
9,buyFund,金币购买次数,70
10,buyFund,金币购买次数,80
11,buyFund,金币购买次数,90
12,buyFund,金币购买次数,100
13,buyFund,金币购买次数,120
14,buyFund,金币购买次数,120
15,buyFund,金币购买次数,120
16,buyFund,金币购买次数,120
0,championTime,竞技场免CD,0
1,championTime,竞技场免CD,0
2,championTime,竞技场免CD,0
3,championTime,竞技场免CD,0
4,championTime,竞技场免CD,0
5,championTime,竞技场免CD,0
6,championTime,竞技场免CD,0
7,championTime,竞技场免CD,0
8,championTime,竞技场免CD,0
9,championTime,竞技场免CD,0
10,championTime,竞技场免CD,0
11,championTime,竞技场免CD,0
12,championTime,竞技场免CD,0
13,championTime,竞技场免CD,0
14,championTime,竞技场免CD,0
15,championTime,竞技场免CD,0
16,championTime,竞技场免CD,0
0,championCount,竞技场挑战次数,0
1,championCount,竞技场挑战次数,0
2,championCount,竞技场挑战次数,0
3,championCount,竞技场挑战次数,0
4,championCount,竞技场挑战次数,1
5,championCount,竞技场挑战次数,1
6,championCount,竞技场挑战次数,2
7,championCount,竞技场挑战次数,2
8,championCount,竞技场挑战次数,3
9,championCount,竞技场挑战次数,3
10,championCount,竞技场挑战次数,4
11,championCount,竞技场挑战次数,4
12,championCount,竞技场挑战次数,5
13,championCount,竞技场挑战次数,8
14,championCount,竞技场挑战次数,10
15,championCount,竞技场挑战次数,15
16,championCount,竞技场挑战次数,20
0,factionDevote,公会贡献,15
1,factionDevote,公会贡献,22.5
2,factionDevote,公会贡献,22.5
3,factionDevote,公会贡献,30
4,factionDevote,公会贡献,30
5,factionDevote,公会贡献,30
6,factionDevote,公会贡献,30
7,factionDevote,公会贡献,30
8,factionDevote,公会贡献,30
9,factionDevote,公会贡献,30
10,factionDevote,公会贡献,30
11,factionDevote,公会贡献,30
12,factionDevote,公会贡献,30
13,factionDevote,公会贡献,30
14,factionDevote,公会贡献,30
15,factionDevote,公会贡献,30
16,factionDevote,公会贡献,30
0,leaderBuff,公会长光环,"[1]=0,[2]=0,[3]=0,"
1,leaderBuff,公会长光环,"[1]=0,[2]=0,[3]=0,"
2,leaderBuff,公会长光环,"[1]=0,[2]=0,[3]=0,"
3,leaderBuff,公会长光环,"[1]=0,[2]=0,[3]=0,"
4,leaderBuff,公会长光环,"[1]=0,[2]=0,[3]=0,"
5,leaderBuff,公会长光环,"[1]=0,[2]=0,[3]=0,"
6,leaderBuff,公会长光环,"[1]=0,[2]=0,[3]=0,"
7,leaderBuff,公会长光环,"[1]=0,[2]=0.5,[3]=0.8,"
8,leaderBuff,公会长光环,"[1]=0,[2]=0.5,[3]=0.8,"
9,leaderBuff,公会长光环,"[1]=0,[2]=0.55,[3]=0.9,"
10,leaderBuff,公会长光环,"[1]=0,[2]=0.55,[3]=0.9,"
11,leaderBuff,公会长光环,"[1]=0,[2]=0.6,[3]=1,"
12,leaderBuff,公会长光环,"[1]=0,[2]=0.6,[3]=1,"
13,leaderBuff,公会长光环,"[1]=0,[2]=0.6,[3]=1,"
14,leaderBuff,公会长光环,"[1]=0,[2]=0.6,[3]=1,"
15,leaderBuff,公会长光环,"[1]=0,[2]=0.6,[3]=1,"
16,leaderBuff,公会长光环,"[1]=0,[2]=0.6,[3]=1,"
0,recruitHoopCount,每日部下抽奖免费刷新次数,0
1,recruitHoopCount,每日部下抽奖免费刷新次数,0
2,recruitHoopCount,每日部下抽奖免费刷新次数,1
3,recruitHoopCount,每日部下抽奖免费刷新次数,1
4,recruitHoopCount,每日部下抽奖免费刷新次数,2
5,recruitHoopCount,每日部下抽奖免费刷新次数,2
6,recruitHoopCount,每日部下抽奖免费刷新次数,2
7,recruitHoopCount,每日部下抽奖免费刷新次数,2
8,recruitHoopCount,每日部下抽奖免费刷新次数,2
9,recruitHoopCount,每日部下抽奖免费刷新次数,2
10,recruitHoopCount,每日部下抽奖免费刷新次数,2
11,recruitHoopCount,每日部下抽奖免费刷新次数,2
12,recruitHoopCount,每日部下抽奖免费刷新次数,2
13,recruitHoopCount,每日部下抽奖免费刷新次数,2
14,recruitHoopCount,每日部下抽奖免费刷新次数,2
15,recruitHoopCount,每日部下抽奖免费刷新次数,2
16,recruitHoopCount,每日部下抽奖免费刷新次数,2
0,recruitBateCount,每日部下抽奖免费挑战次数,0
1,recruitBateCount,每日部下抽奖免费挑战次数,0
2,recruitBateCount,每日部下抽奖免费挑战次数,0
3,recruitBateCount,每日部下抽奖免费挑战次数,0
4,recruitBateCount,每日部下抽奖免费挑战次数,0
5,recruitBateCount,每日部下抽奖免费挑战次数,0
6,recruitBateCount,每日部下抽奖免费挑战次数,0
7,recruitBateCount,每日部下抽奖免费挑战次数,0
8,recruitBateCount,每日部下抽奖免费挑战次数,0
9,recruitBateCount,每日部下抽奖免费挑战次数,0
10,recruitBateCount,每日部下抽奖免费挑战次数,0
11,recruitBateCount,每日部下抽奖免费挑战次数,0
12,recruitBateCount,每日部下抽奖免费挑战次数,0
13,recruitBateCount,每日部下抽奖免费挑战次数,0
14,recruitBateCount,每日部下抽奖免费挑战次数,0
15,recruitBateCount,每日部下抽奖免费挑战次数,0
16,recruitBateCount,每日部下抽奖免费挑战次数,0
0,power,每日额外恢复体力,0
1,power,每日额外恢复体力,0
2,power,每日额外恢复体力,0
3,power,每日额外恢复体力,0
4,power,每日额外恢复体力,0
5,power,每日额外恢复体力,0
6,power,每日额外恢复体力,0
7,power,每日额外恢复体力,0
8,power,每日额外恢复体力,0
9,power,每日额外恢复体力,0
10,power,每日额外恢复体力,0
11,power,每日额外恢复体力,0
12,power,每日额外恢复体力,0
13,power,每日额外恢复体力,0
14,power,每日额外恢复体力,0
15,power,每日额外恢复体力,0
16,power,每日额外恢复体力,0
0,BossHook,魔女挂机,0
1,BossHook,魔女挂机,0
2,BossHook,魔女挂机,1
3,BossHook,魔女挂机,1
4,BossHook,魔女挂机,1
5,BossHook,魔女挂机,1
6,BossHook,魔女挂机,1
7,BossHook,魔女挂机,1
8,BossHook,魔女挂机,1
9,BossHook,魔女挂机,1
10,BossHook,魔女挂机,1
11,BossHook,魔女挂机,1
12,BossHook,魔女挂机,1
13,BossHook,魔女挂机,1
14,BossHook,魔女挂机,1
15,BossHook,魔女挂机,1
16,BossHook,魔女挂机,1
0,campainWipe,扫荡,0
1,campainWipe,扫荡,0
2,campainWipe,扫荡,0
3,campainWipe,扫荡,0
4,campainWipe,扫荡,0
5,campainWipe,扫荡,0
6,campainWipe,扫荡,0
7,campainWipe,扫荡,0
8,campainWipe,扫荡,0
9,campainWipe,扫荡,0
10,campainWipe,扫荡,0
11,campainWipe,扫荡,0
12,campainWipe,扫荡,0
13,campainWipe,扫荡,0
14,campainWipe,扫荡,0
15,campainWipe,扫荡,0
16,campainWipe,扫荡,0
0,godskill,神器,0
1,godskill,神器,0
2,godskill,神器,0
3,godskill,神器,0
4,godskill,神器,0
5,godskill,神器,0
6,godskill,神器,0
7,godskill,神器,1
8,godskill,神器,1
9,godskill,神器,1
10,godskill,神器,1
11,godskill,神器,1
12,godskill,神器,1
13,godskill,神器,1
14,godskill,神器,1
15,godskill,神器,1
16,godskill,神器,1
0,petEntryId,特殊部下,0
1,petEntryId,特殊部下,0
2,petEntryId,特殊部下,0
3,petEntryId,特殊部下,0
4,petEntryId,特殊部下,0
5,petEntryId,特殊部下,0
6,petEntryId,特殊部下,0
7,petEntryId,特殊部下,0
8,petEntryId,特殊部下,1
9,petEntryId,特殊部下,2
10,petEntryId,特殊部下,3
11,petEntryId,特殊部下,4
12,petEntryId,特殊部下,5
13,petEntryId,特殊部下,0
14,petEntryId,特殊部下,0
15,petEntryId,特殊部下,0
16,petEntryId,特殊部下,0
0,buyPower,体力购买次数,1
1,buyPower,体力购买次数,2
2,buyPower,体力购买次数,3
3,buyPower,体力购买次数,4
4,buyPower,体力购买次数,5
5,buyPower,体力购买次数,6
6,buyPower,体力购买次数,7
7,buyPower,体力购买次数,8
8,buyPower,体力购买次数,10
9,buyPower,体力购买次数,12
10,buyPower,体力购买次数,14
11,buyPower,体力购买次数,16
12,buyPower,体力购买次数,18
13,buyPower,体力购买次数,20
14,buyPower,体力购买次数,33
15,buyPower,体力购买次数,36
16,buyPower,体力购买次数,39
0,skyTowerCount,勇闯地宫奖励系数,0
1,skyTowerCount,勇闯地宫奖励系数,0
2,skyTowerCount,勇闯地宫奖励系数,0
3,skyTowerCount,勇闯地宫奖励系数,0.5
4,skyTowerCount,勇闯地宫奖励系数,0.5
5,skyTowerCount,勇闯地宫奖励系数,0.5
6,skyTowerCount,勇闯地宫奖励系数,0.5
7,skyTowerCount,勇闯地宫奖励系数,0.5
8,skyTowerCount,勇闯地宫奖励系数,0.5
9,skyTowerCount,勇闯地宫奖励系数,0.5
10,skyTowerCount,勇闯地宫奖励系数,0.5
11,skyTowerCount,勇闯地宫奖励系数,0.5
12,skyTowerCount,勇闯地宫奖励系数,0.5
13,skyTowerCount,勇闯地宫奖励系数,0.5
14,skyTowerCount,勇闯地宫奖励系数,0.5
15,skyTowerCount,勇闯地宫奖励系数,0.5
16,skyTowerCount,勇闯地宫奖励系数,0.5
0,captainBuff,小团队光环,0
1,captainBuff,小团队光环,1
2,captainBuff,小团队光环,1
3,captainBuff,小团队光环,2
4,captainBuff,小团队光环,2
5,captainBuff,小团队光环,2
6,captainBuff,小团队光环,3
7,captainBuff,小团队光环,3
8,captainBuff,小团队光环,4
9,captainBuff,小团队光环,4
10,captainBuff,小团队光环,5
11,captainBuff,小团队光环,5
12,captainBuff,小团队光环,6
13,captainBuff,小团队光环,6
14,captainBuff,小团队光环,6
15,captainBuff,小团队光环,6
16,captainBuff,小团队光环,6
0,body,专属模型&头像,0
1,body,专属模型&头像,1
2,body,专属模型&头像,1
3,body,专属模型&头像,2
4,body,专属模型&头像,2
5,body,专属模型&头像,2
6,body,专属模型&头像,3
7,body,专属模型&头像,3
8,body,专属模型&头像,4
9,body,专属模型&头像,4
10,body,专属模型&头像,5
11,body,专属模型&头像,5
12,body,专属模型&头像,6
13,body,专属模型&头像,7
14,body,专属模型&头像,8
15,body,专属模型&头像,9
16,body,专属模型&头像,10
0,choujiang,命运占卜,0
1,choujiang,命运占卜,1
2,choujiang,命运占卜,1
3,choujiang,命运占卜,1
4,choujiang,命运占卜,2
5,choujiang,命运占卜,2
6,choujiang,命运占卜,3
7,choujiang,命运占卜,3
8,choujiang,命运占卜,4
9,choujiang,命运占卜,5
10,choujiang,命运占卜,6
11,choujiang,命运占卜,7
12,choujiang,命运占卜,8
13,choujiang,命运占卜,9
14,choujiang,命运占卜,10
15,choujiang,命运占卜,11
16,choujiang,命运占卜,12
0,robberHook,混沌世界挂机,1800
1,robberHook,混沌世界挂机,3600
2,robberHook,混沌世界挂机,7200
3,robberHook,混沌世界挂机,86400
4,robberHook,混沌世界挂机,86400
5,robberHook,混沌世界挂机,86400
6,robberHook,混沌世界挂机,86400
7,robberHook,混沌世界挂机,86400
8,robberHook,混沌世界挂机,86400
9,robberHook,混沌世界挂机,86400
10,robberHook,混沌世界挂机,86400
11,robberHook,混沌世界挂机,86400
12,robberHook,混沌世界挂机,86400
13,robberHook,混沌世界挂机,86400
14,robberHook,混沌世界挂机,86400
15,robberHook,混沌世界挂机,86400
16,robberHook,混沌世界挂机,86400
0,LostTempleAtt,光明神殿加攻击百分比,0
1,LostTempleAtt,,0
2,LostTempleAtt,,0
3,LostTempleAtt,,0
4,LostTempleAtt,,0
5,LostTempleAtt,,0
6,LostTempleAtt,,0
7,LostTempleAtt,,0
8,LostTempleAtt,,0
9,LostTempleAtt,,0
10,LostTempleAtt,,0
11,LostTempleAtt,,0
12,LostTempleAtt,,0
13,LostTempleAtt,,10
14,LostTempleAtt,,15
15,LostTempleAtt,,20
16,LostTempleAtt,,25
0,LostTempleHp,光明神殿加生命百分比,0
1,LostTempleHp,,0
2,LostTempleHp,,0
3,LostTempleHp,,0
4,LostTempleHp,,0
5,LostTempleHp,,0
6,LostTempleHp,,0
7,LostTempleHp,,0
8,LostTempleHp,,0
9,LostTempleHp,,0
10,LostTempleHp,,0
11,LostTempleHp,,0
12,LostTempleHp,,0
13,LostTempleHp,,0
14,LostTempleHp,,0
15,LostTempleHp,,0
16,LostTempleHp,,0
0,FactionWarAtt,公会战加攻击百分比,0
1,FactionWarAtt,,0
2,FactionWarAtt,,0
3,FactionWarAtt,,0
4,FactionWarAtt,,0
5,FactionWarAtt,,0
6,FactionWarAtt,,0
7,FactionWarAtt,,0
8,FactionWarAtt,,0
9,FactionWarAtt,,0
10,FactionWarAtt,,0
11,FactionWarAtt,,0
12,FactionWarAtt,,0
13,FactionWarAtt,,10
14,FactionWarAtt,,15
15,FactionWarAtt,,20
16,FactionWarAtt,,25
0,FactionWarHp,公会战加生命百分比,0
1,FactionWarHp,,0
2,FactionWarHp,,0
3,FactionWarHp,,0
4,FactionWarHp,,0
5,FactionWarHp,,0
6,FactionWarHp,,0
7,FactionWarHp,,0
8,FactionWarHp,,0
9,FactionWarHp,,0
10,FactionWarHp,,0
11,FactionWarHp,,0
12,FactionWarHp,,0
13,FactionWarHp,,0
14,FactionWarHp,,0
15,FactionWarHp,,0
16,FactionWarHp,,0
0,RobberHangRatio,圣地挂机机率,0
1,RobberHangRatio,,0
2,RobberHangRatio,,0
3,RobberHangRatio,,0
4,RobberHangRatio,,0
5,RobberHangRatio,,0
6,RobberHangRatio,,0
7,RobberHangRatio,,0
8,RobberHangRatio,,0
9,RobberHangRatio,,0
10,RobberHangRatio,,0
11,RobberHangRatio,,0
12,RobberHangRatio,,0
13,RobberHangRatio,,0
14,RobberHangRatio,,0
15,RobberHangRatio,,0
16,RobberHangRatio,,0
0,RobberHangOfflineRatio,圣地离线挂机率减小,0.5
1,RobberHangOfflineRatio,,0.5
2,RobberHangOfflineRatio,,0.5
3,RobberHangOfflineRatio,,0.5
4,RobberHangOfflineRatio,,0.5
5,RobberHangOfflineRatio,,0.55
6,RobberHangOfflineRatio,,0.6
7,RobberHangOfflineRatio,,0.65
8,RobberHangOfflineRatio,,0.7
9,RobberHangOfflineRatio,,0.75
10,RobberHangOfflineRatio,,0.8
11,RobberHangOfflineRatio,,0.9
12,RobberHangOfflineRatio,,1
13,RobberHangOfflineRatio,,1
14,RobberHangOfflineRatio,,1
15,RobberHangOfflineRatio,,1
16,RobberHangOfflineRatio,,1
0,RobberHangOfflineTime,圣地离线挂机最大时间,1800
1,RobberHangOfflineTime,,3600
2,RobberHangOfflineTime,,5400
3,RobberHangOfflineTime,,5400
4,RobberHangOfflineTime,,5400
5,RobberHangOfflineTime,,7200
6,RobberHangOfflineTime,,7200
7,RobberHangOfflineTime,,7200
8,RobberHangOfflineTime,,9000
9,RobberHangOfflineTime,,10800
10,RobberHangOfflineTime,,12600
11,RobberHangOfflineTime,,14400
12,RobberHangOfflineTime,,16200
13,RobberHangOfflineTime,,18000
14,RobberHangOfflineTime,,19800
15,RobberHangOfflineTime,,21600
16,RobberHangOfflineTime,,23400
0,fengmo,封魔任务,0
1,fengmo,封魔任务,1
2,fengmo,封魔任务,1
3,fengmo,封魔任务,1
4,fengmo,封魔任务,1
5,fengmo,封魔任务,1
6,fengmo,封魔任务,1
7,fengmo,封魔任务,1
8,fengmo,封魔任务,1
9,fengmo,封魔任务,1
10,fengmo,封魔任务,1
11,fengmo,封魔任务,1
12,fengmo,封魔任务,1
13,fengmo,封魔任务,1
14,fengmo,封魔任务,1
15,fengmo,封魔任务,1
16,fengmo,封魔任务,1
