#entryId,名字,缩放,镜像,骨骼操作,模型名,换装,二进制加载
entryId_kn,name_c,scale_n,mirror_b,boneOperation_t1,modelpath_s,show_s,dbbin_n
13011,翅膀11阶,,,,data/sprite/chiBang/chiBang11,,
13012,翅膀皮肤2,,,,data/sprite/chiBang/chiBang12,,
13013,翅膀皮肤3,,,,data/sprite/chiBang/chiBang13,,
13014,翅膀14阶,,,,data/sprite/chiBang/chiBang14,,
13015,翅膀15阶,,,,data/sprite/chiBang/chiBang15,,
15001,坐骑1阶,,,,data/sprite/ride/ride05,,
15002,坐骑2阶,,,,data/sprite/ride/ride04,,
15003,坐骑3阶,,,,data/sprite/ride/ride02,,
15004,坐骑4阶,,,,data/sprite/ride/ride06,,
15005,坐骑5阶,,,,data/sprite/ride/ride16,,
15006,坐骑6阶,,,,data/sprite/ride/ride15,,
15007,坐骑7阶,,,,data/sprite/ride/ride13,,
15008,坐骑8阶,,,,data/sprite/ride/ride11,,
15009,坐骑9阶,,,,data/sprite/ride/ride18,,
15010,坐骑10阶,,,,data/sprite/ride/ride17,,
30001,坐骑皮肤猫,,,,data/sprite/ride/ride14,,
30002,坐骑皮肤羽毛,,,,data/sprite/ride/ride09,,
30003,坐骑皮肤鱼,,,,data/sprite/ride/ride08,,
30004,坐骑皮肤龙船,,,,data/sprite/ride/ride10,,
30005,坐骑皮肤羊驼,,,,data/sprite/ride/ride07,,
30006,坐骑皮肤绿龙,,,,data/sprite/ride/ride12,,
30007,坐骑皮肤蛮牛,,,,data/sprite/ride/ride03,,
17001,圣灵碟,,,,data/sprite/xianlv/shenglingdie,,
17002,桃花仙子,,,,data/sprite/xianlv/taohuaxianzi,,
17003,兵魂,,,,data/sprite/xianlv/binghun,,
17004,鬼武者,,,,data/sprite/xianlv/guiwuzhe,,
17005,魔星,,,,data/sprite/xianlv/moxing,,
17006,象精,,,,data/sprite/xianlv/xiangjing,,
17007,象精02,,,,data/sprite/xianlv/xiangjing02,,
17008,熊精,,,,data/sprite/xianlv/xiongjing,,
17009,业魔,,,,data/sprite/xianlv/yemo,,
17010,猪妖,,,,data/sprite/xianlv/zhuyao,,
17011,,,,,,,
17012,,,,,,,
17013,,,,,,,
17014,,,,,,,
17015,,,,,,,
17016,,,,,,,
17017,,,,,,,
17018,,,,,,,
17019,,,,,,,
17020,,,,,,,
17021,,,,,,,
17022,,,,,,,
17023,,,,,,,
17024,,,,,,,
17025,,,,,,,
17026,,,,,,,
17027,,,,,,,
17028,,,,,,,
18001,法阵1阶,,,,data/sprite/faZhen/faZhen01,,
18002,法阵2阶,,,,data/sprite/faZhen/faZhen02,,
18003,法阵3阶,,,,data/sprite/faZhen/faZhen03,,
18004,法阵4阶,,,,data/sprite/faZhen/faZhen04,,
18005,法阵5阶,,,,data/sprite/faZhen/faZhen05,,
18006,法阵6阶,,,,data/sprite/faZhen/faZhen06,,
18007,法阵7阶,,,,data/sprite/faZhen/faZhen07,,
18008,法阵8阶,,,,data/sprite/faZhen/faZhen08,,
18009,法阵9阶,,,,data/sprite/faZhen/faZhen09,,
18010,法阵10阶,,,,data/sprite/faZhen/faZhen10,,
18011,法阵11阶,,,,data/sprite/faZhen/faZhen11,,
18012,法阵12阶,,,,data/sprite/faZhen/faZhen12,,
18013,法阵13阶,,,,data/sprite/faZhen/faZhen13,,
18014,法阵14阶,,,,data/sprite/faZhen/faZhen14,,
18015,法阵15阶,,,,data/sprite/faZhen/faZhen15,,
20001,鲛人,,,,data/sprite/pet/jiaoren,,
20002,剑侠兔,,,,data/sprite/pet/jianxiatu,,
20003,剑邪,,,,data/sprite/pet/jianXie,,
20004,重明鸟,,,,data/sprite/pet/chongmingniao,,
20005,月光蝶,,,,data/sprite/pet/yueguangdie,,
20006,剑齿虎,,,,data/sprite/pet/jianchihu,,
20007,九尾狐,,,,data/sprite/pet/jiuweihu,,
20008,地域三头犬,,,,data/sprite/pet/diyusantouquan,,
20009,白熊精,,,,data/sprite/pet/baixiongjing,,
20010,黑水玄蛇,,,,data/sprite/pet/heishuixuanshe,,
20011,忠勇兔,,,,data/sprite/pet/zhongyongtu,,
20012,,,,,,,
20013,,,,,,,
20014,,,,,,,
20015,,,,,,,
20016,,,,,,,
20017,,,,,,,
20018,,,,,,,
20019,,,,,,,
20020,,,,,,,
20021,,,,,,,
20022,,,,,,,
20023,,,,,,,
20024,,,,,,,
22001,兽魂01,,,,data/sprite/shouHun/shouHun01,,
22002,兽魂02,,,,data/sprite/shouHun/shouHun02,,
22003,兽魂03,,,,data/sprite/shouHun/shouHun03,,
22004,兽魂04,,,,data/sprite/shouHun/shouHun04,,
22005,兽魂05,,,,data/sprite/shouHun/shouHun05,,
22006,兽魂06,,,,data/sprite/shouHun/shouHun06,,
22007,兽魂07,,,,data/sprite/shouHun/shouHun07,,
22008,兽魂08,,,,data/sprite/shouHun/shouHun08,,
22009,兽魂09,,,,data/sprite/shouHun/shouHun09,,
22010,兽魂10,,,,data/sprite/shouHun/shouHun10,,
22011,兽魂11,,,,data/sprite/shouHun/shouHun11,,
22012,兽魂12,,,,data/sprite/shouHun/shouHun12,,
22013,兽魂13,,,,data/sprite/shouHun/shouHun13,,
22014,兽魂14,,,,data/sprite/shouHun/shouHun14,,
22015,兽魂15,,,,data/sprite/shouHun/shouHun15,,
31001,,,,,,,
31002,,,,,,,
31003,,,,,,,
31004,,,,,,,
31005,,,,,,,
31006,,,,,,,
31007,,,,,,,
31008,,,,,,,
31009,,,,,,,
31010,,,,,,,
90001,神武男,,,,data/sprite/role/ShengWuNan,,
90002,逍遥男,,,,data/sprite/role/XiaoYaoNan,,
90003,心魔男,,,,data/sprite/role/XinMoNan,,
90004,神武男骑乘,,,,data/sprite/role/ShengWuNanQiCheng,,
90005,逍遥男骑乘,,,,data/sprite/role/XiaoYaoNanQiCheng,,
90006,心魔男骑乘,,,,data/sprite/role/XinMoNanQiCheng,,
91001,神武女,,,,data/sprite/role/ShengWuNv,,
91002,逍遥女,,,,data/sprite/role/XiaoYaoNv,,
91003,心魔女,,,,data/sprite/role/XinMoNv,,
91004,神武女骑乘,,,,data/sprite/role/ShengWuNvQiCheng,,
91005,逍遥女骑乘,,,,data/sprite/role/XiaoYaoNvQiCheng,,
91006,心魔女骑乘,,,,data/sprite/role/XinMoNvQiCheng,,
100001,小乌龟,,,,data/sprite/monster/xiaowugui,,
100002,强盗,,,,data/sprite/monster/qiangdao,,
100003,小骷髅,,,,data/sprite/monster/xiaokulou,,
100004,跳跳鼠,,,,data/sprite/monster/tiaotiaoshu,,
100005,蚌精,,,,data/sprite/monster/bangjing,,
100006,蛮牛,,,,data/sprite/monster/manniu,,
100007,石狮,,,,data/sprite/monster/shishi,,
100008,白熊精,,,,data/sprite/pet/baixiongjing,,
100009,异面怪,,,,data/sprite/monster/yimianguai,,
100010,蝶精灵,,,,data/sprite/monster/diejingling,,
100011,寒霜狼,,,,data/sprite/monster/hanbinglang,,
100012,剑魂,,,,data/sprite/monster/jianhun,,
100013,古树精,,,,data/sprite/monster/gushujing,,
100014,林妖,,,,data/sprite/monster/linyao,,
100015,麟鹿,,,,data/sprite/monster/linlu,,
100016,冰火螳螂,,,,data/sprite/monster/binghuotanglang,,
100017,炎魔,,,,data/sprite/monster/yanmo,,
100018,邪毒蜂,,,,data/sprite/monster/xiedufeng,,
100019,小僵尸,,,,data/sprite/monster/xiaojiangshi,,
100020,瞌睡蛇,,,,data/sprite/monster/keshuishe,,
100021,五毒蝎,,,,data/sprite/monster/wuduxie,,
100022,巫龟,,,,data/sprite/monster/wugui,,
100023,灵猴,,,,data/sprite/monster/linghou,,
100024,石巨人,,,,data/sprite/monster/shijuren,,
100025,魔爪花,,,,data/sprite/monster/mozhuahua,,
100026,木鱼怪,,,,data/sprite/monster/muyuguai,,
100027,硬壳龟,,,,data/sprite/monster/yingkegui,,
100028,利刃猿,,,,data/sprite/monster/lirenyuan,,
100029,山精,,,,data/sprite/monster/shanjing,,
100030,宠物剑邪,,,,data/sprite/pet/jianXie,,
100031,上官清,,,,data/sprite/monster/shangguanqing,,
100032,逸琼玄女,,,,data/sprite/monster/yiqiongxuannv,,
100033,玉冥真人,,,,data/sprite/monster/yumingzhenren,,
100034,云中子,,,,data/sprite/monster/yunzhongzi,,
100035,地域三头犬,,,,data/sprite/pet/diyusantouquan,,
100036,靡籁,,,,data/sprite/monster/milai,,
100037,混沌,,,,data/sprite/monster/hundun,,
100038,穷奇,,,,data/sprite/monster/qiongqi,,
100039,深渊之龙,,,,data/sprite/monster/shenyuanzhilong,,
100040,魅,,,,data/sprite/monster/mei,,
100041,魑,,,,data/sprite/monster/chi,,
100042,,,,,,,
100043,,,,,,,
100044,,,,,,,
100045,,,,,,,
100046,,,,,,,
100047,,,,,,,
100048,,,,,,,
100049,,,,,,,
100050,,,,,,,
100051,,,,,,,
100052,,,,,,,
100053,,,,,,,
110001,靡籁(小),0.4,,,data/sprite/monster/milai,,
110002,混沌(小),0.3,,,data/sprite/monster/hundun,,
110003,穷奇(小),0.3,,,data/sprite/monster/qiongqi,,
110004,深渊之龙(小),0.3,,,data/sprite/monster/shenyuanzhilong,,
110005,魅(小),0.3,,,data/sprite/monster/mei,,
110006,魑(小),0.3,,,data/sprite/monster/chi,,
1001,受击,,,,data/sprite/effect/attacked,,
1002,暴击,,,,data/sprite/effect/baoji,,
1003,冰技能01,,,,data/sprite/effect/bing01,,
1004,缠绕01,,,,data/sprite/effect/chanrao01,,
1005,刀光01,,,,data/sprite/effect/dao01,,
1006,刀光02,,,,data/sprite/effect/dao02,,
1008,风01,,,,data/sprite/effect/feng01,,
1009,风02,,,,data/sprite/effect/feng02,,
1010,风03,,,,data/sprite/effect/feng03,,
1011,风04,,,,data/sprite/effect/feng04,,
1012,光技能01,,,,data/sprite/effect/guang01,,
1013,光技能02,,,,data/sprite/effect/guang02,,
1014,光技能03,,,,data/sprite/effect/guang03,,
1015,光技能04,,,,data/sprite/effect/guang04,,
1016,光技能05,,,,data/sprite/effect/guang05,,
1017,光技能06,,,,data/sprite/effect/guang06,,
1018,光技能07,,,,data/sprite/effect/guang07,,
1019,光技能08,,,,data/sprite/effect/guang08,,
1020,光技能09,,,,data/sprite/effect/guang09,,
1021,光技能10,,,,data/sprite/effect/guang10,,
1022,光技能11,,,,data/sprite/effect/guang11,,
1023,花技能01,,,,data/sprite/effect/hua01,,
1024,花技能02,,,,data/sprite/effect/hua02,,
1025,花技能03,,,,data/sprite/effect/hua03,,
1026,花技能04,,,,data/sprite/effect/hua04,,
1027,火技能01,,,,data/sprite/effect/huo01,,
1028,火技能02,,,,data/sprite/effect/huo02,,
1029,火技能03,,,,data/sprite/effect/huo03,,
1030,雷击01,,,,data/sprite/effect/lei01,,
1031,雷击02,,,,data/sprite/effect/lei02,,
1032,雷击03,,,,data/sprite/effect/lei03,,
1033,雷击04,,,,data/sprite/effect/lei04,,
1034,雷击05,,,,data/sprite/effect/lei05,,
1035,雷击06,,,,data/sprite/effect/lei06,,
1036,雷击07,,,,data/sprite/effect/lei07,,
1037,落石01,,,,data/sprite/effect/shitou01,,
1038,落石02,,,,data/sprite/effect/shitou02,,
1039,水技能01,,,,data/sprite/effect/shui01,,
1040,水技能02,,,,data/sprite/effect/shui02,,
1041,水技能03,,,,data/sprite/effect/shui03,,
1042,水技能04,,,,data/sprite/effect/shui04,,
1043,雪技能01,,,,data/sprite/effect/xue01,,
1044,网01,,,,data/sprite/effect/zhizhuwang02,,
1045,受击02,,,,data/sprite/effect/attacked02,,
1046,冰02,,,,data/sprite/effect/bing02,,
1047,冰03,,,,data/sprite/effect/bing03,,
1048,冰04,,,,data/sprite/effect/bing04,,
1049,刀光03,,,,data/sprite/effect/dao03,,
1050,毒01,,,,data/sprite/effect/du01,,
1051,光12,,,,data/sprite/effect/guang12,,
1052,光13,,,,data/sprite/effect/guang13,,
1053,光14,,,,data/sprite/effect/guang14,,
1054,光15,,,,data/sprite/effect/guang15,,
1055,火04,,,,data/sprite/effect/huo04,,
1056,火05,,,,data/sprite/effect/huo05,,
1057,雷08,,,,data/sprite/effect/lei08,,
1058,毒02,,,,data/sprite/effect/du02,,
1059,雷09,,,,data/sprite/effect/lei09,,
1060,火06,,,,data/sprite/effect/huo06,,
1061,水05,,,,data/sprite/effect/shui05,,
1062,蛇01,,,,data/sprite/effect/she01,,
1063,混沌,,,,data/sprite/effect/hunduntexiao,,
1064,靡籁,,,,data/sprite/effect/milaitexiao,,
1065,神武技能01,,,,data/sprite/effect/HengSaoQianJun,,
1066,神武技能02,,,,data/sprite/effect/PoFuChenZhou,,
1067,神武技能03,,,,data/sprite/effect/PoFuChenZhou_chongci,,
1068,神武技能04,,,,data/sprite/effect/DanDaoZhiRu,,
1069,神武技能05,,,,data/sprite/effect/PianHongYiJi,,
1070,神武技能06,,,,data/sprite/effect/WanJianGuiYi_Qian,,
1071,神武技能07,,,,data/sprite/effect/WanJianGuiYi_Hou,,
1072,逍遥技能01,,,,data/sprite/effect/LongJuanYuJi,,
1073,逍遥技能02,,,,data/sprite/effect/LongTeng,,
1074,逍遥技能03,,,,data/sprite/effect/LongYin,,
1075,逍遥技能04,,,,data/sprite/effect/MoYanTaoTian,,
1076,逍遥技能05,,,,data/sprite/effect/ShuangLongXiZhu,,
1077,魔王技能01,,,,data/sprite/effect/FeiShaZouShi,,
1078,魔王技能02,,,,data/sprite/effect/SanWeiZhenHuo,,
1079,魔王技能03,,,,data/sprite/effect/YanLuoLing,,
1080,魔王技能04,,,,data/sprite/effect/FeiXingLiuHuo,,
1081,魔王技能05,,,,data/sprite/effect/SanYangKaiTai,,
