#光效ID,光效名称,模型ID,绑定骨骼,绑定次序,音效,X坐标偏移（以站在左边的战斗角色为准）,Y坐标偏移,特效播放速度
Id_kn,Name_s,model_n,bindBone_s,bindOrder_n,sound_s,offx_n,offy_n,speed_n
10071,神武技能07,1071,,,,,,
10072,逍遥技能01,1072,,,,,,
10073,逍遥技能02,1073,,,,,,
10074,逍遥技能03,1074,,,,,,
10075,逍遥技能04,1075,,,,,,
10076,逍遥技能05,1076,,,,,,
10077,魔王技能01,1077,,,,,,
10078,魔王技能02,1078,,,,,,
10079,魔王技能03,1079,,,,,,
10080,魔王技能04,1080,,,,,,
10081,魔王技能05,1081,,,,,,
202001,兽魂01,22001,,,,,,
202002,兽魂02,22002,,,,,,
202003,兽魂03,22003,,,,,,
202004,兽魂04,22004,,,,,,
202005,兽魂05,22005,,,,,,
202006,兽魂06,22006,,,,,,
202007,兽魂07,22007,,,,,,
202008,兽魂08,22008,,,,,,
202009,兽魂09,22009,,,,,,
202010,兽魂10,22010,,,,,,
202011,兽魂11,22011,,,,,,
202012,兽魂12,22012,,,,,,
202013,兽魂13,22013,,,,,,
202014,兽魂14,22014,,,,,,
202015,兽魂15,22015,,,,,,
102001,神武男初始武器,12001,,,,,,
102002,神武女初始武器,12002,,,,,,
102003,逍遥男初始武器,12003,,,,,,
102004,逍遥女初始武器,12004,,,,,,
102005,心魔男初始武器,12005,,,,,,
102006,心魔女初始武器,12006,,,,,,
103001,翅膀1阶,13001,,,,,,
103002,翅膀2阶,13002,,,,,,
103003,翅膀3阶,13003,,,,,,
103004,翅膀4阶,13004,,,,,,
103005,翅膀5阶,13005,,,,,,
103006,翅膀6阶,13006,,,,,,
103007,翅膀7阶,13007,,,,,,
103008,翅膀皮肤1,13008,,,,,,
103009,翅膀9阶,13009,,,,,,
103010,翅膀10阶,13010,,,,,,
103011,翅膀11阶,13011,,,,,,
103012,翅膀皮肤2,13012,,,,,,
103013,翅膀皮肤3,13013,,,,,,
103014,翅膀14阶,13014,,,,,,
103015,翅膀15阶,13015,,,,,,
105001,坐骑1阶,15001,,,,,,
105002,坐骑2阶,15002,,,,,,
105003,坐骑3阶,15003,,,,,,
105004,坐骑4阶,15004,,,,,,
105005,坐骑5阶,15005,,,,,,
105006,坐骑6阶,15006,,,,,,
105007,坐骑7阶,15007,,,,,,
105008,坐骑8阶,15008,,,,,,
105009,坐骑9阶,15009,,,,,,
105010,坐骑10阶,15010,,,,,,
300001,坐骑皮肤1,30001,,,,,,
300002,坐骑皮肤2,30002,,,,,,
300003,坐骑皮肤3,30003,,,,,,
300004,坐骑皮肤4,30004,,,,,,
300005,坐骑皮肤5,30005,,,,,,
300006,坐骑皮肤6,30006,,,,,,
300007,坐骑皮肤7,30007,,,,,,
108001,法阵1阶,18001,,,,,,
108002,法阵2阶,18002,,,,,,
108003,法阵3阶,18003,,,,,,
108004,法阵4阶,18004,,,,,,
108005,法阵5阶,18005,,,,,,
108006,法阵6阶,18006,,,,,,
108007,法阵7阶,18007,,,,,,
108008,法阵8阶,18008,,,,,,
108009,法阵9阶,18009,,,,,,
108010,法阵10阶,18010,,,,,,
108011,法阵11阶,18011,,,,,,
108012,法阵12阶,18012,,,,,,
108013,法阵13阶,18013,,,,,,
108014,法阵14阶,18014,,,,,,
108015,法阵15阶,18015,,,,,,
