等级,生命,面板伤害,护甲,防御穿透,减免无视,命中值,闪避值,暴击值,抗暴值,暴击伤害,暴击伤害减免,出手速度,伤害增加修正,伤害减少修正,PVP伤加修正,PVP伤减修正,PVE伤加修正,PVE伤减修正,战力
19,1,1906.2,2.871,2.871,,7.177,7.177,4.785,4.785,2,0,0.25,,,,,,,512
20,1,1921.8,2.922,2.922,,7.306,7.306,4.87,4.87,2,0,0.25,,,,,,,595
21,1,2080.9,2.975,2.975,,7.437,7.437,4.958,4.958,2,0,0.25,,,,,,,700
22,1,2096.7,3.028,3.028,,7.57,7.57,5.047,5.047,2,0,0.25,,,,,,,883
23,1,2112.4,3.083,3.083,,7.707,7.707,5.138,5.138,2,0,0.25,,,,,,,898
24,1,3011.4,3.138,3.138,,7.846,7.846,5.231,5.231,2,0,0.25,,,,,,,1427
25,1,2354.1,3.195,3.195,,7.988,7.988,5.325,5.325,2,0,0.25,,,,,,,1033
26,1,2477.1,3.253,3.253,,8.133,8.133,5.422,5.422,2,0,0.25,,,,,,,1145
27,1,2492.1,3.312,3.312,,8.28,8.28,5.52,5.52,2,0,0.25,,,,,,,1160
28,1,2507.1,3.372,3.372,,8.431,8.431,5.621,5.621,2,0,0.25,,,,,,,1175
29,1,2875.2,3.434,3.434,,8.585,8.585,5.723,5.723,2,0,0.25,,,,,,,1522
30,1,2921,3.497,3.497,,8.741,8.741,5.828,5.828,2,0,0.25,,,,,,,1572
31,1,5675.6,3.56,3.56,,8.901,8.901,5.934,5.934,2,0,0.25,,,,,,,4155
32,1,5697,3.626,3.626,,9.064,9.064,6.043,6.043,2,0,0.25,,,,,,,4193
33,1,5718.5,3.692,3.692,,9.23,9.23,6.154,6.154,2,0,0.25,,,,,,,4231
34,1,6157,3.76,3.76,,9.4,9.4,6.267,6.267,2,0,0.25,,,,,,,5695
35,1,7023,3.829,3.829,,9.573,9.573,6.382,6.382,2,0,0.25,,,,,,,7231
36,1,7057.8,3.9,3.9,,9.75,9.75,6.5,6.5,2,0,0.25,,,,,,,7298
37,1,7080.3,3.972,3.972,,9.929,9.929,6.62,6.62,2,0,0.25,,,,,,,7344
38,1,7212.6,4.045,4.045,,10.113,10.113,6.742,6.742,2,0,0.25,,,,,,,9575
39,1,10108.4,4.12,4.12,,10.3,10.3,6.867,6.867,2,0,0.25,,,,,,,15333
40,1,11177.9,4.197,4.197,,10.491,10.491,6.994,6.994,2,0,0.25,,,,,,,20944
41,1,11637.3,4.274,4.274,,10.686,10.686,7.124,7.124,2,0,0.25,,,,,,,22659
42,1,11949.5,4.354,4.354,,10.885,10.885,7.257,7.257,2,0,0.25,,,,,,,23864
43,1,12779.7,4.435,4.435,,11.088,11.088,7.392,7.392,2,0,0.25,,,,,,,27264
44,1,14495.2,4.518,4.518,,11.294,11.294,7.53,7.53,2,0,0.25,,,,,,,34955
45,1,18524.3,4.602,4.602,,11.505,11.505,7.67,7.67,2,0,0.25,,,,,,,54886
46,1,27152.3,4.688,4.688,,11.72,11.72,7.814,7.814,2,0,0.25,,,,,,,88087
47,1,27769.1,4.776,4.776,,11.94,11.94,7.96,7.96,2,0,0.25,,,,,,,92085
48,1,28495.9,4.865,4.865,,12.164,12.164,8.109,8.109,2,0,0.25,,,,,,,115007
49,1,29887.3,4.957,4.957,,12.392,12.392,8.261,8.261,2,0,0.25,,,,,,,126067
50,1,36081.6,5.05,5.05,,12.625,12.625,8.416,8.416,2,0,0.25,,,,,,,224450
51,1,37290.6,5.145,5.145,,12.862,12.862,8.575,8.575,2,0,0.25,,,,,,,238982
52,1,46594,5.242,5.242,,13.104,13.104,8.736,8.736,2,0,0.25,,,,,,,305061
53,1,64487.3,5.341,5.341,,13.351,13.351,8.901,8.901,2,0,0.25,,,,,,,569877
54,1,67378,5.441,5.441,,13.604,13.604,9.069,9.069,2,0,0.25,,,,,,,645483
55,1,69233.6,5.544,5.544,,13.861,13.861,9.24,9.24,2,0,0.25,,,,,,,755825
56,1,81387.5,5.649,5.649,,14.123,14.123,9.415,9.415,2,0,0.25,,,,,,,1039835
57,1,83048,5.756,5.756,,14.39,14.39,9.593,9.593,2,0,0.25,,,,,,,1079713
58,1,88130.8,5.865,5.865,,14.663,14.663,9.775,9.775,2,0,0.25,,,,,,,1207949
59,1,90839.2,5.977,5.977,,14.941,14.941,9.961,9.961,2,0,0.25,,,,,,,1277584
60,1,161137.5,6.09,6.09,,15.225,15.225,10.15,10.15,2,0,0.25,,,,,,,3079826
