#规则索引,序号,奖励说明,是否模板 1是,说明标题（默认是玩法介绍）
rule_ks,index_kn,des_s,templet,title_s
FactionWarHelp,5,5、报名方式以公会为单位，会长或副会长都可以为公会申请报名。,,
FactionWarHelp,6,6、创建公会或加入公会未满24小时，不能参与公会战。,,
FactionWarHelp,7,比赛赛制：,,
FactionWarHelp,8,1、比赛为两个公会成员的PK，最后积分高的公会胜出。,,
FactionWarHelp,9,2、淘汰赛1：16进8，由16强的公会进行两两随机匹配对决，决出8强。,,
FactionWarHelp,10,3、淘汰赛2：8进4，由8强的公会进行两两随机匹配对决，决出4强。,,
FactionWarHelp,11,4、半决赛：4进2加入精英赛，第一部分在公共地图抢夺旗子获取积分，第二部分为精英赛，最后积分高的公会胜出决出2强。,,
FactionWarHelp,12,5、冠军赛：由4强中晋级的2个公会进行对决，第一部分在公共地图抢夺旗子获取积分，第二部分为精英赛，最后积分高的公会胜出决出冠军、亚军。,,
FactionWarHelp,13,弃权：,,
FactionWarHelp,14,1、从淘汰赛开始，活动开始5分钟内一方公会没有任何人进入活动地图的视为弃权，另一方公会直接晋级。,,
FactionWarHelp,15,2、如果活动开始5分钟内，双方公会都没有人进入活动地图的，则公会等级高的晋级，等级相同的取公会战斗力高的晋级。,,
FactionWarHelp,16,精英赛积分：,,
FactionWarHelp,17,1、分大将、副将、后卫三组，每组胜利获得不同积分，失败不会获得积分。,,
FactionWarHelp,18,2、大将积分：1500，副将：1000，后卫：850,,
FactionWarHelp,19,其他积分：,,
FactionWarHelp,20,1、PK获胜得15积分，失败获得5积分。,,
FactionWarHelp,21,2、获得公会战旗得30积分，大帅旗100积分。,,
FactionWarHelp,22,3、每个成员在场1分钟获得3积分，可累加。,,
RobberRule,1,1、圣地场景中可以单人或组队参与。,,
RobberRule,2,2、组队进入圣地可以进行PK、击杀精英怪、拾取圣地钥匙、拾取魔盒；不可以击杀材料怪物。,,
RobberRule,3,3、在圣地场景中，可以在掉落选择界面中，选择自己想要杀怪掉落的物品。,,
RobberRule,4,4、圣地场景中会定时刷新精英怪，击杀可以获得丰富奖励。,,
RobberRule,5,#blue圣地钥匙：#rf,,
RobberRule,6,1、圣地会定时刷新钥匙，#yellow持有钥匙2分钟后（只有公会成员才能拾取）#rf，奖励物品会存入持有者所在的公会仓库中；组队时，拾取到的钥匙归队长持有。,,
RobberRule,7,2、在#yellow钥匙抢到期间#rf，玩家之间#yellow相互攻击#rf，#yellow不会获得不良状态#rf；#yellow攻击携带有不良状态的玩家，不会获得不良状态#rf。,,
RobberRule,8,3、在圣地场景中，玩家与玩家之间可以互相攻击，战败方会踢出圣地，并且获得死亡冷却时间，倒计时未结束不能进入圣地。,,
RobberRule,9,4、玩家与玩家战斗，每次战斗后血量不重置，能量和奥义值重置。,,
RobberRule,10,5、#yellow玩家攻击其他玩家，攻击者会获得不良状态#rf，#yellow该状态#rf会影响关卡或其他一些活动的#yellow收益#rf，不良状态#yellow在线#rf一段时间后会自动消失。,,
RobberRule,11,#blue魔盒：#rf,,
RobberRule,12,1、圣地魔盒活动开启时间，#yellow每天21:00~21:30#rf。,,
RobberRule,13,2、圣地#yellow魔盒活动期间#rf击杀其他玩家#yellow不会获得不良状态#rf。,,
RobberRule,14,3、每位玩家每天可以#yellow拾取10个#rf魔盒，每天最多获得#yellow15个魔盒奖励#rf。,,
RobberRule,15,4、魔盒存在大小之分，大魔盒获得奖励物品数量有可能是小魔盒的2倍。,,
RobberRule,16,5、抢夺其他玩家魔盒时，玩家拥有#yellow3个以上时，超出3个部分全部抢夺；小于等于3个时，被抢夺1个#rf。,,
RobberRule,17,6、玩家被抢夺魔盒后，不会踢出圣地；没有魔盒时，踢出圣地。,,
RobberRule,18,7、玩家每获得一个#rf魔盒奖励或攻击并战胜玩家，能力会衰减#rf。,,
RobberRule,19,8、圣地钥匙、圣地boss宝箱、魔盒活动期间，退出圣地将失去携带的钥匙、宝箱、魔盒。,,
RobberRule,20,#blue离线挂机：#rf,,
RobberRule,21,1、在挂机状态下离线，可以进行离线挂机。,,
RobberRule,22,2、月卡生效期间，离线挂机可以获得加成。,,
RobberRule,23,3、离线挂机奖励在挂机记录处领取。,,
RobberRule,24,#blue圣地挂机效率：#rf,,
RobberRule,25,1、消耗翻倍道具可以翻倍提升效率。,,
RobberRule,26,2、多个玩家选择击杀同一怪物时，会#yellow降低效率#rf。,,
RobberRule,27,3、血盟#yellow三位成员同时在圣地#rf挂机时，可以获得#yellow收益加成rf，具体加成信息请前往血盟中血盟奖励查看。,,
TipsEquipRule,1,1、装备鉴定后有概率生成装备被动技能；装备使用精致打造时，生成技能的概率将增加。,,
TipsEquipRule,2,2、装备重塑可以重新生成新的附加属性,,
TipsEquipRule,3,3、装备强化可以加强基础属性加成，达到指定等级可以解锁附加属性,,
TipsEquipRule,4,4、装备继承可以将旧装备强化等级转移给新装备,,
TipsEquipRule,5,5、装备强化失败会降低该装备强化等级，强化等级未达到4级，失败不降低；达到4级后，失败会降级。,,
LadderRule,1,1、比赛赛制为3V3玩法，玩家在线实时匹配对手，匹配成功后，有45秒的队伍布阵准备时间，倒数结束后进入战斗，1场决出胜负。,,
LadderRule,2,2、每天进行10次排位赛战斗获得满荣誉奖励。没有打满10场只会获得部分对等的奖励，例如：当前段位日结荣誉为50，当天只打了1场排位赛，结算时获得1/10=5荣誉。,,
LadderRule,3,3、比赛时间请查看具体的活动开启时间，活动开始后可邀请在活动里面的玩家一起组队战斗。,,
LadderRule,4,4、每天免费赠送的挑战次数为10次，购买次数请退出跨服后在进入天梯界面处购买，每日凌晨0时重置挑战次数。,,
LadderRule,5,5、每周结算一次天梯排名奖励，每月结算一次段位奖励。,,
LadderRule,6,各段位和点数范围分布详细如下：,,
LadderRule,7,青铜3级，0-199，日结荣誉50，每月结算减少0,,
LadderRule,8,青铜2级，200-399，日结荣誉55，每月结算减少200,,
LadderRule,9,青铜1级，400-549，日结荣誉60，每月结算减少150,,
LadderRule,10,白银5级，550-699，日结荣誉70，每月结算减少150,,
LadderRule,11,白银4级，700-849，日结荣誉80，每月结算减少150,,
LadderRule,12,白银3级，850-999，日结荣誉90，每月结算减少150,,
LadderRule,13,白银2级，1000-1149，日结荣誉100，每月结算减少150,,
LadderRule,14,白银1级，1150-1249，日结荣誉110，每月结算减少100,,
LadderRule,15,黄金5级，1250-1349，日结荣誉120，每月结算减少100,,
LadderRule,16,黄金4级，1350-1449，日结荣誉130，每月结算减少100,,
LadderRule,17,黄金3级，1450-1549，日结荣誉140，每月结算减少100,,
LadderRule,18,黄金2级，1550-1649，日结荣誉150，每月结算减少100,,
LadderRule,19,黄金1级，1650-1749，日结荣誉160，每月结算减少100,,
LadderRule,20,白金5级，1750-1849，日结荣誉170，每月结算减少100,,
LadderRule,21,白金4级，1850-1949，日结荣誉180，每月结算减少100,,
LadderRule,22,白金3级，1950-2049，日结荣誉190，每月结算减少100,,
LadderRule,23,白金2级，2050-2149，日结荣誉200，每月结算减少100,,
LadderRule,24,白金1级，2150-2249，日结荣誉210，每月结算减少100,,
LadderRule,25,钻石5级，2250-2349，日结荣誉225，每月结算减少50,,
LadderRule,26,钻石4级，2350-2449，日结荣誉240，每月结算减少50,,
LadderRule,27,钻石3级，2450-2549，日结荣誉255，每月结算减少50,,
LadderRule,28,钻石2级，2550-2649，日结荣誉270，每月结算减少50,,
LadderRule,29,钻石1级，2650-2749，日结荣誉285，每月结算减少50,,
LadderRule,30,最强霸主，2750-5000，日结荣誉300，每月结算减少50,,
NavigationRule,1,1、玩家可以在港口寻找自己喜欢的商船，占领商船，商船会根据占领的时间产生收益。,,
NavigationRule,2,2、商船分为大型、中型和小型三种，每种商船的贸易盈利都不一样，大型的最高，中型次之，小型最低。,,
NavigationRule,3,3、其他玩家可以掠夺并占领你的商船，每次占领后，请配置女神进行防守。,,
NavigationRule,4,4、每天拥有占领使用商船3次的机会，占领怪物的商船，只会消耗占领次数，不影响掠夺次数和收益次数。,,
NavigationRule,5,5、每次对其他玩家进行掠夺成功后，都会使用一次掠夺收益次数，当收益次数为0时进行掠夺将不会获得资源。,,
NavigationRule,6,6、你的等级越高，商船的盈利越高。,,
NavigationRule,7,7、公会会长占领商船后，全公会成员均有贸易盈利加成，公长占领的商船越大型，收益越高。,,
NavigationRule,8,会长加成：,,
NavigationRule,9,达到V7时 ：中型船收益+30%，大型船收益+50%,,
NavigationRule,10,达到V9时 ：中型船收益+45%，大型船收益+75%,,
NavigationRule,11,达到V11时：中型船收益+60%，大型船收益+100%,,
NavigationRule,12,掠夺：,,
NavigationRule,13,1、每次对玩家进行掠夺需要消耗1掠夺次数。,,
NavigationRule,14,2、每天的掠夺收益次数上限为3次，超出后再进行掠夺不会再获得资源。,,
NavigationRule,15,3、被掠夺过后的商船将失去贸易功能，商船会重新回收。,,
LadderRankRule,1,天梯排名每周日结算一次，每次结算给予排名前50名的玩家发放奖励。,,
LadderRankRule,2,奖励详情如下,,
LadderRankRule,3,第一名：3000钻石,,
LadderRankRule,4,第二至三名：2000钻石,,
LadderRankRule,5,第四至十名：1500钻石,,
LadderRankRule,6,第十一至二十名：1000钻石,,
LadderRankRule,7,第二十一至五十名：500钻石,,
GodsWarRule,1,1、活动一共有两个势力方，您需要选择一个势力进行对战。,,
GodsWarRule,2,2、无论胜负，均可获得积分，当然胜方会获得更多的积分。,,
GodsWarRule,3,3、连胜场次越多，积分获得越高，积分可以在商店兑换物品。,,
GodsWarRule,4,4、每场战斗结束后保留血量。,,
GodsWarRule,5,5、可以通过振奋提高伤害。,,
GodsWarRule,6,6、动一动您的纤纤玉手，开始作战吧！,,
RobberRule1,1,钥匙奖励：钻石、爆伤石1级、治疗石1级、能量石1级、吸血石1级、免伤石1级、攻击石1级、魔法石1级、防断石1级、减能石1级、眩晕石1级、复活石1级、能力印记、幸运石、神魂结晶、锻造石。,,圣地钥匙奖励
RobberRule2,1,1、至尊怪刷新时间为活动双倍期间。,,至尊怪奖励
RobberRule2,2,2、击杀至尊怪后，有5分钟冷却时间，时间过后再次刷新。,,
RobberRule2,3,3、击杀至尊怪，将结算5次当前所挂机的奖励。,,
RobberRule3,1,奖励详情如下：小钻石、守护源力、星辰图纸、锻造石、幸运石、神魂结晶、中级强化石、高级强化石。,,圣地魔盒奖励
BloodUnionRule,1,1、成员每天在线6分钟增加1点羁绊值，每人每天上限120点，羁绊达到一定值时3人组队会有额外的收益加成。,,
BloodUnionRule,2,2、毁约后的24小时内不可再加入其他血盟，也会扣除个人一定的羁绊值。,,
BloodUnionRule,3,3、持续24小时不在线，个人羁绊值扣除120点。,,
BloodUnionRule,4,4、血盟所有成员15天不上线，血盟自动解散。,,
BloodUnionRule,5,5、若有成员血盟毁约，则清空所有血盟值。,,
meilijiangli,1,每周六晚上23：59分结算魅力排行榜奖励。,,
meilijiangli,2,奖励条件：,,
meilijiangli,3,1、进入前20名的玩家,,
meilijiangli,4,2、魅力值达到150以上,,
meilijiangli,5,奖励详情：,,
meilijiangli,6,第1名：万能碎片*10，材料宝箱*1，星辰图纸*2，100钻,,
meilijiangli,7,第2-3名：万能碎片*6，材料宝箱*1，星辰图纸*2，100钻,,
meilijiangli,8,第4-5名：万能碎片*3，材料宝箱*1，星辰图纸*2，100钻,,
meilijiangli,9,第6-10名：万能碎片*3，星辰图纸*2，100钻,,
meilijiangli,10,第11-15名：万能碎片*2，星辰图纸*2,,
meilijiangli,11,第16-20名：万能碎片*2,,
meilijiangli,12,每周日凌晨0时，魅力值重置。,,
RobberRule4,1,1、每个BOSS不限挑战次数，但拾取宝箱的次数会有一定的限制，每个BOSS的次数限制均不相同。,,
RobberRule4,2,2、BOSS每隔一段时间刷新，详情可查看界面刷新时间。,,
RobberRule4,3,3、BOSS死亡后，会在原地掉落宝箱，拾取宝箱后会有一个约1分钟的开启时间。,,
RobberRule4,4,4、可以抢夺持有宝箱的玩家。,,
RobberRule4,5,5、可以组队前往挑战。,,
RobberRule4,6,6、这家伙很懒，规则只写到这了。,,
RobberRatio,1,1、消耗翻倍道具可以翻倍提升效率。,,
RobberRatio,2,2、多个玩家选择击杀同一怪物时，会降低效率。,,
RobberRatio,3,3、血盟三位成员同时在圣地挂机时，具体加成信息请前往血盟中血盟奖励查看。,,
Embattle,1,关卡、公会战、众神之战、圣地、航海贸易、世界BOSS可以上阵5个伙伴，60级或达到VIP6可上阵9个角色。,,
caozuozhiyin,1,#red进阶操作：#rf,,
caozuozhiyin,2,1、点击角色界面中右上角#yellow“进阶”#rf按钮。,,
caozuozhiyin,3,2、查看进阶界面中，进阶需要满足的：#yellow角色等级、养成属性、进阶材料和青苹果#rf。,,
caozuozhiyin,4,3、满足进阶所需要的条件和材料后，点击进阶按钮；进阶后可以获得#yellow属性加成，女神角色还可以解锁技能#rf。,,
caozuozhiyin,5,#red蜕变操作：#rf,,
caozuozhiyin,6,1、在角色界面中点击左上方#yellow“蜕变”#rf按钮，打开蜕变界面。,,
caozuozhiyin,7,2、在蜕变界面中点击#yellow“放入神魂”#rf格，可以打开神魂选择界面。,,
caozuozhiyin,8,3、放入相应额度的神魂后，点击#yellow蜕变#rf按钮，角色觉醒蜕变。,,
caozuozhiyin,9,#red装备强化操作：#rf,,
caozuozhiyin,10,1、在角色界面中点击右上方#yellow“工坊”#rf按钮或者在装备穿戴界面点击工坊按钮打开,,
caozuozhiyin,11,2、打开工坊界面或装备详情界面后，可以进行装备的#yellow强化、继承、重塑、鉴定#rf。,,
caozuozhiyin,12,3、装备强化可以加强基础属性加成，达到指定等级可以解锁附加属性,,
caozuozhiyin,13,4、装备继承可以将旧装备强化等级转移给新装备,,
caozuozhiyin,14,5、装备重塑可以重塑装备的附加属性,,
caozuozhiyin,15,6、装备鉴定可以随机生成装备技能（三阶及以上装备才能生成）,,
caozuozhiyin,16,#red羁绊操作：#rf,,
caozuozhiyin,17,1、在角色界面中点击右边中间#yellow“羁绊”#rf按钮，打开羁绊界面。,,
caozuozhiyin,18,2、羁绊升级需要满足：#yellow羁绊角色、角色进阶、角色蜕变#rf,,
caozuozhiyin,19,3、满足条件后羁绊等级解锁，解锁可以获得#yellow属性能量加成、可以解锁天赋格植入天赋石#rf,,
caozuozhiyin,20,#red天赋石植入和升级操作：#rf,,
caozuozhiyin,21,1、在角色界面中满足植入天赋石条件时，在界面右边中间部分显示发光的拳头。,,
caozuozhiyin,22,2、点击羁绊按钮，进入羁绊界面，在界面中有空余天赋格时点击#yellow植入天赋石#rf按钮进入天赋石植入界面,,
caozuozhiyin,23,3、天赋石植入后，在角色界面中羁绊位置会显示天赋石小图标。,,
caozuozhiyin,24,4、在#yellow羁绊界面点击天赋石#rf可以打开天赋石升级界面。,,
IntelligenceRule,1,1、在情报系统中记录角色、守护技能、天赋石的出战次数和胜率。,,
IntelligenceRule,2,2、在情报系统中会推荐：角色最佳组合、守护技能最佳组合、天赋石最佳组合。,,
IntelligenceRule,3,3、角色根据角色的胜率、出战次数、存活率进行统计，从而等各个角色的排名。,,
IntelligenceRule,4,4、守护技能根据携带该技能获胜率、出战次数、使用次数进行统计，从得出各个技能的排名。,,
IntelligenceRule,5,5、天赋石根据携带该天赋石获胜率、出战次数进行统计，从而得出天赋石排名。,,
IntelligenceRule,6,6、最佳组合将根据该组合的胜率、出战次数进行统计，从而得出最佳组合。,,
RobberCardRule,1,月卡增加圣地在线和离线整体效率20%,,
RobberCardRule,2,即：,,
RobberCardRule,3,效率为100%（正常挂机）时，月卡加成后效率为120%（100%+100%*20%）,,
RobberCardRule,4,效率为200%（正常挂机+双倍药水）时，月卡加成效率为240%（200%+200%*20%）,,
RobberCardRule,5,效率为300%（正常挂机+三倍药水）时，月卡加成效率为360%（300%+300%*20%）,,
RobberCardRule,6,该加成效果作用于所有影响效率的因素,,
AllGradeRule,1,1、守护、御灵、神兵、技能植入数量都会给所有角色带来属性加成。,,
AllGradeRule,2,2、每一项的评分根据当前的进度有关，例如神兵10级，你当前为5级，评分则为50分。以类此推，越高级越高评分,,
AllGradeRule,3,3、守护和御灵最高20级，神兵10阶，技能植入最高6个。,,
PersonageGradeRule,1,1、角色等级、蜕变、羁绊、技能、职业等阶、女神品质、装备强化和鉴定都直接影响每一个角色的战斗能力。,,
PersonageGradeRule,2,2、提升以上每项等级都会直接获得评分。,,
PersonageGradeRule,3,3、技能等级，按标准的5个技能来计算，每个技能30级，满级为150级。,,
PersonageGradeRule,4,4、装备强化，按6件装备来计算，每件装备10级强化，满级为60级,,
PersonageGradeRule,5,5、鉴定按已穿戴的装备是否有鉴定为计算，一共6件装备，6个鉴定。,,
AllComparisonGradeRule,1,1、守护、御灵、神兵、技能植入数量都会给所有角色带来属性加成。,,
AllComparisonGradeRule,2,2、每一项的评分根据当前的进度有关，例如神兵10级，你当前为5级，评分则为50分。以类此推，越高级越高评分,,
AllComparisonGradeRule,3,3、守护和御灵最高20级，神兵10阶，技能植入最高6个。,,
PersonageComparisonGradeRule,1,1、角色等级、蜕变、羁绊、技能、职业等阶、女神品质、装备强化和鉴定都直接影响每一个角色的战斗能力。,,
PersonageComparisonGradeRule,2,2、提升以上每项等级都会直接获得评分。,,
PersonageComparisonGradeRule,3,3、技能等级，按标准的5个技能来计算，每个技能30级，满级为150级。,,
PersonageComparisonGradeRule,4,4、装备强化，按6件装备来计算，每件装备10级强化，满级为60级,,
PersonageComparisonGradeRule,5,5、鉴定按已穿戴的装备是否有鉴定为计算，一共6件装备，6个鉴定。,,
FacTaskRule,1,1、公会成员完成争霸任务可以获得个人贡献和公会积分。,,
FacTaskRule,2,2、个人贡献可以在公会商城中兑换奖励。,,
FacTaskRule,3,3、公会积分在争霸结算时，公会获得相应奖励。,,
FacTaskRule,4,4、争霸任务分为个人任务和集体任务。,,
FacTaskRule,5,5、贡献排名中会显示公会成员的贡献排名。,,
FacTaskRule,6,6、排名奖励中会显示当前公会积分最高的三个公会。,,
FacTaskRule,7,7、可以在排名奖励中查看不同名次公会的奖励。,,
FacTaskRule,8,8、#yellow当天加入公会#rf，完成公会个人任务，#yellow只能获得个人贡献奖励，不能获得公会积分奖励#rf。,,
FacTaskTreasureRule,1,1、公会争霸结算时，获得第一名的玩家可以加入臧宝阁。,,
FacTaskTreasureRule,2,2、臧宝阁奖励由会长自由分配。,,
FacTaskTreasureRule,3,3、未分配完的奖励在下次结算时会被清空。,,
