索引,值,falg_c
RELIC_MINE_SUCCESS_HAVE,您成功抢夺了%s的商船获得了部分资源。,0
RELIC_MINE_SUCCESS_NO,您成功占领了%s的商船。,0
RELIC_MINE_GIFTS,您在自己占领的商船中获得了宝藏惊喜。,0
PAKCET_FULL_TO_MAIL,背包空间不足，转至邮箱发送，领取前请确认有足够的背包空间。,0
QIANGDA_PRIZE,您在每日抢答中正确回答问题，获得了以下奖励。,0
EQUIP_LOTTERY_EMAIL,当前背包已满，您通过幸运转盘获得的装备由邮件发送，请注意查收。,0
CHAMPION_LOST,由于%s在竞技场中打败了您，您的排名下降到%d名。,0
QIANGDA_JOIN,感谢您参与每日抢答活动，获得了以下奖励。,0
AMBASSADOR_DAILY_PRIZE,恭喜获得邀请大使登陆奖励（您与邀请您的玩家30天内每天都有登陆游戏即可获得10晶石）,0
RELIC_MINE_RIVAL_PRIZE,您在航海中成功反击了%s，获得反击奖励。,0
AMBASADOR_FIRST_RECHARGE,邀请大使奖励,0
AMBASADOR_LEVEL_UP,邀请大使升级奖励,0
FACTIONMAP_ALL,您在公会封印之地击杀%d个禁地守卫，获得以下奖励。,0
MATRIXMAP_ALL,您在联盟灵阵守卫中击杀%d个灵阵守卫，获得以下奖励。,0
MATRIXBOSS_ALL,联盟灵阵守卫BOSS被击杀，所有参与者获得以下奖励。,0
MATRIXBOSS_RANK,您在联盟灵阵守卫BOSS战斗中输出排第 %s 名，获得以下奖励。,0
NUMBER1,一,0
NUMBER2,二,0
NUMBER3,三,0
NUMBER4,四,0
NUMBER5,五,0
NUMBER6,六,0
NUMBER7,七,0
NUMBER8,八,0
NUMBER9,九,0
NUMBER10,十,0
WARHORN,号角签到补偿。,0
BAIND_ACCOUNT,绑定账号成功，获得以下奖励,0
INVITE_FRIENDS,邀请FB好友成功，获得以下奖励,0
PLAT_SHARE,平台分享成功，获得以下奖励,0
PLR_CARD_QQ,完善qq信息奖励,0
PLR_CARD_WEIXIN,完善微信信息奖励,0
PLR_CARD_PHONE,完善电话号码信息奖励,0
QQ_FIRST_SHARE,qq首次分享奖励,0
QQ_DAILY_SHARE,qq每日分享奖励,0
WX_FIRST_SHARE,微信首次分享奖励,0
WX_DAILY_SHARE,微信每日分享奖励,0
FB_SCORE,感谢您宝贵的评价，获得以下奖励,0
FB_FIRST_SHARE,FaceBook首次分享奖励,0
FB_DAILY_SHARE,FaceBook每日分享奖励,0
L_FIRST_SHARE,Line首次分享奖励,0
L_DAILY_SHARE,Line每日分享奖励,0
SHOP_SCORE,感谢您宝贵的评价，获得以下奖励,0
CONSUME,累计消费奖励,0
EQUIP_REFINE_GROW,恭喜您在七天内达成装备洗练目标，获得以下奖励,0
EQUIP_ENHANCE_GROW,恭喜您在七天内达成装备强化目标，获得以下奖励,0
EQUIP_CAST_GROW,恭喜您在七天内达成装备重铸目标，获得以下奖励,0
NORMAL_EQUIP_STAR,紫色,0
SENIOR_EQUIP_STAR,金色,0
PRIECIOUS_EQUIP_STAR,彩色,0
SEVEN_DAY_PRIZE_SENIOR,恭喜你完成七日任务的进阶，获得额外奖励！,0
SEVEN_DAY_PRIZE_NORMAL,恭喜你完成七日任务的普通目标，获得额外奖励！,0
ZHENYING_WIN,恭喜您，所在阵营获得了空前胜利。请再接再厉为阵营荣誉而战，请领取奖励,0
ZHENYING_LOST,失败乃成功之母，请再接再厉为阵营的荣誉而战，请领取奖励,0
FACTIONWAR_RANK16,你们公会报名进入了淘汰赛，比赛将在1小时后开始，请做好准备。,0
FACTIONWAR_RANK4,你们公会通过昨天的淘汰赛夺得了进入冠军赛的资格，比赛将在1小时后开始，请做好准备。,0
FACTIONWAR_PRIZE1,恭喜您的公会在公会赛中获得冠军！成为了全服第一！获得的公会奖励直接进入公会仓库。个人奖励由本邮件领取！ps:公会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！,0
FACTIONWAR_PRIZE2,恭喜您的公会在公会赛中获得亚军！获得的公会奖励直接进入公会仓库。个人奖励由本邮件领取！ps:公会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！,0
FACTIONWAR_PRIZE3,恭喜您的公会在公会赛中获得季军！获得的公会奖励直接进入公会仓库。个人奖励由本邮件领取！ps:公会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！,0
FACTIONWAR_PRIZE4,恭喜您的公会在公会淘汰赛中成为4强之一，夺得了进入冠军赛资格！获得的公会奖励直接进入公会仓库。个人奖励由本邮件领取！ps:公会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！,0
FACTIONWAR_PRIZE8,恭喜您的公会在公会淘汰赛中成为8强之一！获得的公会奖励直接进入公会仓库。个人奖励由本邮件领取！ps:公会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！,0
FACTIONWAR_PRIZE16,恭喜您的公会成功进入16强！,0
FACTIONWAR_FLAG,【%s】的旗帜,0
FACTIONWAR_FLAGG,今天军旗被众人膜拜次数达到%d次，奖励%d金币！,0
FACTIONWAR_FLAGL,今天军旗被膜拜次数较少，无法获得奖励，每天军旗被膜拜40次以上可获得奖励！,0
EVERY_DAY_PRICE,每日充值活动，获得以下奖励！,0
DOUBLE_PRICE,充值双倍活动，获得以下奖励！,0
PAY_SERVERS_PRICE,跨服冲值排行活动第%d名，获得以下奖励！,0
FACTIONWAR_NO_ENOUGH2,由于本届公会战报名公会数不足2个，所以本届比赛将顺延至下周，报名的公会无需再次报名,0
FACTIONWAR_NO_ENOUGH5,由于本届公会战报名公会数不足5个，报名的公会将直接进入冠军赛,0
FACTIONWAR_NO_ENOUGH9,由于本届公会战报名公会数不足9个，报名的公会直接进入8强,0
RESULT_MONSTER_SIEGE_RANK,你在“怪物攻城”活动中表现活跃，成为守护英雄榜的第%d名！获得奖励以下物品！,0
MONSTER_SIEGE_KILL,经过大家的努力成功击退了【%s】，获得以下奖励！,0
MONSTER_SIEGE_KILL_EX,通过全服玩家的合作与努力，成功阻止了深渊魔王这次的攻势！为了感谢你付出的努力，奖励以下物品！,0
FACTION_MERGE,由于清除公会战旗帜，故上届公会战第一名公会全团成员可于合服完成开服后领取补偿奖励（发放对象以合服时公会成员名单为准）,0
WUDOUTEAM_APPLY_NOTICE,您已报名参加斗技大赛组队赛，比赛将在星期四晚上8点开始，请记得上线参加比赛（比赛需手动战斗，不上线参加将以弃权处理）。,0
HONOR_TITLE_PRIZE,"恭喜##sex;{汪酱,汪君}##完成了【%s】称号并获得以下奖励",0
CHANGE_HONOR_POINT,"恭喜##sex;{汪酱,汪君}##完成了成就任务%s获得如下奖励",0
HONOR_TITLE_TIME_OUT,称号%s已过期， 恢复成未达成状态,0
RANK128,128强,0
WUDOUSERVER_APPLY,你获得了参加跨服斗技大赛的比赛名额，比赛时间请留相关信息。,0
WUDOUSERVER_GAME,本届跨服-斗技大赛已经开始！你已经进入参赛名单，请做马上进入比赛！,0
WUDOUSERVER_PRIZE,恭喜您在跨服-斗技大赛获得%s，大会向您派发%d斗技积分奖励。,0
COMBAT_AGREE_EXPELLEE,被%s开除战队,0
COMBAT_AGREE_INVITE,%s 接受了你的邀请，成为了你的战队队员,0
COMBAT_AGREE_EXPELLEE,您被%s开除出了血盟,0
COMBAT_AGREE_INVITE,%s接受了您的邀请，成为了血盟成员,0
SEVEN_DAY_PRIZE,在七天任务中完成了%s，由于没有及时领取，补发奖励邮件,0
PUTONG,普通,0
JINGPIN,完美,0
ZHENPIN,卓越,0
XIYOU,稀有,0
JIPIN,极品,0
CHAOFAN,超凡,0
CHUANSHUO,传说,0
SHENGWU,神物,0
SHENQI,圣器,0
CHAOSHEN,超神,0
RELIC_MINE_HELP_AUTO,因为您的帮助，您队友的商船已经圆满完成开采，获得全部的资源。,0
RELIC_MINE_SUCCESS_HELP_HAVE,因为您的帮助，您队友成功抢夺了%s的商船获得了部分资源。,0
RELIC_MINE_SUCCESS_HELP_NO,因为您的帮助，您队友成功占领了%s的商船。,0
FACWARSERVER_PRIZE1,恭喜您的公会在公会赛中获得冠军！这是对你的嘉奖！,0
FACWARSERVER_PRIZE2,恭喜您的公会在公会赛中获得亚军！这是对你的嘉奖！,0
FACWARSERVER_PRIZE4,恭喜您的公会在公会淘汰赛中成为4强之一！这是对你的嘉奖！,0
FACWARSERVER_PRIZE8,恭喜您的公会在公会淘汰赛中成为8强之一！这是对你的嘉奖！,0
FACWARSERVER_PRIZE16,恭喜您的公会在公会淘汰赛中成为16强之一！这是对你的嘉奖！,0
FACWARSERVER_PRIZE32,恭喜您的公会在公会淘汰赛中成为32强之一！这是对你的嘉奖！,0
EVERY_DAY_ACCU_CONSUME_PRICE,每日累计消费活动，获得以下奖励！,0
FACWARSERVER_RANK4,恭喜#yellow%s#rf，#yellow%s#rf，#yellow%s#rf和#yellow%s#rf成为4强进入冠军赛，冠军赛将在明天开始，请留意相关信息！,0
FACWARSERVER_RANK2,恭喜#yellow%s#rf和#yellow%s#rf以强大实力获得了进入总决赛的资格！敬请各位关注！,0
FACWARSERVER_RANK1,恭喜#yellow%s#rf获得了本次跨服公会战的冠军！在和#yellow%s#rf的激烈战斗中，#yellow%s#rf最终技高一筹击败了对方获得了最终的冠军！,0
FACWARSERVER_RANK16,经过激烈的比拼，#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、成功晋级16强！请期待接下来更加精彩的比赛！,0
FACWARSERVER_RANK8,经过激烈的比拼，#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、#yellow%s#rf、成功晋级8强！请期待接下来更加精彩的比赛！,0
MERGE_FORCE_PRIZE,合服后三天，战力排行榜前%d，获得以下奖励,0
MERGE_TOWER_PRIZE,合服后三天，试练场排行榜前%d，获得以下奖励,0
MERGE_CHAMPION_PRIZE,合服后三天，竞技场排行榜前%d，获得以下奖励,0
MIDAUTUMN_PRIZE,全服赠送康乃馨达到%d个，母亲节使者赠与大家额外奖励，感谢您的参与,0
EXCITE_SERVER_DEAD_FIELD,恭喜您在本次死亡领域活动中成为全服首个通过第%d层的玩家,0
WAR_HORN_ITEM,购买月卡赠送幸运草~请笑纳~,0
SECRET_LAND_RANK_PRIZE,恭喜少爷在密语境地中输出第%d名，获得额外奖励。,0
SECRET_LAND_BOSS_KILLED_RIGHT,恭喜少爷在密语中按照正确的顺序击杀了怪物，这是你获得是所有回报。,0
SECRET_LAND_BOSS_KILLED_WRONG,恭喜少爷在密语中击杀了怪物，但是不是正确答案哦，这是部分回报。,0
DEAD_FIELD_WIN,恭喜通过死亡领域第%d区域，以下是本区的奖励。,0
HOLY_EQUIP_STAR,圣器,0
FRIEND_RENAME,你的好友%s使用%s改名为%s,0
SING_DAY_RANK,这是你在情人节活动中排行%d的奖励，请笑纳,0
PET_ADVANCEEX_RECORD,恭喜少爷，您的异界召集将记录在异界召集攻略上面，这是一个值得庆祝的日子。,0
COMBAT_TEAM_PRIZE,恭喜战队羁绊值达到%d，以下为本次达成奖励（每个玩家ID仅可获得一次）,0
LEAGUE_DAILY,通过今天跨服天梯赛的比拼，你的积分为%d分，段位评定为%s，奖励荣誉值%d点！请继续加油！,0
LEAGUE_WEEKLY,经过一周的比拼，你的跨服天梯赛段位排名为第%d名！获得排名奖励！,0
LEAGUE_MONTH,跨服天梯赛月结，你的，给于物品奖励，积分掉落%d，当前积分为%d分，段位评定为%s！,0
LEAGUE_CLOSE,跨服天梯即将维护，请还在对战的玩家及时退出,0
FAN_SCORE,感谢您加入FB粉丝团，获得以下奖励,0
EXCITE_SERVER_DEAD_FIELD_PERSONAL,恭喜您成为全服第一个通关%d区域终极境地的玩家,0
GUOZHAN_DAILY_GOLD,经过激烈的战争，获得国都分红金砂资源%d，资源点收割资源%d，掠夺资源%d,0
SPRING_RED_ENVELOPE,你种下的摇钱树还剩下%d个晶石，现在返还给你，请笑纳,0
FACTION_PVE_RANK,恭喜你在远古领域排名%s，这个是发给你的奖励，请笑纳,0
FACTION_PVE,通过大家的努力，成功击败远古魔兽，这个是公会boss的个人奖励，请笑纳,0
WORLD_BOSS_KILLED,%d分钟击退BOSS在场所有玩家额外获得以下奖励,0
FACTION_BUILD_LEVELUP,%s经过大家的努力已经升级到%d，现在每人发放%d公会建筑积分,0
WELCOME_TO_ADD_CHAT_GROUP,欢迎%s加入讨论组,0
CHAT_GROUP_REALESE,%s讨论组解散了,0
CHAT_GROUP_EXPELLED,你被请出了%s讨论组,0
UNION_PVP_FIRST_PREPARE,你的公会获得了本届联盟赛参赛资格，请通知各位公会成员及时参加,0
UNION_MATCH_APPLY_SUCCESS,成功报名联盟战，报名之后请不要重组联盟，以免造成无法参赛,0
GUOZHAN_MERGE,异界纷争合服补偿,0
UNION_PVP_NO_MATCH,"由于名额限制,你的公会没有获得本届联盟赛参赛资格",0
SEND_PRIZE_TO_PUBLISHER,恭喜少爷，您的任务已经被其他玩家完成了。这是您得到的奖励，请查收,0
RETURN_TASK_SPEND,少爷在公会发布的任务超过24小时没其他人领取，退还您消耗的晶石，有需求再发布任务，请前往发布任务操作。,0
UNIONPVP_PRIZE1,恭喜您的公会在跨服联盟赛中获得冠军！这是对你的嘉奖！,0
UNIONPVP_PRIZE2,恭喜您的公会在跨服联盟赛中获得亚军！这是对你的嘉奖！,0
UNIONPVP_PRIZE4,恭喜您的公会在跨服联盟赛中成为4强之一！这是对你的嘉奖！,0
UNIONPVP_PRIZE8,恭喜您的公会在跨服联盟赛中成为8强之一！这是对你的嘉奖！,0
UNIONPVP_PRIZE16,恭喜您的公会在跨服联盟赛中成为16强之一！这是对你的嘉奖！,0
RIDE_ADVANCEEX_RECORD,恭喜少爷，您的坐骑激活将记录在坐骑激活攻略上面，这是一个值得庆祝的日子。,0
VALUE_OF_LOVE_PRIZE,恭喜爱慕值达到%d，以下为本次达成奖励,0
DIVORCE_NOTIFICATION,您的婚约解除了，从现在开始您可以去追寻您新的生活了。,0
GUOZHANCST_PRIZE,经过激烈的争霸赛，你在比赛中获得的积分将转换成相应的金砂奖励！,0
TIANCI,天赐,0
AUCTION_SUCCESS_BUY,恭喜您成功从拍卖行以%d晶石最终成交价拍下商品，若有设定自动加价则退回多余晶石。,0
AUCTION_PRICE_LOWER,很遗憾，拍卖行的%s商品被其他玩家出价到%d晶石，本轮竞拍失败，现在退还您%d晶石,0
AUCTION_SUCCESS_SELL,您在拍卖行上架的%s商品以最终成交价%d晶石被拍下，扣除手续费，现返还您%d晶石,0
AUCTION_FAILE_SELL,您在拍卖行上架的%s商品时间结束没人竞拍，现已下架，返还您上架的商品,0
AUCTION_OFF_SHELF,您在拍卖行上架的%s商品由于特殊原因现已下架，返还您上架的商品,0
AUCTION_OFF_SHELF_REBACK,您在拍卖行竞拍的%s商品由于特殊原因现已下架，现在返还您竞拍晶石,0
RED_ENVELOP_REBACK,您发出的红包超过12小时未领取完，已过期，返还剩余晶石,0
SEND_RED_ENVELOPE,我发放了一个公会红包，大家快去领取吧！,0
FRIEND_SEND_GIFT,%s向你赠送了行动力，请查收！,0
CHAMPION_WIN_STREAK,竞技场连胜%d场，这是给你的奖励,0
PAY_MAIL_SevenDay,创角七天奖励，%s档次的奖励过期未领，通过邮件补发。,0
PAY_MAIL_SinglePay,单笔冲值奖励，%s档次的奖励过期未领，通过邮件补发。,0
PAY_MAIL_SingleConsume,单笔消费奖励，%s档次的奖励过期未领，通过邮件补发。,0
PAY_MAIL_LimitDayPay,限时每日冲值奖励，%s档次的奖励过期未领，通过邮件补发。,0
PAY_MAIL_LimitDayConsume,限时每日消费奖励，%s档次的奖励过期未领，通过邮件补发。,0
PAY_MAIL_DayAccumPay,每日累计冲值奖励，%s档次的奖励过期未领，通过邮件补发。,0
PAY_MAIL_DayAccumConsume,每日累计消费奖励，%s档次的奖励过期未领，通过邮件补发。,0
PAY_MAIL_AccumPay,累计冲值奖励，%s档次的奖励过期未领，通过邮件补发。,0
PAY_MAIL_AccumConsume,累计消费奖励，%s档次的奖励过期未领，通过邮件补发。,0
PAY_MAIL_QudaoPayReturn,渠道冲值反馈奖励，%s档次的奖励过期未领，通过邮件补发。,0
PAY_MAIL_AllPayReturn,冲值反馈奖励，%s档次的奖励过期未领，通过邮件补发。,0
PAY_MAIL_Recharge,冲值奖励，%s档次的奖励过期未领，通过邮件补发。,0
PAY_MAIL_GamePayRank,恭喜你在冲值排行活动中获得了第%d名的好成绩，获得以下奖励。,0
PAY_MAIL_GameConsumeRank,恭喜你在消费排行活动中获得了第%d名的好成绩，获得以下奖励。,0
PAY_MAIL_ServersPayRank,恭喜你在跨服冲值排行活动中获得了第%d名的好成绩，获得以下奖励。,0
PAY_MAIL_ServersConsumeRank,恭喜你在跨服消费排行活动中获得了第%d名的好成绩，获得以下奖励。,0
ROBBER_KILLED,%s你在圣地被%s击杀了。,0
LEVEL_FUND,尊敬的汪君or汪酱大人，你好！非常荣幸可以得到您对我们商队的资金支持，目前我们的商队一切进展的很顺利。听说您已经达到%d级了，可喜可贺呀！这是我们商队奉上的小小心意，希望您能收下！希望您一帆风顺！ ——贸易商队阿信,0
ROBBER_HANG_UP_OVER,由于你太长时间没有收回圣地挂机收益，系统自动帮你结算了收益并且停止了你的挂机。,0
EMPLOY_INCOME,这个是你的工会入驻收益，请收下吧,0
FLOWER_GREET_WORDS,%s#rf，与你相识是一个奇迹! 与你相爱，我无怨无悔，遇到你是我一生牵挂开始，牵挂到永远，愿这份爱天长地久！--%s,0
FACTIONWAR_PRIZE_TOP_1,恭喜您的公会在公会赛中获得冠军！成为了全服第一！获得的公会奖励直接进入公会仓库。个人奖励由本邮件领取！ps:公会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！,0
FACTIONWAR_PRIZE_TOP_2,恭喜您的公会在公会赛中获得亚军！获得的公会奖励直接进入公会仓库。个人奖励由本邮件领取！ps:公会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！,0
FACTIONWAR_PRIZE_TOP_3,恭喜您的公会在公会赛中获得季军！获得的公会奖励直接进入公会仓库。个人奖励由本邮件领取！ps:公会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！,0
FACTIONWAR_PRIZE_TOP_4,恭喜您的公会在公会淘汰赛中成为4强之一，夺得了进入冠军赛资格！获得的公会奖励直接进入公会仓库。个人奖励由本邮件领取！ps:公会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！,0
FACTIONWAR_PRIZE8,恭喜您的公会在公会淘汰赛中成为8强之一！获得的公会奖励直接进入公会仓库。个人奖励由本邮件领取！ps:公会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！,0
FACTIONWAR_PRIZE16,恭喜您的公会成功进入16强！,0
TASK_END_ROBBER_HANG,由于任务原因，结束了您在圣地的挂机，任务结束之后记得重新设置挂机哦！,0
CHARM_RANK_PRIZE,截止周六23点59分，你的魅力值排行%s，恭喜获得以下奖励！,0
FACTION_WARE_HOUSE_NOT_ENOUGH,公会仓库储存即将达到上限，请尽快分配仓库物品，以避免损失,0
CHANNEL_FINISH_1,您的互动已经完毕，目前体能为%d，当前活力(%d)不足下一次互动，你可以从养成界面左上角购买更多的活力。,0
CHANNEL_FINISH_2,您的互动已经完毕，目前精神为%d，当前活力(%d)不足下一次互动，你可以从养成界面左上角购买更多的活力。,0
CHANNEL_FINISH_3,您的互动已经完毕，目前智力为%d，当前活力(%d)不足下一次互动，你可以从养成界面左上角购买更多的活力。,0
CHANNEL_FINISH_4,您的互动已经完毕，目前魅力为%d，当前活力(%d)不足下一次互动，你可以从养成界面左上角购买更多的活力。,0
CHANNEL_FINISH_5,您的互动已经完毕，目前品德为%d，当前活力(%d)不足下一次互动，你可以从养成界面左上角购买更多的活力。,0
RESULT_HOME_PAGE_GIFT,我已经在个人主页放置神秘礼物，点赞会有惊喜噢~,0
RESULT_HOME_PAGE_ICON,我的个人主页更新啦，欢迎大家踩踩！,0
NEW_SERVER_FACT_PRIZE,新服冲榜活动:工会排行第%s名，获得以下奖励,0
NEW_SERVER_TOWER_PRIZE,新服冲榜活动:海底逃生排行第%s名，获得以下奖励,0
NEW_SERVER_LEVEL_PRIZE,新服冲榜活动:等级排行第%s名，获得以下奖励,0
NEW_SERVER_CHAMPION_PRIZE,新服冲榜活动:竞技场排行第%s名，获得以下奖励,0
NEW_SERVER_CHARM_PRIZE,新服冲榜活动:魅力排行第%s名，获得以下奖励,0
NEW_SERVER_FORCE_PRIZE,新服冲榜活动:战力排行第%s名，获得以下奖励,0
EASTEREGG_PRIZE,天呐，竟然打败100次怪物都没有掉落幸运之星，请别灰心，小助手为你呈上以下补偿：,0
FACTIONWAR_APPLY_START,公会战报名开始了，已报名的公会请别忘记设置精英赛参战成员！ 详情：公会战-名单-精英赛,0
FEST_CHARM_RANK_PRIZE,恭喜你在合服魅力活动中获得第%s名，以下是排名奖励，请查收!,0
EMPLOY_BE_REJECT,#yellow%s#rf拒绝了你的雇佣申请,0
EMPLOY_APPLY_PASS,#yellow%s#rf同意了你的雇佣申请,0
RESULT_ENPLY_RETIRE,由于你退出了公会，入驻的队伍也自动退出了。,0
FACTIONWAR_SENIORPER,精英赛还有1分钟开始，被选中成员请前往布阵,0
IMMORTAL_LEVEL_UP,恭喜你圣使已升阶，可在更多-圣使进行查看,0
IMMORTAL_TASTE_START_TIME,恭喜你获得圣使30分钟体验时间,0
IMMORTAL_TASTE_OVER_TIME,圣使体验时间已结束，你可以在更多界面里面查看圣使功能介绍,0
TREASURE_ALLOT,你获得了藏宝阁的物品分配,0
FACTIONTASK_FIRST_PRIZE,恭喜你所在的公会取得全服排名第%d名，获得以下奖励,0
TOTALL_BIND_CURRENCY_OVER,彩钻历史总额度已经达到最高上限%s，不能在获得彩钻了,0
FACTIONTASK_FIRST_PRIZE,通过大家的努力，获得了本次工会争霸%s名，以下是发给你奖励。,0
NEW_SERVER_IMMORTALS_PRIZE,新服冲榜活动:圣使排行第%s名，获得以下奖励,0
H5_ATTENTION,谢谢你的关注，这个是给你的关注奖励！,0
H5_DAILY_SHARE,每日分享奖励,0
H5_ATTENTION,平台关注奖励,0
DAILY_ROBBER_ITEM,恭喜你获得每日零点奖励，请领取,0
OPERATE_PRIZE,活动%s过期未领取补发奖励,0
