索引ID,添加叹号的路径,红点检查事件,红点检查参数,手动关闭红点,特效表现（不填默认红点）,描述
11,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/fuben_btn_img"",""CopyMainFrame/bottom_group_root/bottom_group/longwang_check"",""CopyMainFrame/longwang_group/longwang_baotu_group1/longwang_baotu_btn1""",event_copy_dragonprize,"[""type""]=""sixStar"",[""checkLevel""]=20",,,龙王宝藏领奖
12,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/fuben_btn_img"",""CopyMainFrame/bottom_group_root/bottom_group/longwang_check"",""CopyMainFrame/longwang_group/longwang_baotu_group2/longwang_baotu_btn2""",event_copy_dragonprize,"[""type""]=""twelve"",[""checkLevel""]=20",,,龙王宝藏领奖
13,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/fuben_btn_img"",""CopyMainFrame/bottom_group_root/bottom_group/longwang_check"",""CopyMainFrame/longwang_group/longwang_baotu_group3/longwang_baotu_btn3""",event_copy_dragonprize,"[""type""]=""eighteen"",[""checkLevel""]=20",,,龙王宝藏领奖
14,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/fuben_btn_img"",""CopyMainFrame/bottom_group_root/bottom_group/tianting_check""",event_copy_heavenprize,["checkLevel"]=20,,,天庭试练领奖
,,,,,,
100,"""ForgeFrame/group_radio/bottom_group/strengthen"",""MainFrame/bottom_group/scene_group/tab3""",event_forge_qianghua,"[""itemId""] = 1,[""type""] = 1",,,,锻造强化
101,"""ForgeFrame/group_radio/bottom_group/refine"",""MainFrame/bottom_group/scene_group/tab3""",event_forge_jinglian,"[""itemId""] = 60001,[""type""] = 2",,,锻造精炼
102,"""ForgeFrame/group_radio/bottom_group/duanZao"",""MainFrame/bottom_group/scene_group/tab3""",event_forge_duanlian,"[""itemId""] = 60002,[""type""] = 3",,,锻造锻炼
103,"""ForgeFrame/group_radio/bottom_group/baoShi"",""MainFrame/bottom_group/scene_group/tab3""",event_forge_baoshi,"[""itemId""] = 60003,[""type""] = 4",,,锻造宝石
104,"""RoleFrame/group_bottom/group/equips"",""RoleFrame/group_equips/btn_Echange"",""MainFrame/bottom_group/scene_group/tab2""",event_role_equip_tips,,,,角色装备
105,"""RoleFrame/group_bottom/group/equips"",""RoleFrame/group_equips/group_Etop/btn_title"",""RoleFATFrame/container/group/title"",""MainFrame/bottom_group/scene_group/tab2""",event_role_title_tips,"[""type""] = 1",,,角色称号
106,"""RoleFrame/group_bottom/group/equips"",""RoleFrame/group_equips/group_Etop/btn_fashion"",""RoleFATFrame/container/group/fashion"",""MainFrame/bottom_group/scene_group/tab2""",event_role_fashion_tips,"[""type""] = 2",,,角色时装
107,"""RoleFrame/group_bottom/group/equips"",""RoleFrame/group_equips/group_Ebottom/bt_E_levelUp"",""MainFrame/bottom_group/scene_group/tab2""",event_role_upgrade_tips,,,,角色升级
108,"""RoleFrame/group_bottom/group/skills"",""MainFrame/bottom_group/scene_group/tab2""",event_role_skill,,,,角色技能
109,"""XianLvFrame/group_xianLv/upgrade_wnd/btn_up1"",""XianLvFrame/group_xianLv/upgrade_wnd/btn_autoUp1""",event_xianlv_upgrade,,,,仙侣升阶
110,"""XianLvFrame/group_xianLv/up_star_wnd/btn_shengXing""",event_xianlv_upstart,,,,仙侣升星
111,"""XianLvFrame/bottom_group/xianLv"",""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv""",event_xianlv_total_upgrade,,,,仙侣升阶外面的
112,"""XianLvFrame/bottom_group/shengXing"",""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv""",event_xianlv_total_upstart,,,,仙侣升星外面的
113,"""XianLvFrame/group_xianLv/unlock_wnd/group_unlock/btn_jiHuo"",""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv""",event_xianlv_jihuo,,,,仙侣激活
114,"""MainContentFrame/dynamic_richang"",""DailyFrame/bottom_group/tab0""",event_daily_xiangyao,,,,日常降妖
115,"""MainContentFrame/dynamic_richang"",""DailyFrame/bottom_group/tab1""",event_daily_zudui,,,,日常组队
116,"""MainContentFrame/dynamic_richang"",""DailyFrame/bottom_group/tab2""",event_daily_sanbai,,,,日常三百
117,"""MainContentFrame/dynamic_richang"",""DailyFrame/bottom_group/tab3"",""DailyFrame/group_xiYou/btn_upgrade""",event_daily_lilian,,,,日常历练
,,,,,,
200,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/tongling""",event_fun_dan,"[""type""]=8",,,宠物通灵
201,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/shouhun""",event_fun_dan,"[""type""]=9",,,宠物兽魂
202,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/HeroRide""",event_fun_dan,"[""type""]=4",,,角色坐骑
203,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/HeroWing""",event_fun_dan,"[""type""]=5",,,角色翅膀
204,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/XianLvFaZhen""",event_fun_dan,"[""type""]=12",,,仙侣法阵
205,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/XianLvXianWei""",event_fun_dan,"[""type""]=13",,,仙侣仙位
206,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/TianXian""",event_fun_dan,"[""type""]=14",,,天仙
207,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/TianXianWeapon""",event_fun_dan,"[""itemId""]=60040,[""type""]=15",,,天仙神兵
208,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv""",event_fun_dan,"[""type""]=18",,,天女
209,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv""",event_fun_dan,"[""type""]=19",,,天女仙器
210,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv""",event_fun_dan,"[""type""]=20",,,天女花撵
211,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv""",event_fun_dan,"[""type""]=21",,,天女灵气

212,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/tongling""",event_fun_equip,"[""type""]=8",,,宠物通灵
213,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/shouhun""",event_fun_equip,"[""type""]=9",,,宠物兽魂
214,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/HeroRide""",event_fun_equip,"[""type""]=4",,,角色坐骑
215,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/HeroWing""",event_fun_equip,"[""type""]=5",,,角色翅膀
216,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/XianLvFaZhen""",event_fun_equip,"[""itemId""]=60035,[""type""]=12",,,仙侣法阵
217,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/XianLvXianWei""",event_fun_equip,"[""itemId""]=60036,[""type""]=13",,,仙侣仙位
218,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/TianXian""",event_fun_equip,"[""itemId""]=60039,[""type""]=14",,,天仙
219,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/TianXianWeapon""",event_fun_equip,"[""itemId""]=60040,[""type""]=15",,,天仙神兵
220,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv""",event_fun_equip,"[""itemId""]=60041,[""type""]=18",,,天女
221,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv""",event_fun_equip,"[""itemId""]=60042,[""type""]=19",,,天女仙器
222,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv""",event_fun_equip,"[""itemId""]=60043,[""type""]=20",,,天女花撵
223,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv""",event_fun_equip,"[""itemId""]=60044,[""type""]=21",,,天女灵气

224,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/tongling""",event_fun_skill,"[""type""]=8",,,宠物通灵
225,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/shouhun""",event_fun_skill,"[""type""]=9",,,宠物兽魂
226,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/HeroRide""",event_fun_skill,"[""type""]=4",,,角色坐骑
227,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/HeroWing""",event_fun_skill,"[""type""]=5",,,角色翅膀
228,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/XianLvFaZhen""",event_fun_skill,"[""itemId""]=60035,[""type""]=12",,,仙侣法阵
229,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/XianLvXianWei""",event_fun_skill,"[""itemId""]=60036,[""type""]=13",,,仙侣仙位
230,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/TianXian""",event_fun_skill,"[""itemId""]=60039,[""type""]=14",,,天仙
231,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/TianXianWeapon""",event_fun_skill,"[""itemId""]=60040,[""type""]=15",,,天仙神兵
232,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv""",event_fun_skill,"[""itemId""]=60041,[""type""]=18",,,天女
233,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv""",event_fun_skill,"[""itemId""]=60042,[""type""]=19",,,天女仙器
234,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv""",event_fun_skill,"[""itemId""]=60043,[""type""]=20",,,天女花撵
235,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv""",event_fun_skill,"[""itemId""]=60044,[""type""]=21",,,天女灵气

236,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/tongling""",event_fun_upgrade,"[""type""]=8",,,宠物通灵
237,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/shouhun""",event_fun_upgrade,"[""type""]=9",,,宠物兽魂
238,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/HeroRide""",event_fun_upgrade,"[""type""]=4",,,角色坐骑
239,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/HeroWing""",event_fun_upgrade,"[""type""]=5",,,角色翅膀
240,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/XianLvFaZhen""",event_fun_upgrade,"[""itemId""]=60035,[""type""]=12",,,仙侣法阵
241,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/XianLvXianWei""",event_fun_upgrade,"[""itemId""]=60036,[""type""]=13",,,仙侣仙位
242,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/TianXian""",event_fun_upgrade,"[""itemId""]=60039,[""type""]=14",,,天仙
243,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/TianXianWeapon""",event_fun_upgrade,"[""itemId""]=60040,[""type""]=15",,,天仙神兵
244,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv""",event_fun_upgrade,"[""itemId""]=60041,[""type""]=18",,,天女
245,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv""",event_fun_upgrade,"[""itemId""]=60042,[""type""]=19",,,天女仙器
246,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv""",event_fun_upgrade,"[""itemId""]=60043,[""type""]=20",,,天女花撵
247,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv""",event_fun_upgrade,"[""itemId""]=60044,[""type""]=21",,,天女灵气

248,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/tab1"",""PetFrame/upgrade_group/active_exp_wnd/upgrade_btn"",""PetFrame/upgrade_group/active_exp_wnd/auto_upgrade_btn""",event_pet_upgrade,,,,宠物升级
249,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/tab1""",event_pet_embattle,,,,宠物布阵

300,"""WelfareFrame/wealfare_list/btn_scroll/btn_scroll_group/group0/group0group""",event_welfare_sign,,,,福利大厅-签到奖励
301,"""WelfareFrame/group_tab1/btn_sign_get""",event_welfare_sign_gift,,,,签到奖励礼包
302,"""WelfareFrame/wealfare_list/btn_scroll/btn_scroll_group/group1/group1group""",event_welfare_level,,,,福利大厅-等级奖励
303,"""WelfareFrame/wealfare_list/btn_scroll/btn_scroll_group/group2/group2group"",""WelfareFrame/btn_month_card""",event_welfare_month_card,,,,福利大厅-月卡
304,"""WelfareFrame/wealfare_list/btn_scroll/btn_scroll_group/group3/group3group"",""WelfareFrame/group_tab4/week_card_btn""",event_welfare_week_card,,,,福利大厅-周卡
305,"""MainCityFrame/group_actList/dynamicButotn7"",""DailyPayFrame/btn_pay""",event_meiri_pay,,,,每日充值
306,"""MainCityFrame/group_actList/dynamicButotn101""",event_welfare,,,,福利大厅
307,"""MainCityFrame/group_actList/dynamicButotn102""",event_always_show,,"[""show""]=""LuckyFrame"", [""times""]=1",,幸运转盘
308,"""MainCityFrame/group_actList/dynamicButotn27"",""TodayGiftsFrame/btn_pay""",event_meiri_haoli,,,,每日豪礼
309,"""WelfareFrame/wealfare_list/btn_scroll/btn_scroll_group/group4/group4group""",event_welfare_welfare,,,,福利大厅-福利
