##关卡ID,名称,boss图,xml提示,索引名称,关卡等级,关卡集合序号,章节名称,章节索引名称,背景地图,地图,X坐标,Y坐标,战斗地图,战斗地图X,战斗地图Y,"引导性检查（{""appointLevel"", 20}/{""equipCheck""}/{""awakeCheck"", 20}）",标题（用于文字简介）,"偏移（{x, y, x1, x2, w}）",品质基数 100白色101蓝色102金色105传奇,"三星奖励（{物品entryId, 数量, 品质}",基础奖励,"可能奖励（1为金钱,2为元宝,3为装备,若为普通物品则直接以字符串格式填写物品的id：""10001""）",消耗体力,地图名,遇多少次怪,关联任务ID,关联开启功能信息索引,战斗中表演的电影的索引（文件名）,怪物库,敌营战力,下一关卡,战败提示,轨迹点,显示条件
Id_kn,name_s,bossImage_n,namexml_s,indexName_s,camLevel,chapterId_n,chapterName_s,chapterIndexName_s,bgImage_s,mapId_n,x_n,y_n,fightMap_n,fightMapX_n,fightMapY_n,guideCheck_t,title_s,offset_t,base_t,starItem_t,basePrize_t,prize_t,consume_n,map_c,autoFightNum_n,taskId_n,funcIndex_s,movieName_s,enemy_t,fighting_n,next_n,lostTips_s,spot_t,open_c
1011,凌霄宝殿1_1,110006,,1_1,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,[10]=101110,,12,,,
1012,凌霄宝殿1_2,110001,,1_2,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,[10]=101210,,13,,,
1013,凌霄宝殿1_3,100032,,1_3,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,"[3]=101303,[4]=101304,[9]=101309,[10]=101310,[11]=101311",,14,,,
1014,凌霄宝殿1_4,110006,,1_4,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,[10]=101410,,15,,,
1015,凌霄宝殿1_5,100034,,1_5,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,"[3]=101503,[4]=101504,[9]=101509,[10]=101510,[11]=101511",,16,,,
1016,凌霄宝殿1_6,100032,,1_6,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,"[3]=101603,[4]=101604,[9]=101609,[10]=101610,[11]=101611",,17,,,
1017,凌霄宝殿1_7,100034,,1_7,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,"[3]=101703,[4]=101704,[9]=101709,[10]=101710,[11]=101711",,18,,,
1018,凌霄宝殿1_8,100030,,1_8,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,"[3]=101803,[4]=101804,[9]=101809,[10]=101810,[11]=101811",,19,,,
1019,凌霄宝殿1_9,20002,,1_9,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,"[3]=101903,[4]=101904,[9]=101909,[10]=101910,[11]=101911",,20,,,
1020,凌霄宝殿1_10,100030,,1_10,0,1002,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,"[3]=102003,[4]=102004,[9]=102009,[10]=102010,[11]=102011",,21,,,
1021,凌霄宝殿2_1,100032,,2_1,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,"[3]=102103,[4]=102104,[9]=102109,[10]=102110,[11]=102111",,22,,,
1022,凌霄宝殿2_2,120043,,2_2,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,"[3]=102203,[4]=102204,[9]=102209,[10]=102210,[11]=102211",,23,,,
1023,凌霄宝殿2_3,110001,,2_3,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,[10]=102310,,24,,,
1024,凌霄宝殿2_4,110006,,2_4,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,[10]=102410,,25,,,
1025,凌霄宝殿2_5,100032,,2_5,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,"[3]=102503,[4]=102504,[9]=102509,[10]=102510,[11]=102511",,26,,,
1026,凌霄宝殿2_6,20006,,2_6,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,"[3]=102603,[4]=102604,[9]=102609,[10]=102610,[11]=102611",,27,,,
1027,凌霄宝殿2_7,100032,,2_7,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,"[3]=102703,[4]=102704,[9]=102709,[10]=102710,[11]=102711",,28,,,
1028,凌霄宝殿2_8,20002,,2_8,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,"[3]=102803,[4]=102804,[9]=102809,[10]=102810,[11]=102811",,29,,,
1029,凌霄宝殿2_9,110003,,2_9,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,[10]=102910,,30,,,
1030,凌霄宝殿2_10,120043,,2_10,0,1003,凌霄宝殿,,,50009,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,凌霄宝殿,2,,,,"[3]=103003,[4]=103004,[9]=103009,[10]=103010,[11]=103011",,31,,,
1031,阴曹地府1_1,110003,,1_1,0,1004,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,[10]=103110,,32,,,
1032,阴曹地府1_2,110004,,1_2,0,1004,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,[10]=103210,,33,,,
1033,阴曹地府1_3,20011,,1_3,0,1004,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[3]=103303,[4]=103304,[5]=103305,[9]=103309,[10]=103310,[11]=103311",,34,,,
1034,阴曹地府1_4,100033,,1_4,0,1004,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[3]=103403,[4]=103404,[5]=103405,[9]=103409,[10]=103410,[11]=103411",,35,,,
1035,阴曹地府1_5,100034,,1_5,0,1004,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[3]=103503,[4]=103504,[5]=103505,[9]=103509,[10]=103510,[11]=103511",,36,,,
1036,阴曹地府1_6,110001,,1_6,0,1004,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,[10]=103610,,37,,,
1037,阴曹地府1_7,100034,,1_7,0,1004,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[3]=103703,[4]=103704,[5]=103705,[9]=103709,[10]=103710,[11]=103711",,38,,,
1038,阴曹地府1_8,110003,,1_8,0,1004,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,[10]=103810,,39,,,
1039,阴曹地府1_9,120043,,1_9,0,1004,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[3]=103903,[4]=103904,[5]=103905,[9]=103909,[10]=103910,[11]=103911",,40,,,
1040,阴曹地府1_10,20010,,1_10,0,1004,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[3]=104003,[4]=104004,[5]=104005,[9]=104009,[10]=104010,[11]=104011",,41,,,
1041,阴曹地府2_1,20002,,2_1,0,1005,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[2]=104102,[3]=104103,[4]=104104,[5]=104105,[6]=104106,[9]=104109,[10]=104110,[11]=104111",,42,,,
1042,阴曹地府2_2,20001,,2_2,0,1005,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[2]=104202,[3]=104203,[4]=104204,[5]=104205,[6]=104206,[9]=104209,[10]=104210,[11]=104211",,43,,,
1043,阴曹地府2_3,110002,,2_3,0,1005,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,[10]=104310,,44,,,
1044,阴曹地府2_4,20010,,2_4,0,1005,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[2]=104402,[3]=104403,[4]=104404,[5]=104405,[6]=104406,[9]=104409,[10]=104410,[11]=104411",,45,,,
1045,阴曹地府2_5,20006,,2_5,0,1005,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[2]=104502,[3]=104503,[4]=104504,[5]=104505,[6]=104506,[9]=104509,[10]=104510,[11]=104511",,46,,,
1046,阴曹地府2_6,20011,,2_6,0,1005,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[2]=104602,[3]=104603,[4]=104604,[5]=104605,[6]=104606,[9]=104609,[10]=104610,[11]=104611",,47,,,
1047,阴曹地府2_7,100031,,2_7,0,1005,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[2]=104702,[3]=104703,[4]=104704,[5]=104705,[6]=104706,[9]=104709,[10]=104710,[11]=104711",,48,,,
1048,阴曹地府2_8,20006,,2_8,0,1005,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[2]=104802,[3]=104803,[4]=104804,[5]=104805,[6]=104806,[9]=104809,[10]=104810,[11]=104811",,49,,,
1049,阴曹地府2_9,100033,,2_9,0,1005,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[2]=104902,[3]=104903,[4]=104904,[5]=104905,[6]=104906,[9]=104909,[10]=104910,[11]=104911",,50,,,
1050,阴曹地府2_10,110002,,2_10,0,1005,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,[10]=105010,,51,,,
1051,阴曹地府3_1,20002,,3_1,0,1006,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[2]=105102,[3]=105103,[4]=105104,[5]=105105,[6]=105106,[9]=105109,[10]=105110,[11]=105111",,52,,,
1052,阴曹地府3_2,110001,,3_2,0,1006,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,[10]=105210,,53,,,
1053,阴曹地府3_3,20007,,3_3,0,1006,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[2]=105302,[3]=105303,[4]=105304,[5]=105305,[6]=105306,[9]=105309,[10]=105310,[11]=105311",,54,,,
1054,阴曹地府3_4,110006,,3_4,0,1006,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,[10]=105410,,55,,,
1055,阴曹地府3_5,20002,,3_5,0,1006,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[2]=105502,[3]=105503,[4]=105504,[5]=105505,[6]=105506,[9]=105509,[10]=105510,[11]=105511",,56,,,
1056,阴曹地府3_6,20010,,3_6,0,1006,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[2]=105602,[3]=105603,[4]=105604,[5]=105605,[6]=105606,[9]=105609,[10]=105610,[11]=105611",,57,,,
1057,阴曹地府3_7,100033,,3_7,0,1006,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[2]=105702,[3]=105703,[4]=105704,[5]=105705,[6]=105706,[9]=105709,[10]=105710,[11]=105711",,58,,,
1058,阴曹地府3_8,110006,,3_8,0,1006,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,[10]=105810,,59,,,
1059,阴曹地府3_9,100031,,3_9,0,1006,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[2]=105902,[3]=105903,[4]=105904,[5]=105905,[6]=105906,[9]=105909,[10]=105910,[11]=105911",,60,,,
1060,阴曹地府3_10,20006,,3_10,0,1006,阴曹地府,,,50023,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,阴曹地府,3,,,,"[2]=106002,[3]=106003,[4]=106004,[5]=106005,[6]=106006,[9]=106009,[10]=106010,[11]=106011",,61,,,
1061,长安城1_1,20010,,1_1,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,"[2]=106102,[3]=106103,[4]=106104,[5]=106105,[6]=106106,[8]=106108,[9]=106109,[10]=106110,[11]=106111,[12]=106112",,62,,,
1062,长安城1_2,100032,,1_2,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,"[2]=106202,[3]=106203,[4]=106204,[5]=106205,[6]=106206,[8]=106208,[9]=106209,[10]=106210,[11]=106211,[12]=106212",,63,,,
1063,长安城1_3,110002,,1_3,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,[10]=106310,,64,,,
1064,长安城1_4,110002,,1_4,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,[10]=106410,,65,,,
1065,长安城1_5,20007,,1_5,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,"[2]=106502,[3]=106503,[4]=106504,[5]=106505,[6]=106506,[8]=106508,[9]=106509,[10]=106510,[11]=106511,[12]=106512",,66,,,
1066,长安城1_6,20010,,1_6,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,"[2]=106602,[3]=106603,[4]=106604,[5]=106605,[6]=106606,[8]=106608,[9]=106609,[10]=106610,[11]=106611,[12]=106612",,67,,,
1067,长安城1_7,120043,,1_7,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,"[2]=106702,[3]=106703,[4]=106704,[5]=106705,[6]=106706,[8]=106708,[9]=106709,[10]=106710,[11]=106711,[12]=106712",,68,,,
1068,长安城1_8,100031,,1_8,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,"[2]=106802,[3]=106803,[4]=106804,[5]=106805,[6]=106806,[8]=106808,[9]=106809,[10]=106810,[11]=106811,[12]=106812",,69,,,
1069,长安城1_9,100031,,1_9,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,"[2]=106902,[3]=106903,[4]=106904,[5]=106905,[6]=106906,[8]=106908,[9]=106909,[10]=106910,[11]=106911,[12]=106912",,70,,,
1070,长安城1_10,110001,,1_10,0,1007,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,[10]=107010,,71,,,
1071,长安城2_1,100030,,2_1,0,1008,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,"[2]=107102,[3]=107103,[4]=107104,[5]=107105,[6]=107106,[8]=107108,[9]=107109,[10]=107110,[11]=107111,[12]=107112",,72,,,
1072,长安城2_2,20005,,2_2,0,1008,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,"[2]=107202,[3]=107203,[4]=107204,[5]=107205,[6]=107206,[8]=107208,[9]=107209,[10]=107210,[11]=107211,[12]=107212",,73,,,
1073,长安城2_3,20007,,2_3,0,1008,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,"[2]=107302,[3]=107303,[4]=107304,[5]=107305,[6]=107306,[8]=107308,[9]=107309,[10]=107310,[11]=107311,[12]=107312",,74,,,
1074,长安城2_4,20005,,2_4,0,1008,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,"[2]=107402,[3]=107403,[4]=107404,[5]=107405,[6]=107406,[8]=107408,[9]=107409,[10]=107410,[11]=107411,[12]=107412",,75,,,
1075,长安城2_5,100033,,2_5,0,1008,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,"[2]=107502,[3]=107503,[4]=107504,[5]=107505,[6]=107506,[8]=107508,[9]=107509,[10]=107510,[11]=107511,[12]=107512",,76,,,
1076,长安城2_6,110002,,2_6,0,1008,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,[10]=107610,,77,,,
1077,长安城2_7,110001,,2_7,0,1008,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,[10]=107710,,78,,,
1078,长安城2_8,20001,,2_8,0,1008,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,"[2]=107802,[3]=107803,[4]=107804,[5]=107805,[6]=107806,[8]=107808,[9]=107809,[10]=107810,[11]=107811,[12]=107812",,79,,,
1079,长安城2_9,20010,,2_9,0,1008,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,"[2]=107902,[3]=107903,[4]=107904,[5]=107905,[6]=107906,[8]=107908,[9]=107909,[10]=107910,[11]=107911,[12]=107912",,80,,,
1080,长安城2_10,110001,,2_10,0,1008,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,[10]=108010,,81,,,
1081,长安城3_1,110005,,3_1,0,1009,长安城,,,50024,,,,,,,,,,,"{""bindRmb"",1},{""exp"",1},{""funds"",1},{""blueEquip"",1},{""purpleEquip"",1},","1,",0,长安城,3,,,,[10]=108110,,82,,,
