,名称,模型,难度系数,等级,生命上限,面板物理攻击,防御,出手速度,暴击值,抗暴值,爆伤加成,闪避值,命中值,无视防御,减免无视,暴伤减免,伤害增加,伤害减少,PVP伤加,PVP伤减,PVE伤加,PVE伤减,技能列表,技能队列,头目,普通技能ID
101903,白熊精,100008,0,10,59,471,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
101904,古树精,100013,0,10,59,471,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80013,"0,0,0,0",0,80013
101909,硬壳龟,100027,0,10,59,471,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80027,"0,0,0,0",0,80027
101910,剑侠兔,20002,0,10,747,785,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,50002,"0,0,0,0",1,50002
101911,林妖,100014,0,10,59,471,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80014,"0,0,0,0",0,80014
102003,古树精,100013,0,10,125,985,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80013,"0,0,0,0",0,80013
102004,瞌睡蛇,100020,0,10,125,985,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80020,"0,0,0,0",0,80020
102009,蛮牛,100006,0,10,125,985,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80006,"0,0,0,0",0,80006
102010,宠物剑邪,100030,0,10,1563,1642,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80030,"0,0,0,0",1,80030
102011,剑魂,100012,0,10,125,985,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80012,"0,0,0,0",0,80012
102103,强盗,100002,0,10,123,970,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80002,"0,0,0,0",0,80002
102104,剑魂,100012,0,10,123,970,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80012,"0,0,0,0",0,80012
102109,蝶精灵,100010,0,10,123,970,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80010,"0,0,0,0",0,80010
102110,逸琼玄女,100032,0,10,1539,1616,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80032,"0,0,0,0",1,80032
102111,魔爪花,100025,0,10,123,970,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80025,"0,0,0,0",0,80025
102203,冰火螳螂,100016,0,10,140,1108,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80016,"0,0,0,0",0,80016
102204,冰火螳螂,100016,0,10,140,1108,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80016,"0,0,0,0",0,80016
102209,冰火螳螂,100016,0,10,140,1108,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80016,"0,0,0,0",0,80016
102210,地域三头犬,20008,0,10,1758,1846,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80035,"0,0,0,0",1,80035
102211,利刃猿,100028,0,10,140,1108,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80028,"0,0,0,0",0,80028
102310,靡籁,100036,0,10,1922,5200,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80036,"0,0,0,0",1,80036
102410,魑,100041,0,10,1994,5395,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80041,"0,0,0,0",1,80041
102503,五毒蝎,100021,0,10,147,1162,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80021,"0,0,0,0",0,80021
102504,石狮,100007,0,10,147,1162,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80007,"0,0,0,0",0,80007
102509,白熊精,100008,0,10,147,1162,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
102510,逸琼玄女,100032,0,10,1844,1937,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80032,"0,0,0,0",1,80032
102511,冰火螳螂,100016,0,10,147,1162,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80016,"0,0,0,0",0,80016
102603,小僵尸,100019,0,10,148,1170,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80019,"0,0,0,0",0,80019
102604,异面怪,100009,0,10,148,1170,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80009,"0,0,0,0",0,80009
102609,寒霜狼,100011,0,10,148,1170,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80011,"0,0,0,0",0,80011
102610,剑齿虎,20006,0,10,1857,1950,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,50004,"0,0,0,0",1,50004
102611,硬壳龟,100027,0,10,148,1170,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80027,"0,0,0,0",0,80027
102703,小骷髅,100003,0,10,129,1020,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80003,"0,0,0,0",0,80003
102704,小骷髅,100003,0,10,129,1020,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80003,"0,0,0,0",0,80003
102709,剑魂,100012,0,10,129,1020,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80012,"0,0,0,0",0,80012
102710,逸琼玄女,100032,0,10,1618,1699,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80032,"0,0,0,0",1,80032
102711,蝶精灵,100010,0,10,129,1020,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80010,"0,0,0,0",0,80010
102803,异面怪,100009,0,10,119,937,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80009,"0,0,0,0",0,80009
102804,瞌睡蛇,100020,0,10,119,937,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80020,"0,0,0,0",0,80020
102809,魔爪花,100025,0,10,119,937,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80025,"0,0,0,0",0,80025
102810,剑侠兔,20002,0,10,1487,1561,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,50002,"0,0,0,0",1,50002
102811,巫龟,100022,0,10,119,937,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80022,"0,0,0,0",0,80022
102910,穷奇,100038,0,10,2006,5427,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80038,"0,0,0,0",1,80038
103003,林妖,100014,0,10,200,1575,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80014,"0,0,0,0",0,80014
103004,小僵尸,100019,0,10,200,1575,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80019,"0,0,0,0",0,80019
103009,灵猴,100023,0,10,200,1575,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80023,"0,0,0,0",0,80023
103010,地域三头犬,20008,0,10,2500,2625,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80035,"0,0,0,0",1,80035
103011,林妖,100014,0,10,200,1575,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80014,"0,0,0,0",0,80014
103110,穷奇,100038,0,20,3850,11550,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80038,"0,0,0,0",1,80038
103210,深渊之龙,100039,0,20,3864,11592,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80039,"0,0,0,0",1,80039
103303,五毒蝎,100021,0,20,221,1745,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80021,"0,0,0,0",0,80021
103304,林妖,100014,0,20,221,1745,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80014,"0,0,0,0",0,80014
103305,蝶精灵,100010,0,20,221,1745,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80010,"0,0,0,0",0,80010
103309,五毒蝎,100021,0,20,221,1745,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80021,"0,0,0,0",0,80021
103310,忠勇兔,20011,0,20,2770,2909,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,50007,"0,0,0,0",1,50007
103311,白熊精,100008,0,20,221,1745,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
103403,木鱼怪,100026,0,20,222,1751,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80026,"0,0,0,0",0,80026
103404,石巨人,100024,0,20,222,1751,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80024,"0,0,0,0",0,80024
103405,冰火螳螂,100016,0,20,222,1751,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80016,"0,0,0,0",0,80016
103409,利刃猿,100028,0,20,222,1751,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80028,"0,0,0,0",0,80028
103410,玉冥真人,100033,0,20,2780,2919,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80033,"0,0,0,0",1,80033
103411,冰火螳螂,100016,0,20,222,1751,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80016,"0,0,0,0",0,80016
103503,林妖,100014,0,20,223,1758,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80014,"0,0,0,0",0,80014
103504,瞌睡蛇,100020,0,20,223,1758,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80020,"0,0,0,0",0,80020
103505,小乌龟,100001,0,20,223,1758,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80001,"0,0,0,0",0,80001
103509,灵猴,100023,0,20,223,1758,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80023,"0,0,0,0",0,80023
103510,云中子,100034,0,20,2790,2930,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80034,"0,0,0,0",1,80034
103511,五毒蝎,100021,0,20,223,1758,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80021,"0,0,0,0",0,80021
103610,靡籁,100036,0,20,3920,11760,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80036,"0,0,0,0",1,80036
103703,异面怪,100009,0,20,224,1770,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80009,"0,0,0,0",0,80009
103704,异面怪,100009,0,20,224,1770,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80009,"0,0,0,0",0,80009
103705,白熊精,100008,0,20,224,1770,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
103709,炎魔,100017,0,20,224,1770,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80017,"0,0,0,0",0,80017
103710,云中子,100034,0,20,2810,2951,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80034,"0,0,0,0",1,80034
103711,蛮牛,100006,0,20,224,1770,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80006,"0,0,0,0",0,80006
103810,穷奇,100038,0,20,3948,11844,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80038,"0,0,0,0",1,80038
103903,石狮,100007,0,20,226,1783,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80007,"0,0,0,0",0,80007
103904,小乌龟,100001,0,20,226,1783,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80001,"0,0,0,0",0,80001
103905,魔爪花,100025,0,20,226,1783,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80025,"0,0,0,0",0,80025
103909,山精,100029,0,20,226,1783,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80029,"0,0,0,0",0,80029
103910,地域三头犬,20008,0,20,2830,2972,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80035,"0,0,0,0",1,80035
103911,小僵尸,100019,0,20,226,1783,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80019,"0,0,0,0",0,80019
104003,麟鹿,100015,0,20,242,1909,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80015,"0,0,0,0",0,80015
104004,冰火螳螂,100016,0,20,242,1909,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80016,"0,0,0,0",0,80016
104005,麟鹿,100015,0,20,242,1909,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80015,"0,0,0,0",0,80015
104009,木鱼怪,100026,0,20,242,1909,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80026,"0,0,0,0",0,80026
104010,黑水玄蛇,20010,0,20,3030,3182,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,50006,"0,0,0,0",1,50006
104011,巫龟,100022,0,20,242,1909,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80022,"0,0,0,0",0,80022
104102,跳跳鼠,100004,0,20,258,2035,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80004,"0,0,0,0",0,80004
104103,异面怪,100009,0,20,258,2035,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80009,"0,0,0,0",0,80009
104104,蝶精灵,100010,0,20,258,2035,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80010,"0,0,0,0",0,80010
104105,小僵尸,100019,0,20,258,2035,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80019,"0,0,0,0",0,80019
104106,林妖,100014,0,20,258,2035,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80014,"0,0,0,0",0,80014
104109,寒霜狼,100011,0,20,258,2035,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80011,"0,0,0,0",0,80011
104110,剑侠兔,20002,0,20,3230,3392,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,50002,"0,0,0,0",1,50002
104111,强盗,100002,0,20,258,2035,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80002,"0,0,0,0",0,80002
104202,冰火螳螂,100016,0,20,274,2161,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80016,"0,0,0,0",0,80016
104203,寒霜狼,100011,0,20,274,2161,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80011,"0,0,0,0",0,80011
104204,巫龟,100022,0,20,274,2161,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80022,"0,0,0,0",0,80022
104205,石狮,100007,0,20,274,2161,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80007,"0,0,0,0",0,80007
104206,瞌睡蛇,100020,0,20,274,2161,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80020,"0,0,0,0",0,80020
104209,蝶精灵,100010,0,20,274,2161,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80010,"0,0,0,0",0,80010
104210,鲛人,20001,0,20,3430,3602,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,50001,"0,0,0,0",1,50001
104211,蛮牛,100006,0,20,274,2161,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80006,"0,0,0,0",0,80006
104310,混沌,100037,0,20,5662,19820,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80037,"0,0,0,0",1,80037
104402,山精,100029,0,20,306,2413,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80029,"0,0,0,0",0,80029
104403,硬壳龟,100027,0,20,306,2413,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80027,"0,0,0,0",0,80027
104404,硬壳龟,100027,0,20,306,2413,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80027,"0,0,0,0",0,80027
104405,小僵尸,100019,0,20,306,2413,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80019,"0,0,0,0",0,80019
104406,麟鹿,100015,0,20,306,2413,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80015,"0,0,0,0",0,80015
104409,小乌龟,100001,0,20,306,2413,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80001,"0,0,0,0",0,80001
104410,黑水玄蛇,20010,0,20,3830,4022,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,50006,"0,0,0,0",1,50006
104411,小骷髅,100003,0,20,306,2413,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80003,"0,0,0,0",0,80003
104502,小僵尸,100019,0,20,322,2539,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80019,"0,0,0,0",0,80019
104503,瞌睡蛇,100020,0,20,322,2539,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80020,"0,0,0,0",0,80020
104504,蛮牛,100006,0,20,322,2539,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80006,"0,0,0,0",0,80006
104505,小乌龟,100001,0,20,322,2539,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80001,"0,0,0,0",0,80001
104506,异面怪,100009,0,20,322,2539,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80009,"0,0,0,0",0,80009
104509,麟鹿,100015,0,20,322,2539,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80015,"0,0,0,0",0,80015
104510,剑齿虎,20006,0,20,4030,4232,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,50004,"0,0,0,0",1,50004
104511,冰火螳螂,100016,0,20,322,2539,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80016,"0,0,0,0",0,80016
104602,寒霜狼,100011,0,20,338,2665,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80011,"0,0,0,0",0,80011
104603,硬壳龟,100027,0,20,338,2665,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80027,"0,0,0,0",0,80027
104604,蛮牛,100006,0,20,338,2665,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80006,"0,0,0,0",0,80006
104605,硬壳龟,100027,0,20,338,2665,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80027,"0,0,0,0",0,80027
104606,石狮,100007,0,20,338,2665,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80007,"0,0,0,0",0,80007
104609,巫龟,100022,0,20,338,2665,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80022,"0,0,0,0",0,80022
104610,忠勇兔,20011,0,20,4230,4442,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,50007,"0,0,0,0",1,50007
104611,瞌睡蛇,100020,0,20,338,2665,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80020,"0,0,0,0",0,80020
104702,剑魂,100012,0,20,354,2791,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80012,"0,0,0,0",0,80012
104703,白熊精,100008,0,20,354,2791,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
104704,寒霜狼,100011,0,20,354,2791,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80011,"0,0,0,0",0,80011
104705,蝶精灵,100010,0,20,354,2791,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80010,"0,0,0,0",0,80010
104706,冰火螳螂,100016,0,20,354,2791,0,1,10,0,1.2,5,10000,0,0,0,0,0,0,0,0,0,80016,"0,0,0,0",0,80016
