#Id,名字,特效ID,模型ID,模型ID2(性别女模型),坐骑模型偏移高度,称号(仙位)
ID_kn,name_c,effectId_n,model_n,model2_n,offy_n,image_s
50010,TianXian,,50010,,,
60001,TianXianWeapon,600001,,,,
60002,TianXianWeapon,600002,,,,
60003,TianXianWeapon,600003,,,,
60004,TianXianWeapon,600004,,,,
60005,TianXianWeapon,600005,,,,
60006,TianXianWeapon,600006,,,,
60007,TianXianWeapon,600007,,,,
60008,TianXianWeapon,600008,,,,
60009,TianXianWeapon,600009,,,,
60010,TianXianWeapon,600010,,,,
70001,TianNv,,70001,,,
70002,TianNv,,70002,,,
80001,Hero,,,,,chengHao_icon09
80002,Hero,,,,,chengHao_icon01
80003,Hero,,,,,chengHao_icon02
80004,Hero,,,,,chengHao_icon10
80005,Hero,,,,,chengHao_icon11
80006,Hero,,,,,chengHao_icon03
80007,Hero,,,,,chengHao_icon12
80008,Hero,,,,,chengHao_icon04
80009,Hero,,,,,chengHao_icon05
80010,Hero,,,,,chengHao_icon18
80011,Hero,,,,,chengHao_icon06
80012,Hero,,,,,chengHao_icon13
80013,Hero,,,,,chengHao_icon07
80014,Hero,,,,,chengHao_icon19
80015,Hero,,,,,chengHao_icon24
80016,Hero,,,,,chengHao_icon14
80017,Hero,,,,,chengHao_icon20
80018,Hero,,,,,chengHao_icon15
80019,Hero,,,,,chengHao_icon28
80020,Hero,,,,,chengHao_icon08
80021,Hero,,,,,chengHao_icon21
80022,Hero,,,,,chengHao_icon25
80023,Hero,,,,,chengHao_icon27
80024,Hero,,,,,chengHao_icon16
80025,Hero,,,,,chengHao_icon22
80026,Hero,,,,,chengHao_icon29
80027,Hero,,,,,chengHao_icon30
80028,Hero,,,,,chengHao_icon17
80029,Hero,,,,,chengHao_icon26
80030,Hero,,,,,chengHao_icon23
80031,Hero,,,,,chengHao_icon31
80032,Hero,,,,,chengHao_icon32
80033,Hero,,,,,chengHao_icon33
90001,HeroEquip,,90007,91007,,
90002,HeroEquip,,90008,91008,,
90003,HeroEquip,,90009,91009,,
90004,HeroEquip,,90010,91010,,
90005,HeroEquip,,90011,91011,,
90006,HeroEquip,,90012,91012,,
90007,HeroEquip,,90013,91013,,
90008,HeroEquip,,90014,91014,,
