命令,索引从1开始按顺序来,子命令,d
defend,2,@give me item 40184 c100,0
defend,3,@give me item 40185 c100,0
defend,4,@give me item 40186 c100,0
defend,5,@give me item 40187 c100,0
defend,6,@give me item 40188 c100,0
defend,7,@give me item 40189 c100,0
defend,8,@give me item 40190 c100,0
defend,9,@give me item 40191 c100,0
defend,10,@give me item 40192 c100,0
defend,11,@give me item 40193 c100,0
defend,12,@give me item 40194 c100,0
defend,13,@give me item 40195 c100,0
defend,14,@give me item 70008 c200,0
defend,15,@give me item 40001 c300,0
itemstone,1,@give me item 60005 c50,0
itemstone,2,@give me item 60006 c20,0
itemstone,3,@give me item 60007 c20,0
itemstone,4,@give me item 60011 c100,0
itemstone,5,@give me item 60012 c100,0
itemstone,6,@give me item 60021 c100,0
itemstone,7,@give me item 60022 c100,0
itemstone,8,@give me item 60029 c100,0
itemstone,9,@give me item 60030 c100,0
itemstone,10,@give me item 60031 c100,0
itemstone,11,@give me item 60041 c200,0
itemstone,12,@give me item 60051 c300,0
itemstone,13,@give me item 60061 c30,0
itemstone,14,@give me item 60071 c40,0
itemstone,15,@give me item 60081 c50,0
vocunlock,1,@give me item 21001 c50,0
vocunlock,2,@give me item 20050 c50,0
vocunlock,3,@give me item 21012 c50,0
vocunlock,4,@give me item 21003 c50,0
vocunlock,5,@give me item 21010 c50,0
vocunlock,6,@give me item 21014 c50,0
vocunlock,7,@give me item 20038 c50,0
vocunlock,8,@give me item 20101 c50,0
vocunlock,9,@give me item 20039 c50,0
vocunlock,10,@give me item 21014 c50,0
vocunlock,11,@give me item 21008 c50,0
vocunlock,12,@set me kiss 100,0
vocunlock,13,@grow me setgrow 0 100|100|100|100|100,0
