entryId,名称,模型,类型(-1，分身半透明；-2，头顶；-3不透明),宠物半身像,怪物帮手提示对白,发招对白
102804,瞌睡蛇,100020,,100020,,
102809,魔爪花,100025,,100025,,
102810,剑侠兔,20002,,20002,,
102811,巫龟,100022,,100022,,
102910,穷奇,100038,,100038,,
103003,林妖,100014,,100014,,
103004,小僵尸,100019,,100019,,
103009,灵猴,100023,,100023,,
103010,地域三头犬,20008,,20008,,
103011,林妖,100014,,100014,,
103110,穷奇,100038,,100038,,
103210,深渊之龙,100039,,100039,,
103303,五毒蝎,100021,,100021,,
103304,林妖,100014,,100014,,
103305,蝶精灵,100010,,100010,,
103309,五毒蝎,100021,,100021,,
103310,忠勇兔,20011,,20011,,
103311,白熊精,100008,,100008,,
103403,木鱼怪,100026,,100026,,
103404,石巨人,100024,,100024,,
103405,冰火螳螂,100016,,100016,,
103409,利刃猿,100028,,100028,,
103410,玉冥真人,100033,,100033,,
103411,冰火螳螂,100016,,100016,,
103503,林妖,100014,,100014,,
103504,瞌睡蛇,100020,,100020,,
103505,小乌龟,100001,,100001,,
103509,灵猴,100023,,100023,,
103510,云中子,100034,,100034,,
103511,五毒蝎,100021,,100021,,
103610,靡籁,100036,,100036,,
103703,异面怪,100009,,100009,,
103704,异面怪,100009,,100009,,
103705,白熊精,100008,,100008,,
103709,炎魔,100017,,100017,,
103710,云中子,100034,,100034,,
103711,蛮牛,100006,,100006,,
103810,穷奇,100038,,100038,,
103903,石狮,100007,,100007,,
103904,小乌龟,100001,,100001,,
103905,魔爪花,100025,,100025,,
103909,山精,100029,,100029,,
103910,地域三头犬,20008,,20008,,
103911,小僵尸,100019,,100019,,
104003,麟鹿,100015,,100015,,
104004,冰火螳螂,100016,,100016,,
104005,麟鹿,100015,,100015,,
104009,木鱼怪,100026,,100026,,
104010,黑水玄蛇,20010,,20010,,
104011,巫龟,100022,,100022,,
104102,跳跳鼠,100004,,100004,,
104103,异面怪,100009,,100009,,
104104,蝶精灵,100010,,100010,,
104105,小僵尸,100019,,100019,,
104106,林妖,100014,,100014,,
104109,寒霜狼,100011,,100011,,
104110,剑侠兔,20002,,20002,,
104111,强盗,100002,,100002,,
104202,冰火螳螂,100016,,100016,,
104203,寒霜狼,100011,,100011,,
104204,巫龟,100022,,100022,,
104205,石狮,100007,,100007,,
104206,瞌睡蛇,100020,,100020,,
104209,蝶精灵,100010,,100010,,
104210,鲛人,20001,,20001,,
104211,蛮牛,100006,,100006,,
104310,混沌,100037,,100037,,
104402,山精,100029,,100029,,
104403,硬壳龟,100027,,100027,,
104404,硬壳龟,100027,,100027,,
104405,小僵尸,100019,,100019,,
104406,麟鹿,100015,,100015,,
104409,小乌龟,100001,,100001,,
104410,黑水玄蛇,20010,,20010,,
104411,小骷髅,100003,,100003,,
104502,小僵尸,100019,,100019,,
104503,瞌睡蛇,100020,,100020,,
104504,蛮牛,100006,,100006,,
104505,小乌龟,100001,,100001,,
104506,异面怪,100009,,100009,,
104509,麟鹿,100015,,100015,,
104510,剑齿虎,20006,,20006,,
104511,冰火螳螂,100016,,100016,,
104602,寒霜狼,100011,,100011,,
104603,硬壳龟,100027,,100027,,
104604,蛮牛,100006,,100006,,
104605,硬壳龟,100027,,100027,,
104606,石狮,100007,,100007,,
104609,巫龟,100022,,100022,,
104610,忠勇兔,20011,,20011,,
104611,瞌睡蛇,100020,,100020,,
104702,剑魂,100012,,100012,,
104703,白熊精,100008,,100008,,
104704,寒霜狼,100011,,100011,,
104705,蝶精灵,100010,,100010,,
104706,冰火螳螂,100016,,100016,,
104709,白熊精,100008,,100008,,
104710,上官清,100031,,100031,,
104711,蛮牛,100006,,100006,,
104802,蝶精灵,100010,,100010,,
104803,蚌精,100005,,100005,,
104804,木鱼怪,100026,,100026,,
104805,魔爪花,100025,,100025,,
104806,瞌睡蛇,100020,,100020,,
104809,剑魂,100012,,100012,,
104810,剑齿虎,20006,,20006,,
104811,白熊精,100008,,100008,,
104902,白熊精,100008,,100008,,
104903,小骷髅,100003,,100003,,
104904,蛮牛,100006,,100006,,
104905,蝶精灵,100010,,100010,,
104906,邪毒蜂,100018,,100018,,
104909,蚌精,100005,,100005,,
104910,玉冥真人,100033,,100033,,
104911,蚌精,100005,,100005,,
105010,混沌,100037,,100037,,
105102,异面怪,100009,,100009,,
105103,林妖,100014,,100014,,
105104,巫龟,100022,,100022,,
105105,木鱼怪,100026,,100026,,
105106,强盗,100002,,100002,,
105109,瞌睡蛇,100020,,100020,,
105110,剑侠兔,20002,,20002,,
105111,炎魔,100017,,100017,,
105210,靡籁,100036,,100036,,
105302,邪毒蜂,100018,,100018,,
105303,石巨人,100024,,100024,,
105304,强盗,100002,,100002,,
105305,炎魔,100017,,100017,,
105306,小僵尸,100019,,100019,,
105309,小僵尸,100019,,100019,,
105310,九尾狐,20007,,20007,,
105311,五毒蝎,100021,,100021,,
105410,魑,100041,,100041,,
105502,巫龟,100022,,100022,,
105503,古树精,100013,,100013,,
105504,邪毒蜂,100018,,100018,,
105505,古树精,100013,,100013,,
105506,五毒蝎,100021,,100021,,
105509,古树精,100013,,100013,,
105510,剑侠兔,20002,,20002,,
105511,麟鹿,100015,,100015,,
105602,强盗,100002,,100002,,
105603,白熊精,100008,,100008,,
105604,古树精,100013,,100013,,
105605,魔爪花,100025,,100025,,
105606,跳跳鼠,100004,,100004,,
105609,石巨人,100024,,100024,,
105610,黑水玄蛇,20010,,20010,,
105611,蝶精灵,100010,,100010,,
105702,灵猴,100023,,100023,,
105703,跳跳鼠,100004,,100004,,
105704,白熊精,100008,,100008,,
105705,蝶精灵,100010,,100010,,
105706,小乌龟,100001,,100001,,
105709,山精,100029,,100029,,
105710,玉冥真人,100033,,100033,,
105711,蝶精灵,100010,,100010,,
105810,魑,100041,,100041,,
105902,蛮牛,100006,,100006,,
105903,异面怪,100009,,100009,,
105904,木鱼怪,100026,,100026,,
105905,邪毒蜂,100018,,100018,,
105906,林妖,100014,,100014,,
105909,小骷髅,100003,,100003,,
105910,上官清,100031,,100031,,
105911,利刃猿,100028,,100028,,
106002,山精,100029,,100029,,
106003,石巨人,100024,,100024,,
106004,跳跳鼠,100004,,100004,,
106005,利刃猿,100028,,100028,,
106006,异面怪,100009,,100009,,
106009,林妖,100014,,100014,,
106010,剑齿虎,20006,,20006,,
106011,蛮牛,100006,,100006,,
106102,灵猴,100023,,100023,,
106103,异面怪,100009,,100009,,
106104,邪毒蜂,100018,,100018,,
106105,灵猴,100023,,100023,,
106106,异面怪,100009,,100009,,
106108,瞌睡蛇,100020,,100020,,
106109,巫龟,100022,,100022,,
106110,黑水玄蛇,20010,,20010,,
106111,古树精,100013,,100013,,
106112,蝶精灵,100010,,100010,,
106202,五毒蝎,100021,,100021,,
106203,小乌龟,100001,,100001,,
106204,古树精,100013,,100013,,
106205,麟鹿,100015,,100015,,
106206,蚌精,100005,,100005,,
106208,石狮,100007,,100007,,
106209,小僵尸,100019,,100019,,
106210,逸琼玄女,100032,,100032,,
106211,寒霜狼,100011,,100011,,
106212,强盗,100002,,100002,,
106310,混沌,100037,,100037,,
106410,混沌,100037,,100037,,
106502,蝶精灵,100010,,100010,,
106503,林妖,100014,,100014,,
106504,炎魔,100017,,100017,,
106505,寒霜狼,100011,,100011,,
106506,古树精,100013,,100013,,
106508,强盗,100002,,100002,,
106509,木鱼怪,100026,,100026,,
106510,九尾狐,20007,,20007,,
106511,木鱼怪,100026,,100026,,
106512,五毒蝎,100021,,100021,,
106602,蛮牛,100006,,100006,,
106603,麟鹿,100015,,100015,,
106604,炎魔,100017,,100017,,
106605,石狮,100007,,100007,,
106606,石巨人,100024,,100024,,
106608,异面怪,100009,,100009,,
106609,木鱼怪,100026,,100026,,
106610,黑水玄蛇,20010,,20010,,
106611,古树精,100013,,100013,,
106612,小僵尸,100019,,100019,,
106702,灵猴,100023,,100023,,
106703,剑魂,100012,,100012,,
106704,古树精,100013,,100013,,
106705,蝶精灵,100010,,100010,,
106706,魔爪花,100025,,100025,,
106708,炎魔,100017,,100017,,
106709,魔爪花,100025,,100025,,
106710,地域三头犬,20008,,20008,,
106711,冰火螳螂,100016,,100016,,
106712,炎魔,100017,,100017,,
106802,蝶精灵,100010,,100010,,
106803,寒霜狼,100011,,100011,,
106804,小僵尸,100019,,100019,,
106805,山精,100029,,100029,,
106806,异面怪,100009,,100009,,
106808,蝶精灵,100010,,100010,,
106809,林妖,100014,,100014,,
106810,上官清,100031,,100031,,
106811,石狮,100007,,100007,,
106812,巫龟,100022,,100022,,
106902,强盗,100002,,100002,,
106903,强盗,100002,,100002,,
106904,寒霜狼,100011,,100011,,
106905,山精,100029,,100029,,
106906,石狮,100007,,100007,,
106908,剑魂,100012,,100012,,
106909,剑魂,100012,,100012,,
106910,上官清,100031,,100031,,
106911,强盗,100002,,100002,,
106912,剑魂,100012,,100012,,
107010,靡籁,100036,,100036,,
107102,木鱼怪,100026,,100026,,
107103,异面怪,100009,,100009,,
107104,异面怪,100009,,100009,,
107105,石巨人,100024,,100024,,
107106,寒霜狼,100011,,100011,,
107108,瞌睡蛇,100020,,100020,,
107109,林妖,100014,,100014,,
107110,宠物剑邪,100030,,100030,,
107111,蝶精灵,100010,,100010,,
107112,五毒蝎,100021,,100021,,
107202,山精,100029,,100029,,
107203,蚌精,100005,,100005,,
107204,蝶精灵,100010,,100010,,
107205,石狮,100007,,100007,,
107206,冰火螳螂,100016,,100016,,
107208,木鱼怪,100026,,100026,,
107209,麟鹿,100015,,100015,,
107210,月光蝶,20005,,20005,,
107211,瞌睡蛇,100020,,100020,,
107212,跳跳鼠,100004,,100004,,
107302,硬壳龟,100027,,100027,,
107303,石巨人,100024,,100024,,
107304,小骷髅,100003,,100003,,
107305,石巨人,100024,,100024,,
107306,强盗,100002,,100002,,
107308,巫龟,100022,,100022,,
107309,魔爪花,100025,,100025,,
107310,九尾狐,20007,,20007,,
107311,巫龟,100022,,100022,,
107312,林妖,100014,,100014,,
107402,巫龟,100022,,100022,,
107403,麟鹿,100015,,100015,,
107404,强盗,100002,,100002,,
107405,剑魂,100012,,100012,,
107406,魔爪花,100025,,100025,,
107408,小骷髅,100003,,100003,,
107409,炎魔,100017,,100017,,
107410,月光蝶,20005,,20005,,
107411,蚌精,100005,,100005,,
107412,白熊精,100008,,100008,,
107502,冰火螳螂,100016,,100016,,
107503,异面怪,100009,,100009,,
107504,小乌龟,100001,,100001,,
107505,寒霜狼,100011,,100011,,
107506,炎魔,100017,,100017,,
107508,蝶精灵,100010,,100010,,
107509,蝶精灵,100010,,100010,,
107510,玉冥真人,100033,,100033,,
107511,山精,100029,,100029,,
107512,白熊精,100008,,100008,,
107610,混沌,100037,,100037,,
107710,靡籁,100036,,100036,,
107802,巫龟,100022,,100022,,
107803,跳跳鼠,100004,,100004,,
107804,巫龟,100022,,100022,,
107805,石狮,100007,,100007,,
107806,石巨人,100024,,100024,,
107808,小僵尸,100019,,100019,,
107809,小乌龟,100001,,100001,,
107810,鲛人,20001,,20001,,
107811,炎魔,100017,,100017,,
107812,麟鹿,100015,,100015,,
107902,巫龟,100022,,100022,,
107903,小乌龟,100001,,100001,,
107904,林妖,100014,,100014,,
107905,冰火螳螂,100016,,100016,,
107906,山精,100029,,100029,,
107908,石巨人,100024,,100024,,
107909,魔爪花,100025,,100025,,
107910,黑水玄蛇,20010,,20010,,
107911,小僵尸,100019,,100019,,
107912,魔爪花,100025,,100025,,
108010,靡籁,100036,,100036,,
108110,魅,100040,,100040,,
108202,白熊精,100008,,100008,,
108203,跳跳鼠,100004,,100004,,
108204,利刃猿,100028,,100028,,
108205,跳跳鼠,100004,,100004,,
108206,强盗,100002,,100002,,
108208,麟鹿,100015,,100015,,
108209,木鱼怪,100026,,100026,,
108210,逸琼玄女,100032,,100032,,
108211,古树精,100013,,100013,,
108212,石狮,100007,,100007,,
108302,小僵尸,100019,,100019,,
108303,蛮牛,100006,,100006,,
108304,石巨人,100024,,100024,,
108305,灵猴,100023,,100023,,
108306,石巨人,100024,,100024,,
108308,巫龟,100022,,100022,,
108309,蛮牛,100006,,100006,,
108310,鲛人,20001,,20001,,
108311,石巨人,100024,,100024,,
108312,异面怪,100009,,100009,,
108410,魅,100040,,100040,,
108502,山精,100029,,100029,,
108503,剑魂,100012,,100012,,
108504,蚌精,100005,,100005,,
108505,邪毒蜂,100018,,100018,,
108506,石狮,100007,,100007,,
108508,石狮,100007,,100007,,
108509,山精,100029,,100029,,
108510,宠物剑邪,100030,,100030,,
108511,古树精,100013,,100013,,
108512,石巨人,100024,,100024,,
108610,靡籁,100036,,100036,,
108702,灵猴,100023,,100023,,
108703,强盗,100002,,100002,,
108704,邪毒蜂,100018,,100018,,
108705,小骷髅,100003,,100003,,
108706,瞌睡蛇,100020,,100020,,
108708,灵猴,100023,,100023,,
108709,强盗,100002,,100002,,
108710,黑水玄蛇,20010,,20010,,
108711,跳跳鼠,100004,,100004,,
108712,五毒蝎,100021,,100021,,
108802,蚌精,100005,,100005,,
108803,古树精,100013,,100013,,
108804,五毒蝎,100021,,100021,,
108805,石巨人,100024,,100024,,
108806,木鱼怪,100026,,100026,,
108808,小僵尸,100019,,100019,,
108809,五毒蝎,100021,,100021,,
108810,逸琼玄女,100032,,100032,,
108811,邪毒蜂,100018,,100018,,
108812,跳跳鼠,100004,,100004,,
108902,木鱼怪,100026,,100026,,
108903,灵猴,100023,,100023,,
108904,小骷髅,100003,,100003,,
108905,蝶精灵,100010,,100010,,
108906,石狮,100007,,100007,,
108908,跳跳鼠,100004,,100004,,
108909,剑魂,100012,,100012,,
108910,月光蝶,20005,,20005,,
108911,山精,100029,,100029,,
108912,剑魂,100012,,100012,,
109002,炎魔,100017,,100017,,
109003,白熊精,100008,,100008,,
109004,石狮,100007,,100007,,
109005,古树精,100013,,100013,,
109006,硬壳龟,100027,,100027,,
109008,剑魂,100012,,100012,,
109009,利刃猿,100028,,100028,,
109010,上官清,100031,,100031,,
109011,麟鹿,100015,,100015,,
109012,炎魔,100017,,100017,,
109110,混沌,100037,,100037,,
109202,强盗,100002,,100002,,
109203,五毒蝎,100021,,100021,,
109204,蛮牛,100006,,100006,,
109205,木鱼怪,100026,,100026,,
109206,山精,100029,,100029,,
109208,山精,100029,,100029,,
109209,利刃猿,100028,,100028,,
109210,宠物剑邪,100030,,100030,,
109211,五毒蝎,100021,,100021,,
109212,瞌睡蛇,100020,,100020,,
109302,瞌睡蛇,100020,,100020,,
109303,小骷髅,100003,,100003,,
109304,跳跳鼠,100004,,100004,,
109305,山精,100029,,100029,,
109306,跳跳鼠,100004,,100004,,
109308,麟鹿,100015,,100015,,
109309,巫龟,100022,,100022,,
109310,逸琼玄女,100032,,100032,,
109311,巫龟,100022,,100022,,
109312,寒霜狼,100011,,100011,,
109402,利刃猿,100028,,100028,,
109403,蚌精,100005,,100005,,
109404,小乌龟,100001,,100001,,
109405,跳跳鼠,100004,,100004,,
109406,蝶精灵,100010,,100010,,
109408,麟鹿,100015,,100015,,
109409,巫龟,100022,,100022,,
109410,上官清,100031,,100031,,
109411,古树精,100013,,100013,,
109412,寒霜狼,100011,,100011,,
109502,巫龟,100022,,100022,,
109503,异面怪,100009,,100009,,
109504,古树精,100013,,100013,,
109505,邪毒蜂,100018,,100018,,
109506,木鱼怪,100026,,100026,,
109508,古树精,100013,,100013,,
109509,巫龟,100022,,100022,,
109510,黑水玄蛇,20010,,20010,,
109511,石巨人,100024,,100024,,
109512,剑魂,100012,,100012,,
109602,异面怪,100009,,100009,,
109603,五毒蝎,100021,,100021,,
109604,硬壳龟,100027,,100027,,
109605,灵猴,100023,,100023,,
109606,跳跳鼠,100004,,100004,,
109608,剑魂,100012,,100012,,
109609,林妖,100014,,100014,,
109610,鲛人,20001,,20001,,
109611,小骷髅,100003,,100003,,
109612,山精,100029,,100029,,
109710,混沌,100037,,100037,,
109802,瞌睡蛇,100020,,100020,,
109803,利刃猿,100028,,100028,,
109804,蚌精,100005,,100005,,
109805,邪毒蜂,100018,,100018,,
109806,古树精,100013,,100013,,
109808,蛮牛,100006,,100006,,
109809,异面怪,100009,,100009,,
109810,逸琼玄女,100032,,100032,,
109811,木鱼怪,100026,,100026,,
109812,剑魂,100012,,100012,,
109902,木鱼怪,100026,,100026,,
109903,山精,100029,,100029,,
109904,剑魂,100012,,100012,,
109905,蝶精灵,100010,,100010,,
109906,冰火螳螂,100016,,100016,,
109908,剑魂,100012,,100012,,
109909,石巨人,100024,,100024,,
109910,地域三头犬,20008,,20008,,
109911,蚌精,100005,,100005,,
109912,剑魂,100012,,100012,,
110002,邪毒蜂,100018,,100018,,
110003,剑魂,100012,,100012,,
110004,五毒蝎,100021,,100021,,
110005,利刃猿,100028,,100028,,
110006,小乌龟,100001,,100001,,
110008,邪毒蜂,100018,,100018,,
110009,巫龟,100022,,100022,,
110010,宠物剑邪,100030,,100030,,
110011,蝶精灵,100010,,100010,,
110012,强盗,100002,,100002,,
110110,穷奇,100038,,100038,,
110202,剑魂,100012,,100012,,
110203,小僵尸,100019,,100019,,
110204,瞌睡蛇,100020,,100020,,
110205,五毒蝎,100021,,100021,,
110206,瞌睡蛇,100020,,100020,,
110208,木鱼怪,100026,,100026,,
110209,邪毒蜂,100018,,100018,,
110210,月光蝶,20005,,20005,,
110211,利刃猿,100028,,100028,,
110212,跳跳鼠,100004,,100004,,
110310,魑,100041,,100041,,
110402,蚌精,100005,,100005,,
110403,巫龟,100022,,100022,,
110404,利刃猿,100028,,100028,,
110405,白熊精,100008,,100008,,
110406,小僵尸,100019,,100019,,
110408,巫龟,100022,,100022,,
110409,麟鹿,100015,,100015,,
110410,玉冥真人,100033,,100033,,
110411,灵猴,100023,,100023,,
110412,林妖,100014,,100014,,
110510,穷奇,100038,,100038,,
110602,强盗,100002,,100002,,
110603,麟鹿,100015,,100015,,
110604,白熊精,100008,,100008,,
110605,蛮牛,100006,,100006,,
110606,白熊精,100008,,100008,,
110608,蛮牛,100006,,100006,,
110609,蝶精灵,100010,,100010,,
110610,忠勇兔,20011,,20011,,
110611,林妖,100014,,100014,,
110612,炎魔,100017,,100017,,
110710,混沌,100037,,100037,,
110802,硬壳龟,100027,,100027,,
110803,强盗,100002,,100002,,
110804,剑魂,100012,,100012,,
110805,蝶精灵,100010,,100010,,
110806,小骷髅,100003,,100003,,
110808,炎魔,100017,,100017,,
110809,魔爪花,100025,,100025,,
110810,玉冥真人,100033,,100033,,
110811,邪毒蜂,100018,,100018,,
110812,小僵尸,100019,,100019,,
110910,深渊之龙,100039,,100039,,
111010,深渊之龙,100039,,100039,,
111110,魅,100040,,100040,,
111210,靡籁,100036,,100036,,
111302,蛮牛,100006,,100006,,
111303,五毒蝎,100021,,100021,,
111304,木鱼怪,100026,,100026,,
111305,利刃猿,100028,,100028,,
111306,蛮牛,100006,,100006,,
111308,剑魂,100012,,100012,,
111309,小乌龟,100001,,100001,,
111310,鲛人,20001,,20001,,
111311,灵猴,100023,,100023,,
111312,林妖,100014,,100014,,
111410,魑,100041,,100041,,
111502,蛮牛,100006,,100006,,
111503,古树精,100013,,100013,,
111504,石巨人,100024,,100024,,
111505,古树精,100013,,100013,,
111506,寒霜狼,100011,,100011,,
111508,五毒蝎,100021,,100021,,
111509,小乌龟,100001,,100001,,
111510,月光蝶,20005,,20005,,
111511,木鱼怪,100026,,100026,,
111512,石狮,100007,,100007,,
111602,五毒蝎,100021,,100021,,
111603,硬壳龟,100027,,100027,,
111604,木鱼怪,100026,,100026,,
111605,瞌睡蛇,100020,,100020,,
111606,巫龟,100022,,100022,,
111608,强盗,100002,,100002,,
111609,石狮,100007,,100007,,
111610,月光蝶,20005,,20005,,
111611,五毒蝎,100021,,100021,,
111612,利刃猿,100028,,100028,,
111702,五毒蝎,100021,,100021,,
111703,寒霜狼,100011,,100011,,
111704,蚌精,100005,,100005,,
111705,古树精,100013,,100013,,
111706,寒霜狼,100011,,100011,,
111708,林妖,100014,,100014,,
111709,小骷髅,100003,,100003,,
111710,云中子,100034,,100034,,
111711,五毒蝎,100021,,100021,,
111712,蛮牛,100006,,100006,,
111810,魑,100041,,100041,,
111910,穷奇,100038,,100038,,
112002,寒霜狼,100011,,100011,,
112003,白熊精,100008,,100008,,
112004,白熊精,100008,,100008,,
112005,蛮牛,100006,,100006,,
112006,巫龟,100022,,100022,,
112008,白熊精,100008,,100008,,
112009,冰火螳螂,100016,,100016,,
112010,剑齿虎,20006,,20006,,
112011,五毒蝎,100021,,100021,,
112012,炎魔,100017,,100017,,
112102,剑魂,100012,,100012,,
112103,剑魂,100012,,100012,,
112104,蚌精,100005,,100005,,
112105,蝶精灵,100010,,100010,,
112106,剑魂,100012,,100012,,
112108,寒霜狼,100011,,100011,,
112109,寒霜狼,100011,,100011,,
112110,九尾狐,20007,,20007,,
112111,剑魂,100012,,100012,,
112112,魔爪花,100025,,100025,,
112210,穷奇,100038,,100038,,
112302,石巨人,100024,,100024,,
112303,古树精,100013,,100013,,
112304,小骷髅,100003,,100003,,
112305,石狮,100007,,100007,,
112306,炎魔,100017,,100017,,
112308,小僵尸,100019,,100019,,
112309,小骷髅,100003,,100003,,
112310,上官清,100031,,100031,,
112311,巫龟,100022,,100022,,
112312,小僵尸,100019,,100019,,
112402,蝶精灵,100010,,100010,,
112403,小僵尸,100019,,100019,,
112404,麟鹿,100015,,100015,,
112405,古树精,100013,,100013,,
112406,蛮牛,100006,,100006,,
112408,剑魂,100012,,100012,,
112409,五毒蝎,100021,,100021,,
112410,剑侠兔,20002,,20002,,
112411,异面怪,100009,,100009,,
112412,异面怪,100009,,100009,,
112502,蛮牛,100006,,100006,,
112503,冰火螳螂,100016,,100016,,
112504,跳跳鼠,100004,,100004,,
112505,邪毒蜂,100018,,100018,,
112506,跳跳鼠,100004,,100004,,
112508,硬壳龟,100027,,100027,,
112509,木鱼怪,100026,,100026,,
112510,地域三头犬,20008,,20008,,
112511,小僵尸,100019,,100019,,
112512,石巨人,100024,,100024,,
112602,巫龟,100022,,100022,,
112603,寒霜狼,100011,,100011,,
112604,小僵尸,100019,,100019,,
112605,炎魔,100017,,100017,,
112606,邪毒蜂,100018,,100018,,
112608,异面怪,100009,,100009,,
112609,麟鹿,100015,,100015,,
112610,九尾狐,20007,,20007,,
112611,古树精,100013,,100013,,
112612,蚌精,100005,,100005,,
112710,混沌,100037,,100037,,
112802,麟鹿,100015,,100015,,
112803,强盗,100002,,100002,,
112804,瞌睡蛇,100020,,100020,,
112805,硬壳龟,100027,,100027,,
112806,魔爪花,100025,,100025,,
112808,蚌精,100005,,100005,,
112809,小僵尸,100019,,100019,,
112810,云中子,100034,,100034,,
112811,小僵尸,100019,,100019,,
112812,灵猴,100023,,100023,,
112902,小骷髅,100003,,100003,,
112903,灵猴,100023,,100023,,
112904,蝶精灵,100010,,100010,,
112905,白熊精,100008,,100008,,
112906,硬壳龟,100027,,100027,,
112908,魔爪花,100025,,100025,,
112909,蚌精,100005,,100005,,
112910,地域三头犬,20008,,20008,,
112911,木鱼怪,100026,,100026,,
112912,灵猴,100023,,100023,,
113010,混沌,100037,,100037,,
113102,麟鹿,100015,,100015,,
113103,小僵尸,100019,,100019,,
113104,小骷髅,100003,,100003,,
113105,灵猴,100023,,100023,,
113106,小僵尸,100019,,100019,,
113108,蝶精灵,100010,,100010,,
113109,林妖,100014,,100014,,
113110,宠物剑邪,100030,,100030,,
113111,木鱼怪,100026,,100026,,
113112,木鱼怪,100026,,100026,,
113202,灵猴,100023,,100023,,
113203,木鱼怪,100026,,100026,,
113204,五毒蝎,100021,,100021,,
113205,邪毒蜂,100018,,100018,,
113206,寒霜狼,100011,,100011,,
113208,异面怪,100009,,100009,,
113209,异面怪,100009,,100009,,
113210,九尾狐,20007,,20007,,
113211,异面怪,100009,,100009,,
113212,木鱼怪,100026,,100026,,
113302,寒霜狼,100011,,100011,,
113303,小骷髅,100003,,100003,,
113304,麟鹿,100015,,100015,,
113305,石巨人,100024,,100024,,
113306,跳跳鼠,100004,,100004,,
113308,林妖,100014,,100014,,
113309,强盗,100002,,100002,,
113310,九尾狐,20007,,20007,,
113311,硬壳龟,100027,,100027,,
113312,剑魂,100012,,100012,,
113402,邪毒蜂,100018,,100018,,
113403,蚌精,100005,,100005,,
113404,冰火螳螂,100016,,100016,,
113405,石狮,100007,,100007,,
113406,五毒蝎,100021,,100021,,
