章节id,地图Id,遇怪使用的关卡起始ＩＤ,向后随机多少关,掉落装备概率,掉落绿色装备概率,装备id,经验,银两,多少秒遇怪一次
1108,,1030,10,0.5,0.2,108,78720,960,10
1109,,1030,10,0.5,0.2,108,78720,960,10
1110,,1030,10,0.5,0.2,108,78720,970,10
1111,,1030,10,0.5,0.2,108,78720,970,10
1112,,1030,10,0.5,0.2,108,78720,970,10
1113,,1030,10,0.5,0.2,109,78720,980,10
1114,,1030,10,0.5,0.2,109,89741,980,10
1115,,1030,10,0.5,0.2,109,89741,990,10
1116,,1030,10,0.5,0.2,109,89741,990,10
1117,,1030,10,0.5,0.2,109,89741,990,10
1118,,1030,10,0.5,0.2,109,89741,1000,10
1119,,1030,10,0.5,0.2,109,89741,1000,10
1120,,1030,10,0.5,0.2,109,89741,1000,10
1121,,1030,10,0.5,0.2,109,89741,1010,10
1122,,1030,10,0.5,0.2,109,89741,1010,10
1123,,1030,10,0.5,0.2,109,89741,1010,10
1124,,1030,10,0.5,0.2,109,89741,1020,10
1125,,1030,10,0.5,0.2,109,89741,1020,10
1126,,1030,10,0.5,0.2,109,89741,1020,10
1127,,1030,10,0.5,0.2,109,89741,1030,10
1128,,1030,10,0.5,0.2,109,89741,1030,10
1129,,1030,10,0.5,0.2,109,101549,1030,10
1130,,1030,10,0.5,0.2,109,101549,1040,10
1131,,1030,10,0.5,0.2,109,101549,1040,10
1132,,1030,10,0.5,0.2,109,101549,1040,10
1133,,1030,10,0.5,0.2,109,101549,1050,10
1134,,1030,10,0.5,0.2,109,101549,1050,10
1135,,1030,10,0.5,0.2,109,101549,1050,10
1136,,1030,10,0.5,0.2,109,101549,1060,10
1137,,1030,10,0.5,0.2,109,101549,1060,10
1138,,1030,10,0.5,0.2,109,101549,1060,10
1139,,1030,10,0.5,0.2,109,101549,1070,10
1140,,1030,10,0.5,0.2,109,101549,1070,10
1141,,1030,10,0.5,0.2,109,101549,1070,10
1142,,1030,10,0.5,0.2,109,101549,1080,10
1143,,1030,10,0.5,0.2,110,101549,1080,10
1144,,1030,10,0.5,0.2,110,113357,1080,10
1145,,1030,10,0.5,0.2,110,113357,1080,10
1146,,1030,10,0.5,0.2,110,113357,1090,10
1147,,1030,10,0.5,0.2,110,113357,1090,10
1148,,1030,10,0.5,0.2,110,113357,1090,10
1149,,1030,10,0.5,0.2,110,113357,1100,10
1150,,1030,10,0.5,0.2,110,113357,1100,10
1151,,1030,10,0.5,0.2,110,113357,1100,10
1152,,1030,10,0.5,0.2,110,113357,1110,10
1153,,1030,10,0.5,0.2,110,113357,1110,10
1154,,1030,10,0.5,0.2,110,113357,1110,10
1155,,1030,10,0.5,0.2,110,113357,1120,10
1156,,1030,10,0.5,0.2,110,113357,1120,10
1157,,1030,10,0.5,0.2,110,113357,1120,10
1158,,1030,10,0.5,0.2,110,113357,1130,10
1159,,1030,10,0.5,0.2,110,113357,1130,10
1160,,1030,10,0.5,0.2,110,125953,1130,10
1161,,1030,10,0.5,0.2,110,125953,1130,10
1162,,1030,10,0.5,0.2,110,125953,1140,10
1163,,1030,10,0.5,0.2,110,125953,1140,10
1164,,1030,10,0.5,0.2,110,125953,1140,10
1165,,1030,10,0.5,0.2,110,125953,1150,10
1166,,1030,10,0.5,0.2,110,125953,1150,10
1167,,1030,10,0.5,0.2,110,125953,1150,10
1168,,1030,10,0.5,0.2,110,125953,1160,10
1169,,1030,10,0.5,0.2,110,125953,1160,10
1170,,1030,10,0.5,0.2,110,125953,1160,10
1171,,1030,10,0.5,0.2,110,125953,1170,10
1172,,1030,10,0.5,0.2,110,125953,1170,10
1173,,1030,10,0.5,0.2,110,125953,1170,10
1174,,1030,10,0.5,0.2,110,125953,1180,10
1175,,1030,10,0.5,0.2,110,125953,1180,10
1176,,1030,10,0.5,0.2,110,138548,1180,10
1177,,1030,10,0.5,0.2,110,138548,1180,10
1178,,1030,10,0.5,0.2,110,138548,1190,10
1179,,1030,10,0.5,0.2,110,138548,1190,10
1180,,1030,10,0.5,0.2,110,138548,1190,10
1181,,1030,10,0.5,0.2,110,138548,1200,10
1182,,1030,10,0.5,0.2,110,138548,1200,10
1183,,1030,10,0.5,0.2,110,138548,1200,10
1184,,1030,10,0.5,0.2,110,138548,1200,10
1185,,1030,10,0.5,0.2,110,138548,1210,10
1186,,1030,10,0.5,0.2,110,138548,1210,10
1187,,1030,10,0.5,0.2,110,138548,1210,10
1188,,1030,10,0.5,0.2,110,138548,1220,10
1189,,1030,10,0.5,0.2,110,138548,1220,10
1190,,1030,10,0.5,0.2,110,138548,1220,10
1191,,1030,10,0.5,0.2,110,138548,1230,10
1192,,1030,10,0.5,0.2,110,138548,1230,10
1193,,1030,10,0.5,0.2,110,151931,1230,10
1194,,1030,10,0.5,0.2,110,151931,1230,10
1195,,1030,10,0.5,0.2,110,151931,1240,10
1196,,1030,10,0.5,0.2,110,151931,1240,10
1197,,1030,10,0.5,0.2,110,151931,1240,10
1198,,1030,10,0.5,0.2,110,151931,1240,10
1199,,1030,10,0.5,0.2,110,151931,1250,10
1200,,1030,10,0.5,0.2,110,151931,1250,10
1201,,1030,10,0.5,0.2,110,151931,1250,10
1202,,1030,10,0.5,0.2,110,151931,1260,10
1203,,1030,10,0.5,0.2,110,151931,1260,10
1204,,1030,10,0.5,0.2,110,151931,1260,10
1205,,1030,10,0.5,0.2,110,151931,1270,10
1206,,1030,10,0.5,0.2,110,151931,1270,10
1207,,1030,10,0.5,0.2,110,151931,1270,10
1208,,1030,10,0.5,0.2,110,151931,1280,10
