野外boss索引,怪物entryId,等级（要求）,能否组队,怪物列表,固定掉落,刷新时间,刷新时间描述,掉落预览（固定）,掉落预览（稀有）,挑战消耗,掉落装备,灰色品质装备件数,绿色品质装备件数,蓝色品质装备件数,紫色品质装备件数,金装概率,普通物品掉落库
20,396310,120,0,"[2]=396302,[3]=396303,[4]=396304,[5]=396305,[6]=396306,[8]=396308,[9]=396309,[10]=396310,[11]=396311,[12]=396312","{""bindRmb"",180},{""item"",60019,3},{""funds"",91800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60019,60055,","15062,15053,15054,","{""item"",60011,0}",107,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
21,396410,130,0,"[2]=396402,[3]=396403,[4]=396404,[5]=396405,[6]=396406,[8]=396408,[9]=396409,[10]=396410,[11]=396411,[12]=396412","{""bindRmb"",180},{""item"",60019,3},{""funds"",96800}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60019,60055,","15062,15053,15054,","{""item"",60011,0}",107,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
22,50000004,140,0,[10]=396510,"{""bindRmb"",180},{""item"",60019,3},{""funds"",102000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60019,60055,","15072,15073,60007,60009,","{""item"",60011,1}",108,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
23,50000004,150,0,[10]=396610,"{""bindRmb"",180},{""item"",60019,3},{""funds"",107000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60019,60055,","15072,15073,60007,60009,","{""item"",60011,1}",108,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
24,396710,160,0,"[2]=396702,[3]=396703,[4]=396704,[5]=396705,[6]=396706,[8]=396708,[9]=396709,[10]=396710,[11]=396711,[12]=396712","{""bindRmb"",180},{""item"",60019,3},{""funds"",112000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60019,60055,","15082,15083,60007,60009,","{""item"",60011,2}",109,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
25,396810,170,0,"[2]=396802,[3]=396803,[4]=396804,[5]=396805,[6]=396806,[8]=396808,[9]=396809,[10]=396810,[11]=396811,[12]=396812","{""bindRmb"",180},{""item"",60019,3},{""funds"",117000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60019,60055,","15082,15083,60007,60009,","{""item"",60011,2}",109,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
26,396910,180,0,"[2]=396902,[3]=396903,[4]=396904,[5]=396905,[6]=396906,[8]=396908,[9]=396909,[10]=396910,[11]=396911,[12]=396912","{""bindRmb"",180},{""item"",60019,3},{""funds"",122000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60019,60055,","15092,15093,60007,60009,","{""item"",60011,5}",110,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
27,397010,190,0,"[2]=397002,[3]=397003,[4]=397004,[5]=397005,[6]=397006,[8]=397008,[9]=397009,[10]=397010,[11]=397011,[12]=397012","{""bindRmb"",180},{""item"",60019,3},{""funds"",127000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60019,60055,","15092,15093,60007,60009,","{""item"",60011,5}",110,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
28,50000006,200,0,[10]=397110,"{""bindRmb"",180},{""item"",60019,3},{""funds"",132000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60019,60055,","15092,15093,60007,60009,","{""item"",60011,5}",110,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
29,397210,220,0,"[2]=397202,[3]=397203,[4]=397204,[5]=397205,[6]=397206,[8]=397208,[9]=397209,[10]=397210,[11]=397211,[12]=397212","{""bindRmb"",180},{""item"",60012,3},{""funds"",137000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60012,60055,","15092,15093,60007,60009,","{""item"",60011,5}",110,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
30,397310,240,0,"[2]=397302,[3]=397303,[4]=397304,[5]=397305,[6]=397306,[8]=397308,[9]=397309,[10]=397310,[11]=397311,[12]=397312","{""bindRmb"",180},{""item"",60012,3},{""funds"",142000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60012,60055,","15092,15093,60007,60009,","{""item"",60011,5}",110,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
31,50000005,260,0,[10]=397410,"{""bindRmb"",180},{""item"",60012,3},{""funds"",147000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60012,60055,","15092,15093,60007,60009,","{""item"",60011,5}",110,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
32,397510,280,0,"[2]=397502,[3]=397503,[4]=397504,[5]=397505,[6]=397506,[8]=397508,[9]=397509,[10]=397510,[11]=397511,[12]=397512","{""bindRmb"",180},{""item"",60012,3},{""funds"",152000}","{8,00},{8,30},{9,00},{9,30},{10,00},{10,30},{11,00},{11,30},{12,00},{12,30},{13,00},{13,30},{14,00},{14,30},{15,00},{15,30},{16,00},{16,30},{17,00},{17,30},{18,00},{18,30},{19,00},{19,30},{20,00},{20,30},{21,00},{21,30},{22,00},{22,30},{33,00},{23,30},{24,00},{24,30},{0,00},{0,30},{1,00},{1,30},{2,00}",每天早上8点-凌晨2点每30分钟刷新1次,"60056,60012,60055,","15092,15093,60007,60009,","{""item"",60011,5}",110,"{0,100}","{0,100}","{4,100}","{2,100}","{0,1900},{0,100}",1029
