玩法名字,升级后的等级,,物品id,物品数量,货币单位,货币数量,增加属性的标准值
qianghua,148,,,,1,99843100,1842
qianghua,149,,,,1,105227300,1843
qianghua,150,,,,1,110901700,1844
qianghua,151,,,,1,116882000,1845
qianghua,152,,,,1,123184600,1846
qianghua,153,,,,1,129826900,1847
qianghua,154,,,,1,136827300,1848
qianghua,155,,,,1,144205000,1849
qianghua,156,,,,1,151980400,1850
qianghua,157,,,,1,160174900,1851
qianghua,158,,,,1,168811100,1852
qianghua,159,,,,1,177912800,1853
qianghua,160,,,,1,187505100,1854
qianghua,161,,,,1,197614500,1855
qianghua,162,,,,1,208268800,1856
qianghua,163,,,,1,219497400,1857
qianghua,164,,,,1,231331200,1858
qianghua,165,,,,1,243802900,1859
qianghua,166,,,,1,256946900,1860
qianghua,167,,,,1,270799400,1861
qianghua,168,,,,1,285398500,1862
qianghua,169,,,,1,300784600,1863
qianghua,170,,,,1,317000000,1864
qianghua,171,,,,1,334089500,1865
qianghua,172,,,,1,352100100,1866
qianghua,173,,,,1,371081600,1867
qianghua,174,,,,1,391086200,1868
qianghua,175,,,,1,412169100,1869
qianghua,176,,,,1,434388400,1870
qianghua,177,,,,1,457805400,1871
qianghua,178,,,,1,482484700,1872
qianghua,179,,,,1,508494200,1873
qianghua,180,,,,1,535905700,1874
qianghua,181,,,,1,564794800,1875
qianghua,182,,,,1,595241100,1876
qianghua,183,,,,1,627328500,1877
qianghua,184,,,,1,661145500,1878
qianghua,185,,,,1,696785300,1879
qianghua,186,,,,1,734346200,1880
qianghua,187,,,,1,773931700,1881
qianghua,188,,,,1,815651000,1882
qianghua,189,,,,1,859619000,1883
qianghua,190,,,,1,905957000,1884
qianghua,191,,,,1,954792800,1885
qianghua,192,,,,1,1006260900,1886
qianghua,193,,,,1,1060503300,1887
qianghua,194,,,,1,1117669500,1888
qianghua,195,,,,1,1177917100,1889
qianghua,196,,,,1,1241412200,1890
qianghua,197,,,,1,1308329900,1891
qianghua,198,,,,1,1378854600,1892
qianghua,199,,,,1,1453180800,1893
qianghua,200,,,,1,1531513300,1894
jinglian,1,,60001,2,,,14
jinglian,2,,60001,2,,,29
jinglian,3,,60001,3,,,44
jinglian,4,,60001,5,,,59
jinglian,5,,60001,6,,,75
jinglian,6,,60001,8,,,91
jinglian,7,,60001,10,,,107
jinglian,8,,60001,12,,,123
jinglian,9,,60001,14,,,140
jinglian,10,,60001,17,,,157
jinglian,11,,60001,20,,,174
jinglian,12,,60001,23,,,191
jinglian,13,,60001,27,,,209
jinglian,14,,60001,31,,,227
jinglian,15,,60001,35,,,245
jinglian,16,,60001,40,,,264
jinglian,17,,60001,46,,,283
jinglian,18,,60001,52,,,302
jinglian,19,,60001,59,,,321
jinglian,20,,60001,67,,,341
jinglian,21,,60001,76,,,361
jinglian,22,,60001,80,,,381
jinglian,23,,60001,96,,,402
jinglian,24,,60001,107,,,423
jinglian,25,,60001,120,,,444
jinglian,26,,60001,134,,,466
jinglian,27,,60001,150,,,488
jinglian,28,,60001,167,,,511
jinglian,29,,60001,186,,,534
jinglian,30,,60001,207,,,557
jinglian,31,,60001,208,,,581
jinglian,32,,60001,209,,,605
jinglian,33,,60001,210,,,629
jinglian,34,,60001,211,,,654
jinglian,35,,60001,212,,,679
jinglian,36,,60001,213,,,705
jinglian,37,,60001,214,,,731
jinglian,38,,60001,215,,,758
jinglian,39,,60001,216,,,785
jinglian,40,,60001,567,,,812
jinglian,41,,60001,624,,,840
jinglian,42,,60001,686,,,868
jinglian,43,,60001,753,,,897
jinglian,44,,60001,827,,,926
jinglian,45,,60001,906,,,956
jinglian,46,,60001,907,,,986
jinglian,47,,60001,908,,,1017
jinglian,48,,60001,909,,,1048
jinglian,49,,60001,910,,,1080
jinglian,50,,60001,911,,,1112
jinglian,51,,60001,912,,,1145
jinglian,52,,60001,913,,,1178
jinglian,53,,60001,914,,,1212
jinglian,54,,60001,915,,,1246
jinglian,55,,60001,916,,,1281
jinglian,56,,60001,917,,,1317
jinglian,57,,60001,918,,,1353
jinglian,58,,60001,919,,,1390
jinglian,59,,60001,920,,,1427
jinglian,60,,60001,921,,,1465
jinglian,61,,60001,3557,,,1503
jinglian,62,,60001,3849,,,1542
jinglian,63,,60001,4162,,,1582
jinglian,64,,60001,4497,,,1622
jinglian,65,,60001,4855,,,1663
jinglian,66,,60001,5237,,,1705
jinglian,67,,60001,5646,,,1747
jinglian,68,,60001,6081,,,1790
jinglian,69,,60001,6545,,,1834
jinglian,70,,60001,6546,,,1879
jinglian,71,,60001,7566,,,1924
jinglian,72,,60001,8125,,,1970
jinglian,73,,60001,8719,,,2017
jinglian,74,,60001,9349,,,2065
jinglian,75,,60001,10018,,,2113
jinglian,76,,60001,10726,,,2162
jinglian,77,,60001,11475,,,2212
jinglian,78,,60001,12268,,,2263
jinglian,79,,60001,12269,,,2315
jinglian,80,,60001,12270,,,2367
jinglian,81,,60001,12271,,,2420
jinglian,82,,60001,12272,,,2474
jinglian,83,,60001,12273,,,2529
jinglian,84,,60001,12274,,,2585
jinglian,85,,60001,12275,,,2642
jinglian,86,,60001,12276,,,2700
jinglian,87,,60001,12277,,,2759
jinglian,88,,60001,12278,,,2819
jinglian,89,,60001,12279,,,2880
jinglian,90,,60001,12280,,,2942
jinglian,91,,60001,12281,,,3005
jinglian,92,,60001,12282,,,3069
jinglian,93,,60001,12283,,,3134
jinglian,94,,60001,12284,,,3200
jinglian,95,,60001,12285,,,3267
jinglian,96,,60001,12286,,,3335
jinglian,97,,60001,12287,,,3404
jinglian,98,,60001,12288,,,3474
jinglian,99,,60001,12289,,,3545
jinglian,100,,60001,12290,,,3617
jinglian,101,,60001,12291,,,3618
jinglian,102,,60001,12292,,,3619
jinglian,103,,60001,12293,,,3620
jinglian,104,,60001,12294,,,3621
jinglian,105,,60001,12295,,,3622
jinglian,106,,60001,12296,,,3623
jinglian,107,,60001,12297,,,3624
jinglian,108,,60001,12298,,,3625
jinglian,109,,60001,12299,,,3626
jinglian,110,,60001,12300,,,3627
jinglian,111,,60001,12301,,,3628
jinglian,112,,60001,12302,,,3629
jinglian,113,,60001,12303,,,3630
jinglian,114,,60001,12304,,,3631
jinglian,115,,60001,12305,,,3632
jinglian,116,,60001,12306,,,3633
jinglian,117,,60001,12307,,,3634
jinglian,118,,60001,12308,,,3635
jinglian,119,,60001,12309,,,3636
jinglian,120,,60001,12310,,,3637
jinglian,121,,60001,12311,,,3638
jinglian,122,,60001,12312,,,3639
jinglian,123,,60001,12313,,,3640
jinglian,124,,60001,12314,,,3641
jinglian,125,,60001,12315,,,3642
jinglian,126,,60001,12316,,,3643
jinglian,127,,60001,12317,,,3644
jinglian,128,,60001,12318,,,3645
jinglian,129,,60001,12319,,,3646
jinglian,130,,60001,12320,,,3647
jinglian,131,,60001,12321,,,3648
jinglian,132,,60001,12322,,,3649
jinglian,133,,60001,12323,,,3650
jinglian,134,,60001,12324,,,3651
jinglian,135,,60001,12325,,,3652
jinglian,136,,60001,12326,,,3653
jinglian,137,,60001,12327,,,3654
jinglian,138,,60001,12328,,,3655
jinglian,139,,60001,12329,,,3656
jinglian,140,,60001,12330,,,3657
jinglian,141,,60001,12331,,,3658
jinglian,142,,60001,12332,,,3659
jinglian,143,,60001,12333,,,3660
jinglian,144,,60001,12334,,,3661
jinglian,145,,60001,12335,,,3662
jinglian,146,,60001,12336,,,3663
jinglian,147,,60001,12337,,,3664
jinglian,148,,60001,12338,,,3665
jinglian,149,,60001,12339,,,3666
jinglian,150,,60001,12340,,,3667
jinglian,151,,60001,12341,,,3668
jinglian,152,,60001,12342,,,3669
jinglian,153,,60001,12343,,,3670
jinglian,154,,60001,12344,,,3671
jinglian,155,,60001,12345,,,3672
jinglian,156,,60001,12346,,,3673
jinglian,157,,60001,12347,,,3674
jinglian,158,,60001,12348,,,3675
jinglian,159,,60001,12349,,,3676
jinglian,160,,60001,12350,,,3677
jinglian,161,,60001,12351,,,3678
jinglian,162,,60001,12352,,,3679
jinglian,163,,60001,12353,,,3680
jinglian,164,,60001,12354,,,3681
jinglian,165,,60001,12355,,,3682
jinglian,166,,60001,12356,,,3683
jinglian,167,,60001,12357,,,3684
jinglian,168,,60001,12358,,,3685
jinglian,169,,60001,12359,,,3686
jinglian,170,,60001,12360,,,3687
jinglian,171,,60001,12361,,,3688
jinglian,172,,60001,12362,,,3689
jinglian,173,,60001,12363,,,3690
jinglian,174,,60001,12364,,,3691
jinglian,175,,60001,12365,,,3692
jinglian,176,,60001,12366,,,3693
jinglian,177,,60001,12367,,,3694
jinglian,178,,60001,12368,,,3695
jinglian,179,,60001,12369,,,3696
jinglian,180,,60001,12370,,,3697
jinglian,181,,60001,12371,,,3698
jinglian,182,,60001,12372,,,3699
jinglian,183,,60001,12373,,,3700
jinglian,184,,60001,12374,,,3701
jinglian,185,,60001,12375,,,3702
jinglian,186,,60001,12376,,,3703
jinglian,187,,60001,12377,,,3704
jinglian,188,,60001,12378,,,3705
jinglian,189,,60001,12379,,,3706
jinglian,190,,60001,12380,,,3707
jinglian,191,,60001,12381,,,3708
jinglian,192,,60001,12382,,,3709
jinglian,193,,60001,12383,,,3710
jinglian,194,,60001,12384,,,3711
jinglian,195,,60001,12385,,,3712
jinglian,196,,60001,12386,,,3713
jinglian,197,,60001,12387,,,3714
jinglian,198,,60001,12388,,,3715
jinglian,199,,60001,12389,,,3716
jinglian,200,,60001,12390,,,3717
duanlian,1,,60002,2,,,7
duanlian,2,,60002,3,,,15
duanlian,3,,60002,4,,,22
duanlian,4,,60002,5,,,31
duanlian,5,,60002,7,,,39
duanlian,6,,60002,9,,,47
duanlian,7,,60002,11,,,55
duanlian,8,,60002,13,,,63
duanlian,9,,60002,15,,,71
duanlian,10,,60002,17,,,80
duanlian,11,,60002,19,,,89
duanlian,12,,60002,21,,,98
duanlian,13,,60002,23,,,107
duanlian,14,,60002,25,,,116
duanlian,15,,60002,27,,,125
duanlian,16,,60002,30,,,134
duanlian,17,,60002,33,,,143
duanlian,18,,60002,36,,,153
duanlian,19,,60002,39,,,163
duanlian,20,,60002,43,,,173
duanlian,21,,60002,47,,,183
duanlian,22,,60002,52,,,193
duanlian,23,,60002,57,,,203
duanlian,24,,60002,62,,,213
duanlian,25,,60002,68,,,224
duanlian,26,,60002,75,,,235
duanlian,27,,60002,82,,,246
duanlian,28,,60002,90,,,257
duanlian,29,,60002,98,,,268
duanlian,30,,60002,107,,,279
duanlian,31,,60002,117,,,291
duanlian,32,,60002,127,,,303
duanlian,33,,60002,138,,,315
duanlian,34,,60002,150,,,327
duanlian,35,,60002,163,,,339
duanlian,36,,60002,177,,,351
duanlian,37,,60002,192,,,364
duanlian,38,,60002,208,,,377
duanlian,39,,60002,224,,,390
duanlian,40,,60002,241,,,403
duanlian,41,,60002,260,,,416
duanlian,42,,60002,280,,,429
duanlian,43,,60002,301,,,443
duanlian,44,,60002,323,,,457
duanlian,45,,60002,346,,,471
duanlian,46,,60002,370,,,485
duanlian,47,,60002,395,,,499
duanlian,48,,60002,422,,,514
duanlian,49,,60002,450,,,529
duanlian,50,,60002,479,,,544
duanlian,51,,60002,510,,,559
duanlian,52,,60002,542,,,574
duanlian,53,,60002,575,,,590
duanlian,54,,60002,610,,,606
duanlian,55,,60002,646,,,622
duanlian,56,,60002,684,,,638
duanlian,57,,60002,723,,,655
duanlian,58,,60002,764,,,672
duanlian,59,,60002,806,,,689
duanlian,60,,60002,850,,,706
duanlian,61,,60002,896,,,724
duanlian,62,,60002,943,,,742
duanlian,63,,60002,992,,,760
duanlian,64,,60002,1043,,,778
duanlian,65,,60002,1096,,,797
duanlian,66,,60002,1151,,,816
duanlian,67,,60002,1207,,,835
duanlian,68,,60002,1265,,,854
duanlian,69,,60002,1325,,,874
duanlian,70,,60002,1387,,,894
duanlian,71,,60002,1451,,,914
duanlian,72,,60002,1517,,,934
duanlian,73,,60002,1585,,,955
duanlian,74,,60002,1655,,,976
duanlian,75,,60002,1727,,,997
duanlian,76,,60002,1802,,,1019
duanlian,77,,60002,1879,,,1041
duanlian,78,,60002,1958,,,1063
duanlian,79,,60002,2039,,,1086
duanlian,80,,60002,2122,,,1109
duanlian,81,,60002,2208,,,1132
duanlian,82,,60002,2296,,,1156
duanlian,83,,60002,2386,,,1180
duanlian,84,,60002,2479,,,1204
duanlian,85,,60002,2574,,,1229
duanlian,86,,60002,2672,,,1254
duanlian,87,,60002,2772,,,1279
duanlian,88,,60002,2875,,,1305
duanlian,89,,60002,2980,,,1331
duanlian,90,,60002,3088,,,1357
duanlian,91,,60002,3199,,,1384
duanlian,92,,60002,3312,,,1411
duanlian,93,,60002,3428,,,1438
duanlian,94,,60002,3429,,,1466
duanlian,95,,60002,3430,,,1494
duanlian,96,,60002,3431,,,1523
duanlian,97,,60002,3432,,,1552
duanlian,98,,60002,3433,,,1581
duanlian,99,,60002,3434,,,1611
duanlian,100,,60002,3435,,,1641
duanlian,101,,60002,3436,,,1672
duanlian,102,,60002,3437,,,1703
duanlian,103,,60002,3438,,,1735
duanlian,104,,60002,3439,,,1767
duanlian,105,,60002,3440,,,1799
duanlian,106,,60002,3441,,,1800
duanlian,107,,60002,3442,,,1801
duanlian,108,,60002,3443,,,1802
duanlian,109,,60002,3444,,,1803
duanlian,110,,60002,3445,,,1804
duanlian,111,,60002,3446,,,1805
duanlian,112,,60002,3447,,,1806
duanlian,113,,60002,3448,,,1807
duanlian,114,,60002,3449,,,1808
duanlian,115,,60002,3450,,,1809
duanlian,116,,60002,3451,,,1810
duanlian,117,,60002,3452,,,1811
duanlian,118,,60002,3453,,,1812
duanlian,119,,60002,3454,,,1813
duanlian,120,,60002,3455,,,1814
duanlian,121,,60002,3456,,,1815
duanlian,122,,60002,3457,,,1816
duanlian,123,,60002,3458,,,1817
duanlian,124,,60002,3459,,,1818
duanlian,125,,60002,3460,,,1819
duanlian,126,,60002,3461,,,1820
duanlian,127,,60002,3462,,,1821
duanlian,128,,60002,3463,,,1822
duanlian,129,,60002,3464,,,1823
duanlian,130,,60002,3465,,,1824
duanlian,131,,60002,3466,,,1825
duanlian,132,,60002,3467,,,1826
duanlian,133,,60002,3468,,,1827
duanlian,134,,60002,3469,,,1828
duanlian,135,,60002,3470,,,1829
duanlian,136,,60002,3471,,,1830
duanlian,137,,60002,3472,,,1831
duanlian,138,,60002,3473,,,1832
duanlian,139,,60002,3474,,,1833
duanlian,140,,60002,3475,,,1834
duanlian,141,,60002,3476,,,1835
duanlian,142,,60002,3477,,,1836
duanlian,143,,60002,3478,,,1837
duanlian,144,,60002,3479,,,1838
duanlian,145,,60002,3480,,,1839
duanlian,146,,60002,3481,,,1840
duanlian,147,,60002,3482,,,1841
duanlian,148,,60002,3483,,,1842
duanlian,149,,60002,3484,,,1843
duanlian,150,,60002,3485,,,1844
duanlian,151,,60002,3486,,,1845
duanlian,152,,60002,3487,,,1846
duanlian,153,,60002,3488,,,1847
duanlian,154,,60002,3489,,,1848
duanlian,155,,60002,3490,,,1849
duanlian,156,,60002,3491,,,1850
duanlian,157,,60002,3492,,,1851
duanlian,158,,60002,3493,,,1852
duanlian,159,,60002,3494,,,1853
duanlian,160,,60002,3495,,,1854
duanlian,161,,60002,3496,,,1855
duanlian,162,,60002,3497,,,1856
duanlian,163,,60002,3498,,,1857
duanlian,164,,60002,3499,,,1858
duanlian,165,,60002,3500,,,1859
duanlian,166,,60002,3501,,,1860
duanlian,167,,60002,3502,,,1861
duanlian,168,,60002,3503,,,1862
duanlian,169,,60002,3504,,,1863
duanlian,170,,60002,3505,,,1864
duanlian,171,,60002,3506,,,1865
duanlian,172,,60002,3507,,,1866
duanlian,173,,60002,3508,,,1867
duanlian,174,,60002,3509,,,1868
duanlian,175,,60002,3510,,,1869
duanlian,176,,60002,3511,,,1870
duanlian,177,,60002,3512,,,1871
duanlian,178,,60002,3513,,,1872
duanlian,179,,60002,3514,,,1873
duanlian,180,,60002,3515,,,1874
duanlian,181,,60002,3516,,,1875
duanlian,182,,60002,3517,,,1876
duanlian,183,,60002,3518,,,1877
duanlian,184,,60002,3519,,,1878
duanlian,185,,60002,3520,,,1879
duanlian,186,,60002,3521,,,1880
duanlian,187,,60002,3522,,,1881
duanlian,188,,60002,3523,,,1882
duanlian,189,,60002,3524,,,1883
duanlian,190,,60002,3525,,,1884
duanlian,191,,60002,3526,,,1885
duanlian,192,,60002,3527,,,1886
duanlian,193,,60002,3528,,,1887
duanlian,194,,60002,3529,,,1888
duanlian,195,,60002,3530,,,1889
duanlian,196,,60002,3531,,,1890
duanlian,197,,60002,3532,,,1891
duanlian,198,,60002,3533,,,1892
duanlian,199,,60002,3534,,,1893
duanlian,200,,60002,3535,,,1894
baoshi,1,,60003,2,,,7
baoshi,2,,60003,3,,,15
baoshi,3,,60003,4,,,22
baoshi,4,,60003,5,,,31
baoshi,5,,60003,7,,,39
baoshi,6,,60003,9,,,47
baoshi,7,,60003,11,,,55
baoshi,8,,60003,13,,,63
baoshi,9,,60003,15,,,71
baoshi,10,,60003,17,,,80
baoshi,11,,60003,19,,,89
baoshi,12,,60003,21,,,98
baoshi,13,,60003,23,,,107
baoshi,14,,60003,25,,,116
baoshi,15,,60003,27,,,125
baoshi,16,,60003,30,,,134
baoshi,17,,60003,33,,,143
baoshi,18,,60003,36,,,153
baoshi,19,,60003,39,,,163
baoshi,20,,60003,43,,,173
baoshi,21,,60003,47,,,183
baoshi,22,,60003,52,,,193
baoshi,23,,60003,57,,,203
baoshi,24,,60003,62,,,213
baoshi,25,,60003,68,,,224
baoshi,26,,60003,75,,,235
baoshi,27,,60003,82,,,246
baoshi,28,,60003,90,,,257
baoshi,29,,60003,98,,,268
baoshi,30,,60003,107,,,279
baoshi,31,,60003,117,,,291
baoshi,32,,60003,127,,,303
baoshi,33,,60003,138,,,315
baoshi,34,,60003,150,,,327
baoshi,35,,60003,163,,,339
baoshi,36,,60003,177,,,351
baoshi,37,,60003,192,,,364
baoshi,38,,60003,208,,,377
baoshi,39,,60003,224,,,390
baoshi,40,,60003,241,,,403
baoshi,41,,60003,260,,,416
baoshi,42,,60003,280,,,429
baoshi,43,,60003,301,,,443
baoshi,44,,60003,323,,,457
baoshi,45,,60003,346,,,471
baoshi,46,,60003,370,,,485
baoshi,47,,60003,395,,,499
baoshi,48,,60003,422,,,514
baoshi,49,,60003,450,,,529
baoshi,50,,60003,479,,,544
baoshi,51,,60003,510,,,559
baoshi,52,,60003,542,,,574
baoshi,53,,60003,575,,,590
baoshi,54,,60003,610,,,606
baoshi,55,,60003,646,,,622
baoshi,56,,60003,684,,,638
baoshi,57,,60003,723,,,655
baoshi,58,,60003,764,,,672
baoshi,59,,60003,806,,,689
baoshi,60,,60003,850,,,706
baoshi,61,,60003,896,,,724
baoshi,62,,60003,943,,,742
baoshi,63,,60003,992,,,760
baoshi,64,,60003,1043,,,778
baoshi,65,,60003,1096,,,797
baoshi,66,,60003,1151,,,816
baoshi,67,,60003,1207,,,835
baoshi,68,,60003,1265,,,854
baoshi,69,,60003,1325,,,874
baoshi,70,,60003,1387,,,894
baoshi,71,,60003,1451,,,914
baoshi,72,,60003,1517,,,934
baoshi,73,,60003,1585,,,955
baoshi,74,,60003,1655,,,976
baoshi,75,,60003,1727,,,997
baoshi,76,,60003,1802,,,1019
baoshi,77,,60003,1879,,,1041
baoshi,78,,60003,1958,,,1063
baoshi,79,,60003,2039,,,1086
baoshi,80,,60003,2122,,,1109
baoshi,81,,60003,2208,,,1132
baoshi,82,,60003,2296,,,1156
baoshi,83,,60003,2386,,,1180
baoshi,84,,60003,2479,,,1204
baoshi,85,,60003,2574,,,1229
baoshi,86,,60003,2672,,,1254
baoshi,87,,60003,2772,,,1279
baoshi,88,,60003,2875,,,1305
baoshi,89,,60003,2980,,,1331
baoshi,90,,60003,3088,,,1357
baoshi,91,,60003,3199,,,1384
baoshi,92,,60003,3312,,,1411
baoshi,93,,60003,3428,,,1438
baoshi,94,,60003,3429,,,1466
baoshi,95,,60003,3430,,,1494
baoshi,96,,60003,3431,,,1523
baoshi,97,,60003,3432,,,1552
baoshi,98,,60003,3433,,,1581
baoshi,99,,60003,3434,,,1611
baoshi,100,,60003,3435,,,1641
baoshi,101,,60003,3436,,,1672
baoshi,102,,60003,3437,,,1703
baoshi,103,,60003,3438,,,1735
baoshi,104,,60003,3439,,,1767
baoshi,105,,60003,3440,,,1799
baoshi,106,,60003,3441,,,1800
baoshi,107,,60003,3442,,,1801
baoshi,108,,60003,3443,,,1802
baoshi,109,,60003,3444,,,1803
baoshi,110,,60003,3445,,,1804
baoshi,111,,60003,3446,,,1805
baoshi,112,,60003,3447,,,1806
baoshi,113,,60003,3448,,,1807
baoshi,114,,60003,3449,,,1808
baoshi,115,,60003,3450,,,1809
baoshi,116,,60003,3451,,,1810
baoshi,117,,60003,3452,,,1811
baoshi,118,,60003,3453,,,1812
baoshi,119,,60003,3454,,,1813
baoshi,120,,60003,3455,,,1814
baoshi,121,,60003,3456,,,1815
baoshi,122,,60003,3457,,,1816
baoshi,123,,60003,3458,,,1817
baoshi,124,,60003,3459,,,1818
baoshi,125,,60003,3460,,,1819
baoshi,126,,60003,3461,,,1820
baoshi,127,,60003,3462,,,1821
baoshi,128,,60003,3463,,,1822
baoshi,129,,60003,3464,,,1823
baoshi,130,,60003,3465,,,1824
baoshi,131,,60003,3466,,,1825
baoshi,132,,60003,3467,,,1826
baoshi,133,,60003,3468,,,1827
baoshi,134,,60003,3469,,,1828
baoshi,135,,60003,3470,,,1829
baoshi,136,,60003,3471,,,1830
baoshi,137,,60003,3472,,,1831
baoshi,138,,60003,3473,,,1832
baoshi,139,,60003,3474,,,1833
baoshi,140,,60003,3475,,,1834
baoshi,141,,60003,3476,,,1835
baoshi,142,,60003,3477,,,1836
baoshi,143,,60003,3478,,,1837
baoshi,144,,60003,3479,,,1838
baoshi,145,,60003,3480,,,1839
baoshi,146,,60003,3481,,,1840
baoshi,147,,60003,3482,,,1841
baoshi,148,,60003,3483,,,1842
baoshi,149,,60003,3484,,,1843
baoshi,150,,60003,3485,,,1844
baoshi,151,,60003,3486,,,1845
baoshi,152,,60003,3487,,,1846
baoshi,153,,60003,3488,,,1847
baoshi,154,,60003,3489,,,1848
baoshi,155,,60003,3490,,,1849
baoshi,156,,60003,3491,,,1850
baoshi,157,,60003,3492,,,1851
